#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-56.376131502,270.839241592,0.0307616681685
2000,-36.6682862606,266.165685533,0.0307616681685
3000,-18.9979239492,289.631536962,0.0307616681685
4000,-40.3290763557,334.590514918,0.0307616681685
5000,-24.1439340281,246.445218285,0.0307616681685
6000,-5.95779293121,238.974977021,0.0307616681685
7000,-27.4739576634,231.07365044,0.0307616681685
8000,-59.4580328648,260.830417333,0.0307616681685
9000,-29.5057913505,271.760085669,0.0307616681685
10000,-44.3065328276,335.283846271,0.0307616681685
11000,-57.0798630758,228.1578735,0.0307616681685
12000,-53.7282902888,255.079552278,0.0307616681685
13000,-50.76342747,265.643655015,0.0307616681685
14000,-58.1097547015,332.210253598,0.0307616681685
15000,-52.7407631679,244.629096726,0.0307616681685
16000,-54.9646273739,331.098314082,0.0307616681685
17000,-25.7589977276,300.112571735,0.0307616681685
18000,-40.5109335603,289.106452189,0.0307616681685
19000,-50.0053649402,314.635116123,0.0307616681685
20000,-62.1149433999,281.547185948,0.0307616681685
21000,-63.8824357607,249.174432871,0.0307616681685
22000,-56.244835467,246.623169739,0.0307616681685
23000,-17.4928455333,320.637493749,0.0307616681685
24000,-61.0848009855,304.918097939,0.0307616681685
25000,-51.8145852986,312.963402961,0.0307616681685
26000,-58.7779723181,256.152192286,0.0307616681685
27000,-65.464397483,287.154228889,0.0307616681685
28000,-37.4620673299,277.022780463,0.0307616681685
29000,-47.8950732285,271.794030523,0.0307616681685
30000,-62.5006245526,227.114379239,0.0307616681685
31000,-68.2445876576,287.66040314,0.0307616681685
32000,-66.6022145335,261.713932493,0.0307616681685
33000,-55.3157373431,344.318424832,0.0307616681685
34000,-60.4597752548,233.147467162,0.0307616681685
35000,-31.0171604017,314.622325888,0.0307616681685
36000,-16.3103020139,356.302735516,0.0307616681685
37000,-25.6971574844,222.787606295,0.0307616681685
38000,-20.3123433409,329.452202336,0.0307616681685
39000,-44.0198021613,257.43505633,0.0307616681685
40000,-39.7460359468,254.575676174,0.0307616681685
41000,-13.6791533765,240.616981196,0.0307616681685
42000,-29.4057920721,246.995840519,0.0307616681685
43000,-15.6156472727,324.925264831,0.0307616681685
44000,-46.0235455395,286.606065512,0.0307616681685
45000,-12.7584095655,309.111827134,0.0307616681685
46000,-40.1890959717,285.297607796,0.0307616681685
47000,-36.4977248844,178.72164977,0.0307616681685
48000,-13.9335090714,331.786955584,0.0307616681685
49000,-54.4905727889,372.183893524,0.0307616681685
50000,2.55208356057,313.959294145,0.0307616681685
51000,-55.1730628301,319.434093163,0.0307616681685
52000,-35.9542398113,300.064755103,0.0307616681685
53000,-28.6760791843,355.684293271,0.0307616681685
54000,-60.2327058359,307.096140669,0.0307616681685
55000,-31.5341476237,334.560047673,0.0307616681685
56000,-30.2684506024,286.850019955,0.0307616681685
57000,-61.2584313927,421.953638171,0.0307616681685
58000,-30.4419954803,301.287208731,0.0307616681685
59000,-30.2605188264,361.826491465,0.0307616681685
60000,-37.2084433906,291.917759877,0.0307616681685
61000,-59.2183528487,323.895754663,0.0307616681685
62000,-70.7035597648,351.560670047,0.0307616681685
63000,-9.12815480055,230.836919901,0.0307616681685
64000,-48.3193291715,263.587781452,0.0307616681685
65000,-35.4168251575,257.214594163,0.0307616681685
66000,-58.3076709081,252.678431482,0.0307616681685
67000,-51.1529831569,307.78166045,0.0307616681685
68000,-63.7342044008,341.377126416,0.0307616681685
69000,-33.1221232952,263.895752376,0.0307616681685
70000,-38.1538284673,270.735434441,0.0307616681685
71000,-64.4256608601,285.128387059,0.0307616681685
72000,-33.5518381219,291.940348809,0.0307616681685
73000,9.513705017,223.397317293,0.0307616681685
74000,-29.8746374297,357.850768271,0.0307616681685
75000,-37.7893196533,271.720374583,0.0307616681685
76000,-18.1668799864,253.368681828,0.0307616681685
77000,-27.1312838626,419.875111262,0.0307616681685
78000,-34.5188334174,283.432329054,0.0307616681685
79000,-41.9495932713,293.217177812,0.0307616681685
80000,-44.1787399736,326.356685728,0.0307616681685
81000,-36.0765596515,328.976683054,0.0307616681685
82000,-36.6296195299,320.217624914,0.0307616681685
83000,-42.9950681016,274.711409909,0.0307616681685
84000,-36.6340691079,320.423743491,0.0307616681685
85000,-44.2475298036,304.198131028,0.0307616681685
86000,-46.0216554629,232.717451271,0.0307616681685
87000,-50.0077822276,307.157341982,0.0307616681685
88000,-45.9024814825,316.086702148,0.0307616681685
89000,-22.3298936352,299.775688933,0.0307616681685
90000,-22.2890022145,304.095021664,0.0307616681685
91000,-52.2076673258,298.012548495,0.0307616681685
92000,-35.0344061771,345.002737867,0.0307616681685
93000,-50.1337605205,237.115675235,0.0307616681685
94000,-52.6400349055,243.120728,0.0307616681685
95000,-65.7766677287,261.18747177,0.0307616681685
96000,-41.7576123606,272.784248361,0.0307616681685
97000,-22.0253696504,290.652432748,0.0307616681685
98000,-54.6844335092,291.619836762,0.0307616681685
99000,-54.216316939,277.501291145,0.0307616681685
100000,-55.9239750759,242.137975816,0.0307616681685
101000,-36.7534158343,282.253207579,0.0307616681685
102000,-11.2846183439,302.141421661,0.0307616681685
103000,-25.4369976536,317.836866221,0.0307616681685
104000,-23.1837233868,320.613965433,0.0307616681685
105000,-64.5684973163,331.817214443,0.0307616681685
106000,-39.545266743,274.98075637,0.0307616681685
107000,-1.05246958301,319.113863153,0.0307616681685
108000,-65.9175283281,416.456064984,0.0307616681685
109000,-26.4783945708,264.941865816,0.0307616681685
110000,-46.7207388384,238.580443953,0.0307616681685
111000,-32.0680358507,249.43016733,0.0307616681685
112000,-60.8238339548,243.59284002,0.0307616681685
113000,-21.0048321867,254.583515855,0.0307616681685
114000,-39.1399062478,344.423363667,0.0307616681685
115000,-63.7761711805,302.205315495,0.0307616681685
116000,-42.9112793886,276.106335869,0.0307616681685
117000,-6.59476310847,250.223570994,0.0307616681685
118000,-82.641635529,285.369973731,0.0307616681685
119000,-6.72104393563,312.209608855,0.0307616681685
120000,-45.2445867703,378.891750475,0.0307616681685
121000,-43.5877459658,268.276213932,0.0307616681685
122000,-62.5681724714,233.154322022,0.0307616681685
123000,-56.7534500572,275.421673049,0.0307616681685
124000,-46.0511249479,296.00714413,0.0307616681685
125000,-48.8928464755,269.497419125,0.0307616681685
126000,-12.2918888016,284.372837396,0.0307616681685
127000,-0.746929587452,285.823138023,0.0307616681685
128000,-36.3503579492,260.376283707,0.0307616681685
129000,-61.0262765376,271.761845077,0.0307616681685
130000,-28.3190678128,319.385520377,0.0307616681685
131000,-54.3261207792,287.526881541,0.0307616681685
132000,-28.4777362484,305.723959488,0.0307616681685
133000,-21.8976180696,246.979157112,0.0307616681685
134000,-52.9407720843,360.790602166,0.0307616681685
135000,-14.6197394809,296.033752966,0.0307616681685
136000,-39.3683151111,342.408821351,0.0307616681685
137000,-37.1517999686,165.456716602,0.0307616681685
138000,-65.1080320668,265.229268508,0.0307616681685
139000,-48.5449375956,291.918870987,0.0307616681685
140000,-34.3424774855,335.473887241,0.0307616681685
141000,-73.1021091741,302.808277103,0.0307616681685
142000,-70.7748077287,312.273286499,0.0307616681685
143000,-45.1128015669,349.299966095,0.0307616681685
144000,-53.6475069517,443.48311372,0.0307616681685
145000,-67.5168458876,425.852128585,0.0307616681685
146000,-44.7508601371,271.672904567,0.0307616681685
147000,5.9895057697,264.846234317,0.0307616681685
148000,-67.2246504799,390.931060063,0.0307616681685
149000,-43.6426240814,359.075595276,0.0307616681685
150000,-36.7860526021,214.593329005,0.0307616681685
151000,-46.0977371833,283.017608399,0.0307616681685
152000,-53.1181063498,314.113948593,0.0307616681685
153000,-12.4394535483,278.84509491,0.0307616681685
154000,-64.6428162128,363.498626201,0.0307616681685
155000,-37.8617674976,358.536725026,0.0307616681685
156000,0.0715102761123,385.728219827,0.0307616681685
157000,-17.2654018432,342.770524328,0.0307616681685
158000,-45.6662478104,334.636084203,0.0307616681685
159000,-48.405156959,328.6931725,0.0307616681685
160000,-54.0382853217,359.638425259,0.0307616681685
161000,-39.9744511223,262.135450803,0.0307616681685
162000,-57.3281164343,322.072965305,0.0307616681685
163000,-53.1730779333,330.331879374,0.0307616681685
164000,-48.9397831028,310.211217742,0.0307616681685
165000,-48.9711021559,313.011056964,0.0307616681685
166000,-43.7446872789,244.428152089,0.0307616681685
167000,-41.6754570092,333.958608393,0.0307616681685
168000,-8.95581165679,294.810221381,0.0307616681685
169000,-52.6397323051,413.583955838,0.0307616681685
170000,-32.4497746412,240.298485722,0.0307616681685
171000,-32.8778012296,342.886704797,0.0307616681685
172000,-41.7505602801,328.326848837,0.0307616681685
173000,-27.7762997078,323.781524602,0.0307616681685
174000,-38.4504314539,280.006845813,0.0307616681685
175000,-30.8543799784,254.964291151,0.0307616681685
176000,-46.7884401863,233.583148402,0.0307616681685
177000,-19.3843657654,290.269672605,0.0307616681685
178000,-54.3016034757,242.141855193,0.0307616681685
179000,-18.715581512,339.209206178,0.0307616681685
180000,-43.0495983795,272.159337657,0.0307616681685
181000,-69.2109377114,247.688911882,0.0307616681685
182000,-56.2607688053,237.206500194,0.0307616681685
183000,-37.2420464376,336.782740134,0.0307616681685
184000,-20.054653374,327.892429921,0.0307616681685
185000,-23.1594187818,424.821010528,0.0307616681685
186000,-65.6732337187,211.105566632,0.0307616681685
187000,-62.866452107,254.583365188,0.0307616681685
188000,-15.6432227318,225.820888347,0.0307616681685
189000,-27.7156336656,216.128928375,0.0307616681685
190000,-58.2042565232,198.682660875,0.0307616681685
191000,-35.707273511,360.708765904,0.0307616681685
192000,-51.9344493154,254.186827498,0.0307616681685
193000,-33.6284373929,229.209160209,0.0307616681685
194000,-58.6443708641,220.406248197,0.0307616681685
195000,-48.5172941628,216.875342298,0.0307616681685
196000,-62.9720742749,317.30581189,0.0307616681685
197000,-47.9171948095,297.088258566,0.0307616681685
198000,-50.6630785147,279.999565142,0.0307616681685
199000,-32.8473183768,319.579952441,0.0307616681685
200000,-10.8997130349,286.285108524,0.0307616681685
201000,-36.4622155606,299.489154821,0.0307616681685
202000,-28.7352603384,306.472181811,0.0307616681685
203000,-13.1300625341,275.6354556,0.0307616681685
204000,-16.6767176252,283.712445795,0.0307616681685
205000,-51.9394036721,300.607497468,0.0307616681685
206000,-30.1673602394,298.437427262,0.0307616681685
207000,-32.2230931522,336.598651907,0.0307616681685
208000,-48.7680283135,323.384426091,0.0307616681685
209000,-47.7129920501,214.222862943,0.0307616681685
210000,-3.73229368746,231.018014952,0.0307616681685
211000,-38.1989108507,332.566446675,0.0307616681685
212000,-51.6081132747,295.976022077,0.0307616681685
213000,-40.2297266198,291.207693813,0.0307616681685
214000,-42.7171924124,294.060151343,0.0307616681685
215000,-43.6057896401,354.406462345,0.0307616681685
216000,-36.4501266714,287.47342813,0.0307616681685
217000,20.1118160162,336.472920566,0.0307616681685
218000,-29.3596963175,419.466688725,0.0307616681685
219000,-28.5983189512,322.243327952,0.0307616681685
220000,-41.2438056511,302.596123683,0.0307616681685
221000,-54.9212472319,291.650332414,0.0307616681685
222000,-56.2402235639,266.081444056,0.0307616681685
223000,-56.6144009319,190.611377033,0.0307616681685
224000,-55.482876471,299.723467198,0.0307616681685
225000,-37.554717361,281.153191392,0.0307616681685
226000,-33.2690933173,281.814797445,0.0307616681685
227000,-70.9559750583,290.732341717,0.0307616681685
228000,-39.7263726899,335.883701249,0.0307616681685
