#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-45.1258283674,368.057785449,0.0307616681685
2000,-53.6761744058,350.14016186,0.0307616681685
3000,-41.7281481904,283.682457705,0.0307616681685
4000,-39.6235283092,274.670631744,0.0307616681685
5000,-21.959683389,314.195961247,0.0307616681685
6000,-59.8708428839,205.437457584,0.0307616681685
7000,-81.0332230257,274.160965758,0.0307616681685
8000,-53.644489308,240.18710875,0.0307616681685
9000,-53.0599854742,380.333017633,0.0307616681685
10000,-11.3605005477,336.279751199,0.0307616681685
11000,-31.5412193773,319.776389496,0.0307616681685
12000,-15.3093386184,349.05805707,0.0307616681685
13000,-38.2490813024,260.694404237,0.0307616681685
14000,-72.4633477011,356.885328475,0.0307616681685
15000,-41.9020524126,270.657499573,0.0307616681685
16000,-27.214568533,317.200641219,0.0307616681685
17000,-64.7890105788,392.390894736,0.0307616681685
18000,-55.2162509999,320.272508017,0.0307616681685
19000,-47.0038405813,282.609641799,0.0307616681685
20000,-42.0534594176,335.484311475,0.0307616681685
21000,-59.1529736153,320.405127279,0.0307616681685
22000,-58.0628856133,274.687768113,0.0307616681685
23000,-54.1613039931,221.284636066,0.0307616681685
24000,-18.9884912649,201.004605788,0.0307616681685
25000,-40.4908151109,290.49198002,0.0307616681685
26000,-40.487016161,255.871364876,0.0307616681685
27000,-18.0043988665,403.118936736,0.0307616681685
28000,-20.1590500455,306.788360959,0.0307616681685
29000,-37.6599276042,382.487646472,0.0307616681685
30000,-9.40096443481,308.536953925,0.0307616681685
31000,-32.8553478096,233.661950205,0.0307616681685
32000,-41.6340195576,322.963824043,0.0307616681685
33000,-45.4646064671,321.482929459,0.0307616681685
34000,-36.1699953667,247.915548837,0.0307616681685
35000,9.8775920812,307.575795874,0.0307616681685
36000,-33.5757232485,322.857550585,0.0307616681685
37000,-41.7862956388,352.996341376,0.0307616681685
38000,3.44276818086,288.036234093,0.0307616681685
39000,-49.6291781913,316.550349123,0.0307616681685
40000,-4.31128231265,281.124475682,0.0307616681685
41000,-55.5741360792,278.298582521,0.0307616681685
42000,-3.07508482461,396.974543518,0.0307616681685
43000,-48.8462364826,575.700123599,0.0307616681685
44000,-7.56502659862,317.367848895,0.0307616681685
45000,-52.9840874037,255.610879293,0.0307616681685
46000,-61.6562494588,278.068082668,0.0307616681685
47000,-55.6699957871,282.661764596,0.0307616681685
48000,-22.2062403981,269.907884014,0.0307616681685
49000,-36.231508978,305.583459378,0.0307616681685
50000,-14.7307823207,301.064299074,0.0307616681685
51000,-50.9436221014,366.890702983,0.0307616681685
52000,-20.4064872222,280.189917888,0.0307616681685
53000,-44.0407114652,260.788449253,0.0307616681685
54000,-46.2996589665,295.58046745,0.0307616681685
55000,-34.8697057678,345.875861276,0.0307616681685
56000,-32.2436129141,235.883443087,0.0307616681685
57000,-49.1914036966,205.423039575,0.0307616681685
58000,-13.6178271047,299.113325713,0.0307616681685
59000,-21.6968249404,242.710666154,0.0307616681685
60000,-58.2900937188,329.884620479,0.0307616681685
61000,-68.3427204947,355.373986847,0.0307616681685
62000,-47.2353137259,409.087600636,0.0307616681685
63000,-58.9318037657,285.719306397,0.0307616681685
64000,-53.5130163114,269.707187067,0.0307616681685
