#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,85.35921345,266.466952245,0.0307616681685
2000,45.1107866033,282.754899239,0.0307616681685
3000,66.4490436454,374.605834408,0.0307616681685
4000,50.7791937028,271.703420137,0.0307616681685
5000,25.740244507,236.537465301,0.0307616681685
6000,31.2229600127,306.581135231,0.0307616681685
7000,47.4462915131,321.509768208,0.0307616681685
8000,7.12905321232,307.044817026,0.0307616681685
9000,38.7933679442,327.526514645,0.0307616681685
10000,26.2753680258,290.826615525,0.0307616681685
11000,20.881882929,218.722344652,0.0307616681685
12000,51.8635127302,277.304818307,0.0307616681685
13000,29.2143932396,302.543270264,0.0307616681685
14000,61.3046021657,320.026051904,0.0307616681685
15000,42.1022811167,286.05007348,0.0307616681685
16000,24.4333484173,254.73811701,0.0307616681685
17000,54.8365208437,285.827917404,0.0307616681685
18000,67.0857134224,229.415979259,0.0307616681685
19000,56.1401972049,284.354017876,0.0307616681685
20000,49.5522798522,219.636524776,0.0307616681685
21000,57.1463642458,346.572361347,0.0307616681685
22000,42.8170424398,379.263719877,0.0307616681685
23000,42.9138870963,281.90341457,0.0307616681685
24000,46.0994733663,296.347778239,0.0307616681685
25000,47.2075481728,265.703687042,0.0307616681685
26000,39.9733149396,441.969648406,0.0307616681685
27000,70.9139019983,211.34209878,0.0307616681685
28000,31.9021390781,363.838002761,0.0307616681685
29000,53.9018880135,315.438583639,0.0307616681685
30000,57.3392322734,305.133654867,0.0307616681685
31000,35.2606630959,289.589536192,0.0307616681685
32000,37.147817931,278.083814757,0.0307616681685
33000,55.447529378,271.571534858,0.0307616681685
34000,75.4351397118,347.851618147,0.0307616681685
35000,68.6186790345,370.108236219,0.0307616681685
36000,26.1445999602,295.800416196,0.0307616681685
37000,50.9183714582,308.852388054,0.0307616681685
38000,73.4874167386,224.854379491,0.0307616681685
39000,34.3236704847,283.776165871,0.0307616681685
40000,45.3975659062,255.806968356,0.0307616681685
41000,35.8810030678,342.163548402,0.0307616681685
42000,66.5665221458,187.180133233,0.0307616681685
43000,29.9815680029,246.31832459,0.0307616681685
44000,39.0833950489,249.355338723,0.0307616681685
45000,52.4397532062,208.814901123,0.0307616681685
46000,46.8358423797,344.383396533,0.0307616681685
47000,81.6687269669,270.444162699,0.0307616681685
48000,84.3008313909,387.01878606,0.0307616681685
49000,45.8008508923,300.710586535,0.0307616681685
50000,75.598165231,215.392977334,0.0307616681685
51000,55.6041017235,245.44555254,0.0307616681685
52000,49.0373577798,295.027359824,0.0307616681685
53000,66.6107245554,217.271868035,0.0307616681685
54000,50.9798419542,257.465920863,0.0307616681685
55000,32.3853119034,280.426112442,0.0307616681685
56000,53.4029233795,289.863765789,0.0307616681685
57000,28.9528257052,257.248474071,0.0307616681685
58000,47.3382183019,395.269038084,0.0307616681685
59000,49.933533952,260.564801904,0.0307616681685
60000,37.2720664665,356.380316347,0.0307616681685
61000,38.5930613424,235.941455053,0.0307616681685
62000,27.4293418593,315.371613079,0.0307616681685
63000,58.2871678736,326.933430838,0.0307616681685
64000,37.5395160137,311.778326045,0.0307616681685
65000,84.3390113673,239.506452478,0.0307616681685
66000,56.8420819066,282.899912358,0.0307616681685
67000,26.7548646793,245.073304768,0.0307616681685
68000,35.8717320607,268.397181136,0.0307616681685
69000,34.6387246712,265.152737943,0.0307616681685
70000,54.9661327509,203.587805034,0.0307616681685
71000,35.0617947458,283.406481143,0.0307616681685
72000,53.2296156302,338.100944985,0.0307616681685
73000,49.1235749474,288.564044263,0.0307616681685
74000,37.193320897,294.067984357,0.0307616681685
75000,25.5481247804,308.874222911,0.0307616681685
76000,54.9045237164,308.005423453,0.0307616681685
77000,30.5792663869,393.365206973,0.0307616681685
78000,36.210585692,321.892560864,0.0307616681685
79000,16.7662175728,334.922696222,0.0307616681685
80000,42.8601451243,321.39048615,0.0307616681685
81000,44.3875132919,283.069298692,0.0307616681685
82000,36.310634201,273.312438676,0.0307616681685
83000,60.9423546489,373.076157182,0.0307616681685
84000,20.23109366,348.54109084,0.0307616681685
85000,38.1460809306,256.981244782,0.0307616681685
86000,42.7263454922,375.293250312,0.0307616681685
87000,60.0994641943,337.972985988,0.0307616681685
88000,62.474119335,366.423407913,0.0307616681685
89000,75.8594333567,349.722384823,0.0307616681685
90000,58.871067397,294.031606376,0.0307616681685
91000,67.5662899777,317.122695779,0.0307616681685
92000,45.9891974574,342.118258168,0.0307616681685
93000,34.6294717828,225.776573385,0.0307616681685
94000,49.0716743107,203.217503059,0.0307616681685
95000,32.2700232459,211.185301739,0.0307616681685
96000,44.8096965403,282.862898086,0.0307616681685
97000,58.1208025247,307.406385751,0.0307616681685
98000,35.7109332441,300.157043045,0.0307616681685
99000,42.2356501407,348.458459182,0.0307616681685
100000,58.2893950629,292.73650628,0.0307616681685
101000,50.922939108,289.958574646,0.0307616681685
102000,53.5189523455,252.449697681,0.0307616681685
103000,81.8956325563,284.571406214,0.0307616681685
104000,61.8287732845,310.043043169,0.0307616681685
105000,42.0590806269,317.349248295,0.0307616681685
106000,49.5949024156,353.770643156,0.0307616681685
107000,72.6599701999,258.49941417,0.0307616681685
108000,71.8443965353,254.497312172,0.0307616681685
109000,86.0304134722,273.477810245,0.0307616681685
110000,37.4491716935,343.435898744,0.0307616681685
111000,49.5942682872,337.017462853,0.0307616681685
112000,45.6728394517,246.005354936,0.0307616681685
113000,28.3728990662,327.789258687,0.0307616681685
114000,33.1598592344,281.741469892,0.0307616681685
115000,42.9908556071,231.211976347,0.0307616681685
116000,46.3631653693,315.442961785,0.0307616681685
117000,50.2436429636,277.111306355,0.0307616681685
118000,36.4460322286,239.145640522,0.0307616681685
119000,75.1100544975,257.793422983,0.0307616681685
120000,29.090074633,350.466167602,0.0307616681685
121000,51.7893814429,392.22684108,0.0307616681685
122000,66.3276770357,262.837522268,0.0307616681685
123000,88.8069700308,357.982967846,0.0307616681685
124000,67.2822755215,343.366029903,0.0307616681685
125000,20.4658519675,323.117734358,0.0307616681685
126000,30.2101960024,325.053979745,0.0307616681685
127000,54.150113231,299.860830067,0.0307616681685
128000,59.3421896576,351.976454543,0.0307616681685
129000,79.8419459196,272.019042593,0.0307616681685
130000,51.6376534691,342.543311288,0.0307616681685
131000,53.0483479867,235.103781374,0.0307616681685
132000,46.4984889269,324.170562108,0.0307616681685
133000,64.7812248827,275.863718386,0.0307616681685
134000,47.2338071777,304.429837443,0.0307616681685
135000,26.2476998281,275.628497862,0.0307616681685
136000,58.1898181654,211.369245513,0.0307616681685
137000,46.579632074,317.982488788,0.0307616681685
138000,47.7461571026,322.505066555,0.0307616681685
139000,34.5280271487,258.897587932,0.0307616681685
140000,43.2047599219,328.188974283,0.0307616681685
141000,70.360155955,380.110776344,0.0307616681685
142000,34.4045167341,266.226165494,0.0307616681685
143000,114.300115451,340.416820408,0.0307616681685
144000,98.4718487068,222.393707059,0.0307616681685
145000,24.8442681505,331.978060053,0.0307616681685
146000,55.5746621749,301.157544588,0.0307616681685
147000,57.3617426439,400.413558799,0.0307616681685
148000,37.3382429148,247.477606543,0.0307616681685
149000,71.0490093092,328.834392747,0.0307616681685
150000,33.5765231179,358.480691011,0.0307616681685
151000,37.8580775966,326.867012387,0.0307616681685
152000,38.5093232455,252.610160388,0.0307616681685
153000,72.6175240758,361.492536363,0.0307616681685
154000,58.637042139,276.87798795,0.0307616681685
155000,32.0079192137,291.688694433,0.0307616681685
156000,16.1362567427,291.197510086,0.0307616681685
157000,24.995878251,281.111472871,0.0307616681685
158000,60.8253207787,251.90168633,0.0307616681685
159000,54.2672500321,278.623470182,0.0307616681685
160000,59.846764039,344.052087242,0.0307616681685
161000,53.647296639,286.993959946,0.0307616681685
162000,58.1034822944,346.063290424,0.0307616681685
163000,43.6605563333,329.969112934,0.0307616681685
164000,54.5990279721,266.286471378,0.0307616681685
165000,32.8119412078,245.230265965,0.0307616681685
166000,48.2401126627,233.958483985,0.0307616681685
167000,54.3962979335,256.704308611,0.0307616681685
168000,49.6216685464,296.981114823,0.0307616681685
169000,18.4432942166,306.42317626,0.0307616681685
170000,21.6868245037,276.999480323,0.0307616681685
171000,75.1527105028,300.538948784,0.0307616681685
172000,57.5253827518,263.525801874,0.0307616681685
173000,39.3619220886,280.78538857,0.0307616681685
174000,49.9766309341,228.958773706,0.0307616681685
175000,56.5327399735,280.172275264,0.0307616681685
176000,62.8144362393,329.725507094,0.0307616681685
177000,39.5953399546,376.260281165,0.0307616681685
178000,48.8750747859,278.221415008,0.0307616681685
179000,55.6167151425,330.511974782,0.0307616681685
180000,44.8850788975,297.603544858,0.0307616681685
181000,68.5211613507,273.809261495,0.0307616681685
182000,58.1515139164,317.741065973,0.0307616681685
183000,69.6714045278,322.603239603,0.0307616681685
184000,64.6721984863,337.731297264,0.0307616681685
185000,65.3672377332,263.873196258,0.0307616681685
186000,52.1884617592,385.507209173,0.0307616681685
187000,31.1616864521,338.788885721,0.0307616681685
188000,37.6170702403,266.691833776,0.0307616681685
189000,60.4282364033,292.488282398,0.0307616681685
190000,87.159871482,228.964557612,0.0307616681685
191000,43.2180154722,323.85965738,0.0307616681685
192000,46.4730924581,342.849404233,0.0307616681685
193000,27.7980721563,246.397794063,0.0307616681685
194000,39.7558826209,342.757304095,0.0307616681685
195000,56.2761457641,265.614603679,0.0307616681685
196000,58.9539158875,383.957626616,0.0307616681685
197000,23.402657553,263.693048499,0.0307616681685
198000,76.860236366,250.114067119,0.0307616681685
199000,61.0742201855,284.596946085,0.0307616681685
200000,66.6546120479,288.48893559,0.0307616681685
201000,47.6047089303,229.835873131,0.0307616681685
202000,66.3268962444,250.827688962,0.0307616681685
203000,69.4033617351,309.001685874,0.0307616681685
204000,29.7448405932,255.110238668,0.0307616681685
205000,70.0337208118,274.329066201,0.0307616681685
206000,57.1636731406,313.84799313,0.0307616681685
207000,55.189173901,319.438390445,0.0307616681685
208000,77.6815824781,355.781794891,0.0307616681685
209000,56.6301853985,349.73078846,0.0307616681685
