#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,27.0107216229,264.279915277,0.0153853111044
2000,34.1802921659,149.061570357,0.0153853111044
3000,31.6711557171,232.248820717,0.0153853111044
4000,23.9849355584,226.0585169,0.0153853111044
5000,26.5830770405,176.745748919,0.0153853111044
6000,23.6226225468,277.546312197,0.0153853111044
7000,39.6548707496,236.27930641,0.0153853111044
8000,27.2772074463,344.770900255,0.0153853111044
9000,34.8107286584,360.836586339,0.0153853111044
10000,28.8740999319,227.71050533,0.0153853111044
11000,30.9868631605,182.084572609,0.0153853111044
12000,37.722610636,362.680608606,0.0153853111044
13000,36.0012248777,446.152273703,0.0153853111044
14000,29.9867449106,405.603845536,0.0153853111044
15000,40.1523284528,359.523907964,0.0153853111044
16000,56.8493478878,468.382102467,0.0153853111044
17000,28.1532196097,393.06807782,0.0153853111044
18000,43.3955025357,318.166940534,0.0153853111044
19000,28.8052782195,244.003805056,0.0153853111044
20000,44.4056738846,179.335754259,0.0153853111044
21000,25.0075711089,226.345731149,0.0153853111044
22000,20.1684587775,365.189583579,0.0153853111044
23000,34.7252839458,249.627206597,0.0153853111044
24000,45.7346534832,242.027504819,0.0153853111044
25000,30.7250973476,190.465242554,0.0153853111044
26000,45.3674448748,167.722193343,0.0153853111044
27000,12.1493006577,308.936162386,0.0153853111044
28000,43.8347428782,229.575540614,0.0153853111044
29000,33.6588023953,265.201311018,0.0153853111044
30000,30.1340039254,166.912969518,0.0153853111044
31000,27.0186760048,328.404088409,0.0153853111044
32000,32.4515789872,335.192949045,0.0153853111044
33000,35.4329050307,286.465641098,0.0153853111044
34000,30.3328302758,307.556319698,0.0153853111044
35000,59.1914108785,289.923903336,0.0153853111044
36000,69.7303131081,390.016383063,0.0153853111044
37000,27.0744694574,304.871093973,0.0153853111044
38000,37.8161011644,245.559577798,0.0153853111044
39000,21.6275183298,352.555070608,0.0153853111044
40000,40.502032377,289.257232272,0.0153853111044
41000,37.9615371052,201.017549774,0.0153853111044
42000,31.7493155964,271.834311022,0.0153853111044
43000,54.858633896,244.120765296,0.0153853111044
44000,34.1207885088,334.514108951,0.0153853111044
45000,36.35037172,262.699962781,0.0153853111044
46000,44.450670849,251.218934609,0.0153853111044
47000,30.8738134438,311.182272169,0.0153853111044
48000,37.1380983782,165.208063469,0.0153853111044
49000,30.7523441236,279.815958574,0.0153853111044
50000,53.6704768302,323.197166063,0.0153853111044
51000,27.930114795,340.670543868,0.0153853111044
52000,54.1853308518,247.787324568,0.0153853111044
53000,58.1603524098,371.064228385,0.0153853111044
54000,31.5373357046,419.945375165,0.0153853111044
55000,21.8066993285,190.972058393,0.0153853111044
56000,48.8471826068,345.162087329,0.0153853111044
57000,51.9039561229,236.848523403,0.0153853111044
58000,45.8357034775,286.635686041,0.0153853111044
59000,36.340228858,382.088400008,0.0153853111044
60000,39.9834017011,276.353150389,0.0153853111044
61000,44.5544557383,162.413099845,0.0153853111044
62000,73.1407531069,266.338913906,0.0153853111044
63000,44.6034400244,313.280688491,0.0153853111044
64000,52.2480264694,245.441034525,0.0153853111044
65000,24.4669467223,252.726502189,0.0153853111044
66000,27.8001940235,277.866428611,0.0153853111044
67000,37.0903764345,347.810422693,0.0153853111044
68000,45.5154757554,223.335953224,0.0153853111044
69000,33.0578813254,200.676520879,0.0153853111044
70000,37.2732429381,254.554935657,0.0153853111044
71000,34.1352532852,234.619895445,0.0153853111044
72000,58.8678219794,369.500812677,0.0153853111044
73000,46.8245456354,350.7349329,0.0153853111044
74000,48.1882071566,471.178142333,0.0153853111044
75000,34.4945229425,342.664369113,0.0153853111044
76000,71.5023738768,255.386961485,0.0153853111044
77000,41.5383346578,321.057421276,0.0153853111044
78000,67.8659229428,214.161661447,0.0153853111044
79000,44.5773609864,189.23723361,0.0153853111044
80000,47.1079658048,271.348957244,0.0153853111044
81000,50.4842250808,286.607942945,0.0153853111044
82000,32.8816580855,222.76827291,0.0153853111044
83000,27.6558574254,358.77891209,0.0153853111044
84000,17.1421686601,335.013305615,0.0153853111044
85000,39.8331631906,334.402601656,0.0153853111044
86000,40.9652369615,313.38618446,0.0153853111044
87000,42.6441484013,328.102698495,0.0153853111044
88000,32.7653074858,344.303526467,0.0153853111044
89000,27.7392329695,301.480995853,0.0153853111044
90000,30.0619008651,193.907680497,0.0153853111044
91000,47.1285548329,301.652551116,0.0153853111044
92000,19.3692091629,278.847440832,0.0153853111044
93000,17.5424827156,319.380844452,0.0153853111044
94000,36.3411337504,307.668325888,0.0153853111044
95000,43.8684850908,412.669849514,0.0153853111044
96000,57.8783962444,261.808709843,0.0153853111044
97000,52.0779865181,286.898347327,0.0153853111044
98000,24.4592808632,324.093505068,0.0153853111044
99000,33.6808502424,217.783040571,0.0153853111044
100000,43.6352497368,282.225590767,0.0153853111044
