#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,8.59905631923,403.983685868,0.0153853111044
2000,35.1502921523,418.18572716,0.0153853111044
3000,44.7650295103,235.974248105,0.0153853111044
4000,31.9756887702,222.663685413,0.0153853111044
5000,13.0719149452,186.398763688,0.0153853111044
6000,17.2374111089,383.674942628,0.0153853111044
7000,29.3382926571,351.601753668,0.0153853111044
8000,47.9138337965,298.71330301,0.0153853111044
9000,31.084063304,350.696967889,0.0153853111044
10000,53.4605856015,338.699231868,0.0153853111044
11000,52.1438569882,339.502984109,0.0153853111044
12000,57.0967845647,275.413849217,0.0153853111044
13000,14.2437670442,299.194252934,0.0153853111044
14000,34.8910462135,338.311569368,0.0153853111044
15000,37.1697425569,301.737132467,0.0153853111044
16000,36.6181183092,315.001410577,0.0153853111044
17000,52.2373489084,439.67249174,0.0153853111044
18000,35.0938329869,333.091945237,0.0153853111044
19000,46.7652291294,226.314014106,0.0153853111044
20000,19.5870063142,194.096222057,0.0153853111044
21000,43.8508356602,307.137980679,0.0153853111044
22000,34.0154112249,248.854943562,0.0153853111044
23000,41.6557627125,283.435100173,0.0153853111044
24000,30.9405854142,318.312359417,0.0153853111044
25000,33.7513236576,206.466286881,0.0153853111044
26000,50.6841959491,380.708564897,0.0153853111044
27000,13.7628218484,335.975414365,0.0153853111044
28000,46.9684482374,300.766030938,0.0153853111044
29000,26.5794565605,295.523134321,0.0153853111044
30000,34.0338802723,437.405792635,0.0153853111044
31000,23.3332307127,377.357233368,0.0153853111044
32000,61.5011219681,350.660358204,0.0153853111044
33000,39.9403897203,206.348335696,0.0153853111044
34000,23.9289338123,188.130859891,0.0153853111044
35000,16.4546410144,288.793584774,0.0153853111044
36000,59.2792012435,409.241778762,0.0153853111044
37000,43.103555011,370.022940551,0.0153853111044
38000,54.1370843491,276.132380079,0.0153853111044
39000,37.6112013112,189.678366031,0.0153853111044
40000,25.1311274415,328.762981382,0.0153853111044
41000,39.4032918155,211.606601794,0.0153853111044
42000,33.0220181464,393.34634897,0.0153853111044
43000,32.4375925912,384.751979546,0.0153853111044
44000,67.9209385067,269.010455094,0.0153853111044
45000,32.2796724822,365.186022694,0.0153853111044
46000,38.844947603,281.949411529,0.0153853111044
47000,60.7531759835,315.040172797,0.0153853111044
48000,44.6568621719,321.40283451,0.0153853111044
49000,25.7438164339,203.92392084,0.0153853111044
50000,45.9002013433,240.834965173,0.0153853111044
51000,37.3804985494,342.245773459,0.0153853111044
52000,31.6606307318,311.007050658,0.0153853111044
53000,46.2662991891,261.869659172,0.0153853111044
54000,42.2924539013,340.193423575,0.0153853111044
55000,30.2140336925,346.55085283,0.0153853111044
56000,33.8678617951,355.588931447,0.0153853111044
57000,30.2263537837,284.628264943,0.0153853111044
58000,26.9289583225,348.236070791,0.0153853111044
59000,39.4462980029,303.117236973,0.0153853111044
60000,39.0249971205,411.831493233,0.0153853111044
61000,39.7200800142,279.250280871,0.0153853111044
62000,36.2629068731,165.620111689,0.0153853111044
63000,31.9129960428,296.160364644,0.0153853111044
64000,21.8352212115,326.149982365,0.0153853111044
65000,52.3430858043,220.848794808,0.0153853111044
66000,38.5808943459,377.068512503,0.0153853111044
67000,39.898523506,388.132194628,0.0153853111044
68000,32.0165980218,425.85527475,0.0153853111044
69000,20.9561191408,443.894056223,0.0153853111044
70000,43.3422799077,213.087458064,0.0153853111044
71000,38.4978964459,271.238293803,0.0153853111044
72000,12.2186738142,230.257243888,0.0153853111044
73000,22.3329958606,269.240268424,0.0153853111044
74000,56.8397682138,292.100308152,0.0153853111044
75000,17.7825289178,332.617628974,0.0153853111044
76000,47.5358202565,368.558234937,0.0153853111044
77000,62.8985446798,393.239594343,0.0153853111044
78000,30.352613954,298.012566712,0.0153853111044
79000,43.4676079435,461.660381656,0.0153853111044
80000,47.3546349764,164.500868928,0.0153853111044
81000,41.9033375656,318.412231657,0.0153853111044
82000,45.7161604105,340.900006553,0.0153853111044
83000,22.9567220524,343.633783223,0.0153853111044
84000,54.6207464684,372.915360504,0.0153853111044
85000,35.9076926188,413.846618446,0.0153853111044
86000,54.1672323142,320.116833643,0.0153853111044
87000,33.7138164225,466.153840047,0.0153853111044
88000,34.6489619597,336.817453743,0.0153853111044
89000,38.1983482159,333.166359314,0.0153853111044
90000,29.1827346111,210.293733436,0.0153853111044
91000,36.2311018698,296.48975846,0.0153853111044
92000,39.238741748,321.224014566,0.0153853111044
93000,42.8896039597,303.761224212,0.0153853111044
94000,30.6852666301,277.821141917,0.0153853111044
95000,35.9166744169,288.235944585,0.0153853111044
96000,32.9296507848,413.489101138,0.0153853111044
97000,23.3130007985,408.082483593,0.0153853111044
98000,28.3396146176,184.068406671,0.0153853111044
99000,32.4585235554,278.127016334,0.0153853111044
100000,36.3393142319,228.476446777,0.0153853111044
