#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,14.288621594,352.51580383,0.00624139281205
2000,34.2112878015,313.74853802,0.00624139281205
3000,30.5882025962,283.570826899,0.00624139281205
4000,16.968599353,302.311441007,0.00624139281205
5000,26.0310934971,368.717724452,0.00624139281205
6000,22.6319654369,491.752234784,0.00624139281205
7000,12.8938409822,301.019328089,0.00624139281205
8000,28.3154253615,275.99862945,0.00624139281205
9000,25.9351769739,348.820937615,0.00624139281205
10000,36.806994961,168.403622601,0.00624139281205
11000,31.040659059,245.802021906,0.00624139281205
12000,28.6332360755,213.942015699,0.00624139281205
13000,31.3639738952,180.230760176,0.00624139281205
14000,34.8957257563,225.871527003,0.00624139281205
15000,39.3222074781,465.632658941,0.00624139281205
16000,23.9520301344,464.554668195,0.00624139281205
17000,41.0466830448,443.594703869,0.00624139281205
18000,43.3000801231,564.590478428,0.00624139281205
19000,17.8241149913,348.603414534,0.00624139281205
20000,26.7388092221,349.581955477,0.00624139281205
21000,10.8666462279,397.605622407,0.00624139281205
22000,23.4524689363,268.116065356,0.00624139281205
23000,28.5718390174,85.4110659941,0.00624139281205
24000,31.8450274262,254.328883306,0.00624139281205
25000,21.8781468224,378.024330761,0.00624139281205
26000,26.5587663308,178.490309076,0.00624139281205
27000,41.1205219869,267.070838362,0.00624139281205
28000,27.9526418294,351.834616796,0.00624139281205
29000,33.5610430184,312.159365737,0.00624139281205
30000,27.3343087644,122.453499024,0.00624139281205
31000,30.5709667756,310.345255588,0.00624139281205
32000,31.5893182067,274.145248019,0.00624139281205
33000,33.6686554138,267.582479472,0.00624139281205
34000,37.7813462232,229.484599484,0.00624139281205
35000,27.2983492854,290.50961379,0.00624139281205
36000,25.276462283,281.241724148,0.00624139281205
37000,18.0721118801,221.218434601,0.00624139281205
38000,31.7721900784,293.385011047,0.00624139281205
39000,32.7725247866,295.422071978,0.00624139281205
40000,27.9067923563,242.606730886,0.00624139281205
41000,35.2157540295,211.270268102,0.00624139281205
42000,20.974380871,241.35146548,0.00624139281205
43000,29.0219971659,221.055487898,0.00624139281205
44000,42.1872565464,334.204653881,0.00624139281205
45000,44.6916634743,470.71813606,0.00624139281205
46000,30.8827600175,307.420633782,0.00624139281205
47000,33.10233304,169.809074931,0.00624139281205
48000,26.6315329947,331.82411925,0.00624139281205
49000,49.4213288854,218.688532921,0.00624139281205
50000,20.2701322781,391.415696499,0.00624139281205
51000,23.2955090142,325.351858471,0.00624139281205
52000,76.0845818064,344.768938671,0.00624139281205
53000,26.2949324603,371.732447933,0.00624139281205
54000,24.5144725749,351.488058442,0.00624139281205
55000,23.6606051118,179.881372476,0.00624139281205
56000,23.0727233592,243.20228592,0.00624139281205
57000,36.0197339533,258.390976443,0.00624139281205
58000,31.2644392366,395.354215414,0.00624139281205
59000,44.9252205924,373.802218408,0.00624139281205
60000,29.4772411829,268.368880006,0.00624139281205
61000,27.8797793959,350.286975719,0.00624139281205
62000,21.3936690618,324.239378059,0.00624139281205
63000,37.5878360006,419.043882904,0.00624139281205
64000,30.311247015,194.233461166,0.00624139281205
65000,60.2706501291,301.490057306,0.00624139281205
66000,46.5015124732,362.963537788,0.00624139281205
67000,32.7188827491,355.015945035,0.00624139281205
68000,20.9335952705,233.476527808,0.00624139281205
69000,39.3950640518,430.513181007,0.00624139281205
70000,39.604640661,321.738022336,0.00624139281205
71000,46.4669768279,302.357941122,0.00624139281205
72000,31.5106291285,341.350544047,0.00624139281205
73000,31.0849171636,411.86244152,0.00624139281205
74000,24.0433808472,195.541338439,0.00624139281205
75000,37.2378580478,188.55733999,0.00624139281205
76000,31.762038326,383.597528511,0.00624139281205
77000,33.0213695317,276.342278461,0.00624139281205
78000,27.8508325562,364.347644119,0.00624139281205
79000,17.9318056179,261.237677116,0.00624139281205
80000,31.4493124608,539.950881802,0.00624139281205
81000,28.61158619,246.566382982,0.00624139281205
82000,54.2156097529,150.37438411,0.00624139281205
83000,22.6492939006,364.84187419,0.00624139281205
84000,35.7541551776,342.840855491,0.00624139281205
85000,32.3285402325,610.057031213,0.00624139281205
86000,63.9435217505,188.171164844,0.00624139281205
87000,23.2143385458,393.521163652,0.00624139281205
88000,45.788985749,223.73744189,0.00624139281205
89000,28.9814313353,235.50398131,0.00624139281205
90000,43.6118596307,247.534287702,0.00624139281205
91000,22.5424140142,309.525493193,0.00624139281205
92000,29.1082837624,375.962671566,0.00624139281205
93000,26.0597153988,297.308567526,0.00624139281205
94000,26.9679253721,198.698603184,0.00624139281205
95000,18.7315845875,259.077577696,0.00624139281205
96000,33.3767463768,262.644187652,0.00624139281205
97000,25.3931516962,425.925199035,0.00624139281205
98000,45.4074517035,260.235878567,0.00624139281205
99000,30.9531892615,300.155126584,0.00624139281205
100000,29.2581842329,202.73705513,0.00624139281205
