#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,77.9911494987,256.67630132,0.0274407089172
2000,84.151713528,241.193579618,0.0274407089172
3000,75.7508251028,312.604416094,0.0274407089172
4000,59.6875499622,324.31142307,0.0274407089172
5000,39.256347039,270.27574271,0.0274407089172
6000,100.653219591,223.588488676,0.0274407089172
7000,57.5606327612,236.56387654,0.0274407089172
8000,105.671583365,318.390378375,0.0274407089172
9000,77.8250708334,359.50276511,0.0274407089172
10000,57.2380092466,262.44764474,0.0274407089172
11000,67.969625478,277.836125672,0.0274407089172
12000,84.963762673,261.939904922,0.0274407089172
13000,81.4284390897,267.725614855,0.0274407089172
14000,73.6003331195,218.710398729,0.0274407089172
15000,74.0362656825,358.059229808,0.0274407089172
16000,97.747487086,224.732599522,0.0274407089172
17000,92.8493552032,274.994522614,0.0274407089172
18000,77.0175414668,258.453731601,0.0274407089172
19000,94.0120403794,348.833576189,0.0274407089172
20000,90.5820287169,325.235082683,0.0274407089172
21000,86.1901794057,318.681856285,0.0274407089172
22000,99.7936990236,337.395672824,0.0274407089172
23000,69.7414113676,304.493402864,0.0274407089172
24000,89.3157379025,264.898941045,0.0274407089172
25000,99.2993831566,325.484531413,0.0274407089172
26000,64.832641033,260.123491257,0.0274407089172
27000,62.0047639026,380.87876515,0.0274407089172
28000,88.3446639068,200.300753028,0.0274407089172
29000,78.1613227614,267.21138391,0.0274407089172
30000,106.78617905,370.991639146,0.0274407089172
31000,106.732805994,291.583329954,0.0274407089172
32000,46.5958519029,406.260003427,0.0274407089172
33000,55.5601416216,302.03001469,0.0274407089172
34000,100.090127552,294.943125014,0.0274407089172
35000,80.0202895589,391.213925387,0.0274407089172
36000,72.4483473804,354.07516787,0.0274407089172
37000,110.508571798,352.939762359,0.0274407089172
38000,105.055659002,256.245762113,0.0274407089172
39000,100.667172048,336.363318363,0.0274407089172
40000,98.9456880338,371.160617154,0.0274407089172
41000,78.5705536904,289.698285612,0.0274407089172
42000,84.0085646532,322.620376536,0.0274407089172
43000,109.336067142,261.274709699,0.0274407089172
44000,77.5346754048,190.931716591,0.0274407089172
45000,89.9032646989,262.234706133,0.0274407089172
46000,79.308331677,231.853331524,0.0274407089172
47000,110.75512775,298.968814726,0.0274407089172
48000,85.7353439455,222.384663109,0.0274407089172
49000,88.3665537,321.816205056,0.0274407089172
50000,122.529448326,310.065964874,0.0274407089172
51000,83.9722647461,312.109511647,0.0274407089172
52000,60.3411073058,323.717367325,0.0274407089172
53000,73.6565385353,306.482596907,0.0274407089172
54000,101.313461821,305.413879302,0.0274407089172
55000,113.412056784,390.761135599,0.0274407089172
56000,80.8010572789,284.102954251,0.0274407089172
57000,79.9529142344,321.528125305,0.0274407089172
58000,103.935835104,376.177000912,0.0274407089172
59000,106.996607859,402.769387292,0.0274407089172
60000,101.339050236,409.349994187,0.0274407089172
61000,80.5488981518,306.644825261,0.0274407089172
62000,100.694183728,243.36680547,0.0274407089172
63000,50.6011349309,314.535809198,0.0274407089172
64000,112.631470071,337.445362278,0.0274407089172
65000,60.367716848,299.247310516,0.0274407089172
66000,53.6768042646,354.546640442,0.0274407089172
67000,78.6306110631,226.942338762,0.0274407089172
68000,114.076538538,394.356226068,0.0274407089172
69000,45.366179669,327.281262274,0.0274407089172
70000,47.7471885359,294.577902543,0.0274407089172
71000,72.5010494638,232.857337683,0.0274407089172
72000,66.1099699266,189.783434282,0.0274407089172
73000,82.3362968122,290.568374876,0.0274407089172
74000,59.6189608468,301.231775065,0.0274407089172
75000,90.6759233007,256.090238516,0.0274407089172
76000,119.898233705,303.942214546,0.0274407089172
77000,93.5372969738,268.955588136,0.0274407089172
78000,85.2012884106,313.070500205,0.0274407089172
79000,89.0112481582,353.616672358,0.0274407089172
80000,90.2122833019,291.570183389,0.0274407089172
81000,55.919945251,284.200175753,0.0274407089172
82000,64.2991624416,324.736046898,0.0274407089172
83000,93.2334532987,202.285143772,0.0274407089172
84000,80.8578579394,295.384620524,0.0274407089172
85000,114.903284266,307.756694811,0.0274407089172
86000,87.5082808043,209.057450985,0.0274407089172
87000,96.910210569,324.480685069,0.0274407089172
88000,62.8152416825,319.701902057,0.0274407089172
89000,77.3009848084,313.521226007,0.0274407089172
90000,95.5311495815,375.437560088,0.0274407089172
91000,83.9430380266,302.125401255,0.0274407089172
92000,67.9253383486,280.701184778,0.0274407089172
93000,74.5934730664,279.049552464,0.0274407089172
94000,78.6449567998,301.472656214,0.0274407089172
95000,60.0600396991,242.85784721,0.0274407089172
96000,74.0612167923,227.902868093,0.0274407089172
97000,109.155307115,305.178695356,0.0274407089172
98000,91.3218344474,328.076392392,0.0274407089172
99000,71.4070865367,348.54488806,0.0274407089172
100000,87.2455316022,348.633585083,0.0274407089172
