#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,80.85223615,282.469905994,0.0274407089172
2000,88.3302633044,346.659875306,0.0274407089172
3000,76.1404862074,345.176972581,0.0274407089172
4000,74.1082664411,304.997632432,0.0274407089172
5000,78.452582236,314.210879376,0.0274407089172
6000,85.3711178513,331.309700818,0.0274407089172
7000,79.8167589245,284.696798131,0.0274407089172
8000,92.7916487249,258.678503962,0.0274407089172
9000,105.453234141,244.8044644,0.0274407089172
10000,83.85467951,213.479295353,0.0274407089172
11000,110.650434618,271.687814936,0.0274407089172
12000,87.3001284882,332.300986219,0.0274407089172
13000,93.9547640874,342.460198366,0.0274407089172
14000,80.9720932595,237.344260404,0.0274407089172
15000,128.01259902,235.419512112,0.0274407089172
16000,114.816044308,273.914251163,0.0274407089172
17000,82.390608891,278.432374065,0.0274407089172
18000,59.442672332,258.807465495,0.0274407089172
19000,83.1748819418,297.503324595,0.0274407089172
20000,80.7005785177,357.260671033,0.0274407089172
21000,115.779951268,255.158540388,0.0274407089172
22000,97.6762498242,241.294988061,0.0274407089172
23000,96.0121796131,288.461098535,0.0274407089172
24000,65.0700517056,297.798288874,0.0274407089172
25000,61.9168752213,320.575152256,0.0274407089172
26000,104.031166683,250.934538918,0.0274407089172
27000,84.4496157235,377.971897978,0.0274407089172
28000,69.2035196997,341.474797297,0.0274407089172
29000,84.4210991552,295.524104797,0.0274407089172
30000,93.5550677034,335.686713323,0.0274407089172
31000,105.557281224,328.392275666,0.0274407089172
32000,97.2037382955,332.484896847,0.0274407089172
33000,87.2587194145,357.598842712,0.0274407089172
34000,81.5913286103,291.727835419,0.0274407089172
35000,90.9503833855,374.895813734,0.0274407089172
36000,124.739498448,351.343956798,0.0274407089172
37000,50.6858219922,258.400476616,0.0274407089172
38000,69.3597905425,334.710220323,0.0274407089172
39000,75.4971421515,252.348687216,0.0274407089172
40000,81.5829155414,248.855963419,0.0274407089172
41000,121.897957199,247.570997865,0.0274407089172
42000,86.746130055,351.345477634,0.0274407089172
43000,69.4802241472,310.418901664,0.0274407089172
44000,111.983070019,288.958475476,0.0274407089172
45000,98.8797797204,306.586762432,0.0274407089172
46000,103.488640144,277.345394395,0.0274407089172
47000,135.009021428,314.96200654,0.0274407089172
48000,64.7428309734,373.858498487,0.0274407089172
49000,98.1732925044,223.460542668,0.0274407089172
50000,50.3629130011,280.497440718,0.0274407089172
51000,43.5936965523,226.602788686,0.0274407089172
52000,96.0527678919,264.082633732,0.0274407089172
53000,90.082396054,331.950348812,0.0274407089172
54000,56.1595203316,340.107764288,0.0274407089172
55000,78.0817486079,189.434527227,0.0274407089172
56000,48.8884948402,387.563795512,0.0274407089172
57000,90.6056397692,278.433602793,0.0274407089172
58000,84.6224276915,214.533333903,0.0274407089172
59000,68.813561158,291.31175596,0.0274407089172
60000,93.8201414722,293.226718951,0.0274407089172
61000,92.1130500809,327.203411284,0.0274407089172
62000,110.765562777,286.155830035,0.0274407089172
63000,116.42843123,220.966123974,0.0274407089172
64000,86.0781848873,287.479942532,0.0274407089172
65000,113.172043164,364.142754011,0.0274407089172
66000,69.7625965282,318.631140735,0.0274407089172
67000,141.386478354,232.986394619,0.0274407089172
68000,110.626400033,227.632366048,0.0274407089172
69000,93.1306861267,222.561648243,0.0274407089172
70000,93.492635211,265.402274169,0.0274407089172
71000,54.1696819797,320.311376824,0.0274407089172
72000,60.0694961213,291.135268107,0.0274407089172
73000,72.008136368,249.400550016,0.0274407089172
74000,84.7641572146,346.802419259,0.0274407089172
75000,81.1968883967,360.881933827,0.0274407089172
76000,65.0976012098,382.577595547,0.0274407089172
77000,106.592224747,272.380745217,0.0274407089172
78000,86.3267699139,260.612157491,0.0274407089172
79000,136.432520614,295.918354252,0.0274407089172
80000,73.8089311486,311.390410832,0.0274407089172
81000,97.0165671743,325.258904473,0.0274407089172
82000,88.069345404,350.771605638,0.0274407089172
83000,100.310387285,227.517886684,0.0274407089172
84000,84.471261,436.996415932,0.0274407089172
85000,79.9119181807,297.55282162,0.0274407089172
86000,89.6664517944,229.490399603,0.0274407089172
87000,104.31471638,294.78140801,0.0274407089172
88000,76.3885375949,319.89217147,0.0274407089172
89000,89.666222996,342.150903025,0.0274407089172
90000,56.355399781,382.457889999,0.0274407089172
91000,73.977035846,291.303400231,0.0274407089172
92000,65.9011820917,366.970922758,0.0274407089172
93000,65.0863355419,281.87234383,0.0274407089172
94000,81.3238032717,329.629736147,0.0274407089172
