#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,85.5213565835,246.362961203,0.0274407089172
2000,96.5478155011,292.973748216,0.0274407089172
3000,89.4970360828,261.418015344,0.0274407089172
4000,81.6869294033,220.768788952,0.0274407089172
5000,85.6259697236,311.663269467,0.0274407089172
6000,96.427337012,307.177953521,0.0274407089172
7000,56.7856057755,355.540999704,0.0274407089172
8000,67.7619004031,246.091013966,0.0274407089172
9000,70.9460831314,288.731302885,0.0274407089172
10000,86.3925059766,319.859885012,0.0274407089172
11000,140.836077641,406.780531591,0.0274407089172
12000,80.3327282079,284.905725923,0.0274407089172
13000,73.1707579079,257.990323206,0.0274407089172
14000,108.331309974,268.243858434,0.0274407089172
15000,102.657324223,298.12426198,0.0274407089172
16000,62.0773407765,332.75246936,0.0274407089172
17000,92.9657558924,366.860621037,0.0274407089172
18000,78.2509394462,438.763288562,0.0274407089172
19000,69.2386537213,271.680332907,0.0274407089172
20000,37.0359979382,236.208786137,0.0274407089172
21000,88.6083329476,246.12797831,0.0274407089172
22000,55.6142834872,258.720943327,0.0274407089172
23000,72.4434214223,377.784478782,0.0274407089172
24000,115.440937018,319.932454561,0.0274407089172
25000,67.1353837457,312.756273888,0.0274407089172
26000,116.589265375,235.135723411,0.0274407089172
27000,92.7075999447,293.381787756,0.0274407089172
28000,69.5359376151,224.995218862,0.0274407089172
29000,90.1889676576,423.999536797,0.0274407089172
30000,72.8436307652,370.120801903,0.0274407089172
31000,104.074250957,291.618520601,0.0274407089172
32000,73.0527345262,288.03001447,0.0274407089172
33000,94.0150973574,339.74233421,0.0274407089172
34000,57.3134325195,348.108234234,0.0274407089172
35000,92.2162626089,338.58356284,0.0274407089172
36000,65.8455216203,216.221546899,0.0274407089172
37000,112.665121704,269.637085081,0.0274407089172
38000,86.263520092,235.309630257,0.0274407089172
39000,49.1202052726,374.032520902,0.0274407089172
40000,67.0622750146,269.098118783,0.0274407089172
41000,85.5748806314,328.961618942,0.0274407089172
42000,104.103347049,245.001019496,0.0274407089172
43000,70.0962489842,344.549936159,0.0274407089172
44000,64.0406447688,312.662025111,0.0274407089172
45000,53.8576256765,230.544019073,0.0274407089172
46000,65.106147432,280.008560237,0.0274407089172
47000,103.774039513,273.842557985,0.0274407089172
48000,59.9748146002,270.564944073,0.0274407089172
49000,75.1404510264,229.276697598,0.0274407089172
50000,76.7912675929,299.14594104,0.0274407089172
51000,54.8809476806,199.003336783,0.0274407089172
52000,61.254913123,357.339653353,0.0274407089172
53000,63.5493891439,303.865460574,0.0274407089172
54000,89.05278427,176.731597599,0.0274407089172
55000,94.6240355868,279.744555839,0.0274407089172
56000,78.6628154809,323.581483417,0.0274407089172
57000,67.0387805871,387.590995447,0.0274407089172
58000,77.0139293413,396.392262215,0.0274407089172
59000,93.0549298206,287.367495993,0.0274407089172
60000,79.4613687186,344.942143047,0.0274407089172
61000,70.7169225271,323.419599596,0.0274407089172
62000,65.0190815398,283.34016831,0.0274407089172
63000,77.5292681772,283.195509673,0.0274407089172
64000,83.3999788444,333.033026335,0.0274407089172
65000,114.428937608,384.867403348,0.0274407089172
66000,108.197062405,281.315314531,0.0274407089172
67000,92.4298264116,205.546189538,0.0274407089172
68000,74.3368943681,250.395996184,0.0274407089172
69000,75.5976840428,275.426821698,0.0274407089172
70000,85.492374802,371.815932272,0.0274407089172
71000,115.578508866,231.226731577,0.0274407089172
72000,76.4361053729,322.756902046,0.0274407089172
73000,50.4079755334,263.72804364,0.0274407089172
74000,103.10472023,347.087746727,0.0274407089172
75000,84.0424977874,469.504200142,0.0274407089172
76000,77.0731662572,239.406768683,0.0274407089172
77000,76.4241308191,280.056231325,0.0274407089172
78000,67.5328436522,199.102573931,0.0274407089172
79000,97.3628558031,237.879914491,0.0274407089172
80000,44.5573039059,334.964741616,0.0274407089172
81000,64.1976326662,349.27486843,0.0274407089172
82000,59.0153775699,320.500032455,0.0274407089172
83000,76.4834352614,289.770876805,0.0274407089172
84000,77.5944365632,363.846343282,0.0274407089172
85000,54.4725197402,253.001669299,0.0274407089172
86000,55.3976836477,248.986286015,0.0274407089172
87000,93.6124752576,263.359859761,0.0274407089172
88000,107.138195423,219.136434998,0.0274407089172
89000,72.8928953244,357.520450512,0.0274407089172
90000,78.3808091476,235.556760959,0.0274407089172
91000,113.532425159,296.301252108,0.0274407089172
92000,82.8011050226,275.835200471,0.0274407089172
93000,101.207436019,344.648362349,0.0274407089172
94000,83.9560784502,379.564921932,0.0274407089172
95000,75.7108394008,305.919198704,0.0274407089172
96000,72.7047689996,315.695297278,0.0274407089172
97000,80.0788965924,265.18038013,0.0274407089172
98000,93.8991598005,315.671439472,0.0274407089172
99000,64.5081830802,368.672215269,0.0274407089172
100000,60.9529799143,300.013003882,0.0274407089172
