#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,102.154669599,385.302102639,0.0274407089172
2000,88.5808500616,247.831830617,0.0274407089172
3000,107.729797534,320.623674878,0.0274407089172
4000,80.2776328603,318.077161576,0.0274407089172
5000,102.832482345,281.295878498,0.0274407089172
6000,95.1191378727,319.810403396,0.0274407089172
7000,74.62948973,258.678774609,0.0274407089172
8000,63.9719928421,239.339316096,0.0274407089172
9000,63.9865416598,327.689446954,0.0274407089172
10000,103.727072519,322.519292163,0.0274407089172
11000,82.1148671315,348.524264218,0.0274407089172
12000,79.1549524237,309.593398682,0.0274407089172
13000,103.569171095,313.339460584,0.0274407089172
14000,132.442303667,359.980086128,0.0274407089172
15000,68.6418792852,322.786662675,0.0274407089172
16000,96.0552844019,203.456671969,0.0274407089172
17000,86.4253746231,213.139900972,0.0274407089172
18000,97.8063991373,249.574915033,0.0274407089172
19000,100.140075772,433.117771955,0.0274407089172
20000,111.813507742,289.465394249,0.0274407089172
21000,133.899193972,244.423612853,0.0274407089172
22000,69.7795026575,312.644587846,0.0274407089172
23000,97.7517358143,360.951471086,0.0274407089172
24000,107.274117699,168.370456772,0.0274407089172
25000,92.3853051804,306.674100733,0.0274407089172
26000,108.264502751,278.655277446,0.0274407089172
27000,110.933012265,275.23188652,0.0274407089172
28000,108.543240864,334.184372013,0.0274407089172
29000,112.500282958,296.233279114,0.0274407089172
30000,123.800838826,320.344022964,0.0274407089172
31000,120.158150958,282.925417169,0.0274407089172
32000,94.2740818298,221.464008018,0.0274407089172
33000,95.854601729,298.199835018,0.0274407089172
34000,62.4398201549,232.820405628,0.0274407089172
35000,102.195813113,324.704556457,0.0274407089172
36000,114.460699078,240.792071912,0.0274407089172
37000,75.8959100725,285.344969179,0.0274407089172
38000,91.8377540492,245.747567074,0.0274407089172
39000,98.9584655125,367.294574431,0.0274407089172
40000,80.8633580177,323.235454892,0.0274407089172
41000,72.2602804131,335.99872196,0.0274407089172
42000,83.223216321,283.967770894,0.0274407089172
43000,93.4327972973,252.996935844,0.0274407089172
44000,81.8239626504,352.764988157,0.0274407089172
45000,115.734255186,317.215168603,0.0274407089172
46000,77.6095342085,303.131292426,0.0274407089172
47000,78.3246911893,292.777309933,0.0274407089172
48000,103.171723947,232.448062962,0.0274407089172
49000,55.7917951947,269.017192354,0.0274407089172
50000,98.802558513,256.631846741,0.0274407089172
51000,116.176139918,243.341891679,0.0274407089172
52000,92.7976057239,299.192817616,0.0274407089172
53000,116.51530171,331.793441986,0.0274407089172
54000,84.7033658932,284.766135707,0.0274407089172
55000,113.890852784,353.229937384,0.0274407089172
56000,79.9276713126,228.739806828,0.0274407089172
57000,105.368178329,254.253844313,0.0274407089172
58000,89.7102021606,260.443037699,0.0274407089172
59000,94.1782747107,349.846330822,0.0274407089172
60000,82.4193579882,362.884808881,0.0274407089172
61000,106.071511998,283.349929247,0.0274407089172
62000,70.9491725509,303.769277095,0.0274407089172
63000,65.9294065012,340.835208836,0.0274407089172
64000,120.988916484,239.959151662,0.0274407089172
65000,81.1098768334,315.400866977,0.0274407089172
66000,98.395203915,273.781251305,0.0274407089172
67000,87.4675251134,316.576032011,0.0274407089172
68000,96.83555067,333.077276696,0.0274407089172
69000,101.933997505,272.886796909,0.0274407089172
70000,74.510293914,297.196547592,0.0274407089172
71000,67.8639178109,335.685370088,0.0274407089172
72000,84.7914638196,231.339106856,0.0274407089172
73000,75.3338361396,246.920493613,0.0274407089172
74000,87.9436608496,302.480271242,0.0274407089172
75000,100.681422124,263.570518064,0.0274407089172
76000,107.431685477,367.446356143,0.0274407089172
77000,123.503522034,279.249852261,0.0274407089172
78000,83.2767335288,230.361327005,0.0274407089172
79000,98.8644974916,241.970557689,0.0274407089172
80000,83.9690797517,250.774179692,0.0274407089172
81000,89.0310045317,234.662477472,0.0274407089172
82000,113.254826325,263.425796622,0.0274407089172
83000,88.3753863638,310.744630182,0.0274407089172
84000,82.9981524665,272.786884271,0.0274407089172
85000,127.560346404,308.358650871,0.0274407089172
86000,100.644117488,306.876671398,0.0274407089172
87000,99.1534940615,305.558515461,0.0274407089172
88000,81.0523840769,364.638827367,0.0274407089172
89000,92.1940096284,264.289842017,0.0274407089172
90000,90.0047133406,327.075991749,0.0274407089172
91000,102.910917673,337.412842455,0.0274407089172
92000,63.7409024987,243.417856111,0.0274407089172
93000,90.9630986818,279.58856533,0.0274407089172
94000,92.7131106827,229.046203099,0.0274407089172
95000,64.0655588816,205.242751806,0.0274407089172
96000,77.5965807226,249.202639148,0.0274407089172
97000,117.855877978,249.746804259,0.0274407089172
98000,125.340930119,279.658602214,0.0274407089172
99000,82.5448775056,388.891174682,0.0274407089172
100000,83.2172348191,320.458484294,0.0274407089172
