#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,230.80583689,354.650129867,0.0186973163154
2000,254.850018739,174.855993466,0.0186973163154
3000,258.339320498,347.261059826,0.0186973163154
4000,246.746363545,300.391750185,0.0186973163154
5000,254.133608185,227.963255005,0.0186973163154
6000,248.053007066,343.046178312,0.0186973163154
7000,251.220835643,236.933911056,0.0186973163154
8000,249.394276143,230.704066484,0.0186973163154
9000,254.252052326,418.904296761,0.0186973163154
10000,244.861950704,340.755180227,0.0186973163154
11000,259.604274988,254.846598232,0.0186973163154
12000,237.809099372,248.631742931,0.0186973163154
13000,253.125949779,235.678376207,0.0186973163154
14000,275.110987805,227.121741875,0.0186973163154
15000,259.419265154,197.992091041,0.0186973163154
16000,235.535442648,325.703891358,0.0186973163154
17000,248.292597866,328.116453062,0.0186973163154
18000,237.39858368,245.534711523,0.0186973163154
19000,250.199976266,443.646787852,0.0186973163154
20000,252.993137529,343.599676312,0.0186973163154
21000,247.81779628,375.211265009,0.0186973163154
22000,241.236057656,443.34873466,0.0186973163154
23000,267.350852471,272.223520011,0.0186973163154
24000,244.281728604,364.047450333,0.0186973163154
25000,266.443048078,253.958070451,0.0186973163154
26000,275.175643231,219.15082791,0.0186973163154
27000,251.74922502,403.077898818,0.0186973163154
28000,256.263937267,233.925271097,0.0186973163154
29000,251.477885116,274.058980448,0.0186973163154
30000,273.654802289,340.323269154,0.0186973163154
31000,251.141038213,240.36969023,0.0186973163154
32000,256.746929656,292.298793486,0.0186973163154
33000,248.365703833,198.66012561,0.0186973163154
34000,265.73994832,305.03731814,0.0186973163154
35000,280.563651994,423.846121082,0.0186973163154
36000,260.032496236,420.886365034,0.0186973163154
37000,259.725806826,432.763056454,0.0186973163154
38000,270.742575279,177.922732761,0.0186973163154
39000,238.61764631,239.698672099,0.0186973163154
40000,260.942582585,315.637933774,0.0186973163154
41000,252.789786461,251.658616078,0.0186973163154
42000,238.448554586,230.109582522,0.0186973163154
43000,236.252771225,300.01812162,0.0186973163154
44000,249.901240134,245.418797935,0.0186973163154
45000,265.883222411,384.95596999,0.0186973163154
46000,267.983462191,258.169696621,0.0186973163154
47000,244.079745822,440.390323637,0.0186973163154
48000,259.023742714,376.597629097,0.0186973163154
49000,254.803920574,396.336432987,0.0186973163154
50000,251.238033711,509.134020265,0.0186973163154
51000,258.649040853,281.092848608,0.0186973163154
52000,277.504474032,278.782818152,0.0186973163154
53000,260.459098729,345.110022503,0.0186973163154
54000,250.743391307,338.702821395,0.0186973163154
55000,249.380943529,252.98498914,0.0186973163154
56000,236.056161589,298.587586488,0.0186973163154
57000,247.402640222,221.760622611,0.0186973163154
58000,250.360748239,283.947173519,0.0186973163154
59000,258.680769965,279.545006248,0.0186973163154
60000,276.251173438,493.301686984,0.0186973163154
61000,268.132797637,297.728279406,0.0186973163154
62000,234.739402271,297.019433677,0.0186973163154
63000,254.033334989,331.862279481,0.0186973163154
64000,252.814852531,285.128987911,0.0186973163154
65000,238.156694641,300.423052831,0.0186973163154
66000,260.088381507,332.2611378,0.0186973163154
67000,245.738016365,263.577670327,0.0186973163154
68000,250.547389259,378.619677872,0.0186973163154
69000,249.350393357,244.941035908,0.0186973163154
70000,247.260477538,239.944407446,0.0186973163154
71000,260.8564317,267.355405191,0.0186973163154
72000,245.104732559,475.458898557,0.0186973163154
73000,245.82642488,366.162902551,0.0186973163154
74000,247.593060627,162.126390526,0.0186973163154
75000,244.235597186,297.82261688,0.0186973163154
76000,240.800292726,164.84855996,0.0186973163154
77000,240.043085449,258.915651181,0.0186973163154
78000,263.975482323,307.954036043,0.0186973163154
79000,248.758228901,358.218849211,0.0186973163154
80000,250.567274072,335.49331893,0.0186973163154
81000,249.879238797,305.061524398,0.0186973163154
82000,248.366675937,362.509511837,0.0186973163154
83000,252.891038122,165.171464471,0.0186973163154
84000,246.804111238,309.092161381,0.0186973163154
85000,252.047677397,369.932523925,0.0186973163154
86000,242.097399407,391.797616274,0.0186973163154
87000,258.042748281,263.55583138,0.0186973163154
88000,253.073679452,300.638516462,0.0186973163154
89000,247.112856389,268.796725178,0.0186973163154
90000,237.101683476,197.105834366,0.0186973163154
91000,242.66548118,303.173694035,0.0186973163154
92000,250.987260089,334.461300051,0.0186973163154
93000,242.031226783,268.578269113,0.0186973163154
94000,279.742898325,386.559059906,0.0186973163154
95000,280.616854686,224.256333841,0.0186973163154
96000,268.537418899,329.163902259,0.0186973163154
97000,257.66153248,261.372638999,0.0186973163154
98000,238.288033482,406.390439609,0.0186973163154
99000,232.783593896,326.712531029,0.0186973163154
100000,256.626972031,283.202909611,0.0186973163154
