#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,262.522116097,346.802102826,0.0216087958359
2000,267.501602662,311.961085468,0.0216087958359
3000,260.965860484,289.453479953,0.0216087958359
4000,276.874201304,409.261718549,0.0216087958359
5000,253.913172518,314.378953747,0.0216087958359
6000,253.876444778,406.405548142,0.0216087958359
7000,268.965595945,393.516529661,0.0216087958359
8000,276.818750536,346.445743176,0.0216087958359
9000,253.815862968,231.591905492,0.0216087958359
10000,251.419787783,259.884846653,0.0216087958359
11000,263.72676823,160.854323903,0.0216087958359
12000,278.340385617,286.890919011,0.0216087958359
13000,276.462340829,403.573057179,0.0216087958359
14000,260.503960931,295.841696091,0.0216087958359
15000,265.45494703,277.701970839,0.0216087958359
16000,268.459437286,328.178541839,0.0216087958359
17000,284.548057622,321.994914017,0.0216087958359
18000,275.980469163,407.758438201,0.0216087958359
19000,253.000328901,341.602198951,0.0216087958359
20000,276.974121675,328.081051224,0.0216087958359
21000,256.734931802,263.076160831,0.0216087958359
22000,287.321770231,289.980172007,0.0216087958359
23000,264.557204205,274.684492482,0.0216087958359
24000,276.390452253,339.227788362,0.0216087958359
25000,291.245040975,430.959030527,0.0216087958359
26000,275.547459133,289.56989684,0.0216087958359
27000,285.762905222,209.110992415,0.0216087958359
28000,259.566451319,349.324588025,0.0216087958359
29000,270.296009018,264.197186749,0.0216087958359
30000,263.156176291,233.786977737,0.0216087958359
31000,259.675614971,294.974593311,0.0216087958359
32000,266.887555509,255.521998228,0.0216087958359
33000,266.432673543,295.486030095,0.0216087958359
34000,252.410044867,290.538407115,0.0216087958359
35000,252.726613676,257.920209968,0.0216087958359
36000,268.89675976,234.570859079,0.0216087958359
37000,270.450043431,316.420161105,0.0216087958359
38000,268.746181213,201.359890099,0.0216087958359
39000,263.59366353,198.820935129,0.0216087958359
40000,252.361940638,283.268883013,0.0216087958359
41000,268.455247237,230.017151354,0.0216087958359
42000,260.835450274,323.790906264,0.0216087958359
43000,259.112753836,358.49040635,0.0216087958359
44000,277.614516658,360.233378698,0.0216087958359
45000,284.49964536,327.368415886,0.0216087958359
46000,282.846524304,306.018348331,0.0216087958359
47000,259.802295605,283.561495642,0.0216087958359
48000,281.84176527,313.807682388,0.0216087958359
49000,249.414006509,189.448017065,0.0216087958359
50000,279.640019325,345.43501775,0.0216087958359
51000,268.619496453,274.439968124,0.0216087958359
52000,249.478483055,303.460932232,0.0216087958359
53000,258.450842701,290.157973552,0.0216087958359
54000,295.750755226,292.489315875,0.0216087958359
55000,245.7570644,336.040130585,0.0216087958359
56000,284.881489262,308.95954885,0.0216087958359
57000,269.312023254,207.924798059,0.0216087958359
58000,252.888640251,368.713026463,0.0216087958359
59000,258.355563429,214.072384478,0.0216087958359
60000,261.005784244,388.152587508,0.0216087958359
61000,263.863935298,305.109380472,0.0216087958359
62000,254.879524092,332.211553332,0.0216087958359
63000,255.068986914,367.072253614,0.0216087958359
64000,263.361470753,300.030557717,0.0216087958359
65000,258.327149392,295.457325624,0.0216087958359
66000,272.741891585,302.415575167,0.0216087958359
67000,273.631179248,281.559198132,0.0216087958359
68000,265.692896414,387.537535064,0.0216087958359
69000,266.559677674,316.848953999,0.0216087958359
70000,270.187717619,247.106208224,0.0216087958359
71000,278.39083408,421.719330561,0.0216087958359
72000,283.295063818,247.357388172,0.0216087958359
73000,267.9769608,401.971864792,0.0216087958359
74000,255.655612942,335.950221283,0.0216087958359
75000,243.279637259,332.006076241,0.0216087958359
76000,256.77868522,258.73091625,0.0216087958359
77000,254.966712192,315.602797167,0.0216087958359
78000,259.521452923,305.397492574,0.0216087958359
79000,255.127726845,204.617910198,0.0216087958359
80000,246.914585941,457.978568642,0.0216087958359
81000,269.226363262,406.026741027,0.0216087958359
82000,269.099118388,319.927786443,0.0216087958359
83000,283.352843935,321.918649303,0.0216087958359
84000,253.670979267,447.849997467,0.0216087958359
85000,259.598895865,277.452302097,0.0216087958359
86000,253.073164684,424.75326784,0.0216087958359
87000,268.246882689,332.354965907,0.0216087958359
88000,273.613871213,374.041055567,0.0216087958359
89000,272.434833601,264.721653307,0.0216087958359
90000,291.477755215,349.261008476,0.0216087958359
91000,281.207088188,395.835150648,0.0216087958359
92000,297.72641731,371.391670044,0.0216087958359
93000,281.739845377,234.212872554,0.0216087958359
94000,255.039843907,299.37942962,0.0216087958359
95000,264.866792164,224.652140281,0.0216087958359
96000,257.895169302,236.58457544,0.0216087958359
97000,241.504071039,301.240441372,0.0216087958359
98000,276.68250092,336.399469373,0.0216087958359
99000,249.522774247,288.13608118,0.0216087958359
100000,248.296447768,296.195466828,0.0216087958359
