#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-152.910239688,230.555715148,0.0336641936488
2000,-182.099223005,233.845671491,0.0336641936488
3000,-160.010980973,313.463445341,0.0336641936488
4000,-181.350468193,327.496069345,0.0336641936488
5000,-180.772829287,295.188497121,0.0336641936488
6000,-213.553868292,250.403858705,0.0336641936488
7000,-175.682764572,268.026471034,0.0336641936488
8000,-189.789684903,202.659850308,0.0336641936488
9000,-177.052531589,387.150241801,0.0336641936488
10000,-185.502816399,302.988126376,0.0336641936488
11000,-159.524931438,197.14645135,0.0336641936488
12000,-179.758500098,308.389165439,0.0336641936488
13000,-177.719916958,243.827848877,0.0336641936488
14000,-156.188334111,317.644657321,0.0336641936488
15000,-168.112957646,335.187140937,0.0336641936488
16000,-182.671179709,352.843161247,0.0336641936488
17000,-168.10437022,262.614214809,0.0336641936488
18000,-195.081054773,237.247261783,0.0336641936488
19000,-182.597911871,265.727936306,0.0336641936488
20000,-180.526361979,236.611930457,0.0336641936488
21000,-176.324518341,311.30432439,0.0336641936488
22000,-200.18408344,308.901504545,0.0336641936488
23000,-185.643038333,409.230512998,0.0336641936488
24000,-166.035142414,342.364031309,0.0336641936488
25000,-170.103696113,302.995241416,0.0336641936488
26000,-156.146329906,336.279386868,0.0336641936488
27000,-166.711228977,317.589899771,0.0336641936488
28000,-184.762323136,397.455584085,0.0336641936488
29000,-168.395894711,369.460069136,0.0336641936488
30000,-173.492337509,304.406544764,0.0336641936488
31000,-165.87495214,403.121152788,0.0336641936488
32000,-177.750497089,334.954842297,0.0336641936488
33000,-177.266955085,352.661303896,0.0336641936488
34000,-141.413460092,260.976550205,0.0336641936488
35000,-179.157654687,273.244776217,0.0336641936488
36000,-180.44280845,304.135990142,0.0336641936488
37000,-184.45782044,286.820337716,0.0336641936488
38000,-175.396222412,300.432583559,0.0336641936488
39000,-184.176276638,237.262276277,0.0336641936488
40000,-150.637862554,333.47820319,0.0336641936488
41000,-186.194412065,348.628508595,0.0336641936488
42000,-200.474843921,322.285045853,0.0336641936488
43000,-194.925925624,310.789293792,0.0336641936488
44000,-173.714922203,275.804115196,0.0336641936488
45000,-159.397685889,272.742838536,0.0336641936488
46000,-180.553813167,243.836897786,0.0336641936488
47000,-187.59614418,269.866580276,0.0336641936488
48000,-175.328556732,239.510567184,0.0336641936488
49000,-177.437919487,245.116668328,0.0336641936488
50000,-171.212899092,327.878698195,0.0336641936488
51000,-147.61275114,240.014266961,0.0336641936488
52000,-166.999607656,330.719387292,0.0336641936488
53000,-185.948847116,259.789318475,0.0336641936488
54000,-178.180439089,361.681957677,0.0336641936488
55000,-188.453678331,291.663792154,0.0336641936488
56000,-198.068464151,317.75890248,0.0336641936488
57000,-192.693644052,254.685599634,0.0336641936488
58000,-200.344644698,294.536338219,0.0336641936488
59000,-180.121615223,280.341328237,0.0336641936488
60000,-137.837938145,289.920088497,0.0336641936488
61000,-189.539505902,379.407787685,0.0336641936488
62000,-182.222935272,262.734037371,0.0336641936488
63000,-181.53001761,309.43394029,0.0336641936488
64000,-153.925238937,308.954956063,0.0336641936488
65000,-175.912669035,237.940562285,0.0336641936488
66000,-176.419588838,308.249757796,0.0336641936488
67000,-199.003484503,284.255671566,0.0336641936488
68000,-148.451518286,243.565599508,0.0336641936488
69000,-198.112324409,260.106180894,0.0336641936488
70000,-187.198453851,315.248440343,0.0336641936488
71000,-151.780288262,350.805049227,0.0336641936488
72000,-169.364135666,336.759865624,0.0336641936488
73000,-180.669532289,351.935762712,0.0336641936488
74000,-152.896136099,329.215708509,0.0336641936488
75000,-153.613123478,243.591000894,0.0336641936488
76000,-186.581893254,329.785835828,0.0336641936488
77000,-184.413067832,298.432535665,0.0336641936488
78000,-163.567069372,259.886103281,0.0336641936488
79000,-151.984817662,294.769469121,0.0336641936488
80000,-180.062671208,263.309785846,0.0336641936488
81000,-183.806461154,249.861393521,0.0336641936488
82000,-170.455122183,254.428335705,0.0336641936488
83000,-173.55394092,312.991508918,0.0336641936488
84000,-173.473303512,245.894734411,0.0336641936488
85000,-149.616547299,282.761140239,0.0336641936488
86000,-167.441171849,332.961992873,0.0336641936488
87000,-171.054811341,308.140762852,0.0336641936488
88000,-153.108294717,327.192068956,0.0336641936488
89000,-188.652749788,344.611440813,0.0336641936488
90000,-196.476013765,317.024025034,0.0336641936488
91000,-176.762734661,403.39302828,0.0336641936488
92000,-191.293334225,329.415364047,0.0336641936488
93000,-197.414372899,350.503485677,0.0336641936488
94000,-162.895381138,334.414519466,0.0336641936488
95000,-157.509643979,279.448377749,0.0336641936488
96000,-166.134615411,323.416525753,0.0336641936488
97000,-172.487747367,317.483757172,0.0336641936488
98000,-173.920011063,221.178162446,0.0336641936488
99000,-183.567666837,240.630411577,0.0336641936488
100000,-181.14041504,305.732073381,0.0336641936488
