#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-181.482819517,321.874662189,0.0336641936488
2000,-176.955835107,236.95910694,0.0336641936488
3000,-158.701554531,340.06745324,0.0336641936488
4000,-167.029329056,304.275412171,0.0336641936488
5000,-165.515333441,364.781463561,0.0336641936488
6000,-171.152363452,235.030968812,0.0336641936488
7000,-160.154841473,254.246806631,0.0336641936488
8000,-165.365737769,269.024196002,0.0336641936488
9000,-192.512674041,310.307428394,0.0336641936488
10000,-189.492439644,371.81422367,0.0336641936488
11000,-165.803825594,367.634919659,0.0336641936488
12000,-180.454846575,328.821616352,0.0336641936488
13000,-184.293124928,343.336043764,0.0336641936488
14000,-183.916310724,360.105319554,0.0336641936488
15000,-134.641020693,283.83020045,0.0336641936488
16000,-158.827004985,172.334980143,0.0336641936488
17000,-186.070947599,297.221895529,0.0336641936488
18000,-186.402980852,273.459663529,0.0336641936488
19000,-179.927045051,270.399005841,0.0336641936488
20000,-169.534730209,256.051439358,0.0336641936488
21000,-175.069803086,290.762838618,0.0336641936488
22000,-160.756890488,272.395922659,0.0336641936488
23000,-181.961529164,355.230502485,0.0336641936488
24000,-153.070699464,357.735791503,0.0336641936488
25000,-173.75657979,381.258513028,0.0336641936488
26000,-179.77902554,272.822051968,0.0336641936488
27000,-152.199041361,244.799768728,0.0336641936488
28000,-137.451427804,354.931247101,0.0336641936488
29000,-136.870589422,260.917833722,0.0336641936488
30000,-153.971042505,339.854129784,0.0336641936488
31000,-175.577893276,392.132083316,0.0336641936488
32000,-168.036883753,320.191641843,0.0336641936488
33000,-158.6551302,349.74917063,0.0336641936488
34000,-176.982635349,341.558851317,0.0336641936488
35000,-160.431454577,318.226593826,0.0336641936488
36000,-170.795125837,253.811505558,0.0336641936488
37000,-204.339324042,256.997826851,0.0336641936488
38000,-186.057090837,251.063852459,0.0336641936488
39000,-183.102481336,249.031433026,0.0336641936488
40000,-160.566938278,389.817138423,0.0336641936488
41000,-172.755826666,304.86074301,0.0336641936488
42000,-159.458797606,513.885612488,0.0336641936488
43000,-177.695619856,343.728516819,0.0336641936488
44000,-156.050403712,296.21457404,0.0336641936488
45000,-173.528054837,272.995407182,0.0336641936488
46000,-187.920765746,332.485372219,0.0336641936488
47000,-166.817345192,256.572531637,0.0336641936488
48000,-164.662268115,275.760097627,0.0336641936488
49000,-171.135713618,326.347391322,0.0336641936488
50000,-158.217837237,297.581748067,0.0336641936488
51000,-174.627511604,383.201019711,0.0336641936488
52000,-152.905438197,315.665186803,0.0336641936488
53000,-144.055932367,267.166527967,0.0336641936488
54000,-174.555155726,183.464002513,0.0336641936488
55000,-152.026624285,186.853180464,0.0336641936488
56000,-136.630473253,330.040880812,0.0336641936488
57000,-159.373347603,276.026662257,0.0336641936488
58000,-177.072298045,357.996490526,0.0336641936488
59000,-171.702513807,416.689381971,0.0336641936488
60000,-189.10988955,378.638786611,0.0336641936488
61000,-137.669132662,282.346206054,0.0336641936488
62000,-166.355194186,379.509746762,0.0336641936488
63000,-145.13471838,358.847386314,0.0336641936488
64000,-147.056919795,249.741179748,0.0336641936488
65000,-175.589307362,293.562726722,0.0336641936488
66000,-164.795167276,395.680480442,0.0336641936488
67000,-198.459001872,342.961245357,0.0336641936488
68000,-198.202659239,310.196399792,0.0336641936488
69000,-163.924876932,303.599573333,0.0336641936488
70000,-144.217954159,276.683164628,0.0336641936488
71000,-192.441065678,275.575604887,0.0336641936488
72000,-192.962803774,307.57366878,0.0336641936488
73000,-170.076533738,306.938078456,0.0336641936488
74000,-175.441939773,346.384491733,0.0336641936488
75000,-185.157813984,327.050083273,0.0336641936488
76000,-184.729496207,255.217659396,0.0336641936488
77000,-134.84441046,233.375400553,0.0336641936488
78000,-182.736178999,324.250111184,0.0336641936488
79000,-181.119034915,326.799528855,0.0336641936488
80000,-187.344741722,271.722886243,0.0336641936488
81000,-137.614077197,320.067652793,0.0336641936488
82000,-159.742452084,344.588824982,0.0336641936488
83000,-174.19978057,287.429362596,0.0336641936488
84000,-160.3549679,387.523875228,0.0336641936488
85000,-154.54122506,201.75517685,0.0336641936488
86000,-155.63169581,284.974062653,0.0336641936488
87000,-163.993090284,271.883122012,0.0336641936488
88000,-173.132215671,322.110867086,0.0336641936488
89000,-167.237835862,316.655184136,0.0336641936488
90000,-151.534426106,216.178010962,0.0336641936488
91000,-157.720146381,303.951592959,0.0336641936488
92000,-157.579116619,343.31779064,0.0336641936488
93000,-145.506533828,298.037968963,0.0336641936488
94000,-158.407608156,276.009256455,0.0336641936488
95000,-161.878646523,308.419539613,0.0336641936488
96000,-168.373886847,317.905685913,0.0336641936488
97000,-199.459646358,329.289722688,0.0336641936488
98000,-173.176581115,274.917905513,0.0336641936488
99000,-177.746635972,318.086511529,0.0336641936488
100000,-165.140179746,310.107965767,0.0336641936488
