#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,205.336030532,292.265176038,0.0116459180821
2000,203.006319725,296.935677009,0.0116459180821
3000,182.292875267,501.193666407,0.0116459180821
4000,221.046885641,220.411614159,0.0116459180821
5000,199.686965717,278.952705143,0.0116459180821
6000,206.292412286,267.241573558,0.0116459180821
7000,188.468260016,402.149241273,0.0116459180821
8000,216.104328215,224.826014063,0.0116459180821
9000,191.567472053,303.147793088,0.0116459180821
10000,214.78301568,478.179841059,0.0116459180821
11000,211.24461471,448.384162251,0.0116459180821
12000,200.028049351,186.248693878,0.0116459180821
13000,229.489199955,245.69209644,0.0116459180821
14000,216.726797339,263.134228348,0.0116459180821
15000,200.964322385,315.749478387,0.0116459180821
16000,214.390612103,254.829977213,0.0116459180821
17000,208.04876858,200.277413264,0.0116459180821
18000,211.34423437,292.316326585,0.0116459180821
19000,218.946183367,339.998320997,0.0116459180821
20000,210.355336958,438.691986851,0.0116459180821
21000,202.601578953,257.468490417,0.0116459180821
22000,204.069541033,229.746412437,0.0116459180821
23000,210.701336798,340.806951876,0.0116459180821
24000,198.97286783,335.297696424,0.0116459180821
25000,213.571479176,273.780226136,0.0116459180821
26000,200.637018611,277.024719382,0.0116459180821
27000,205.707900347,281.522476439,0.0116459180821
28000,208.202086782,217.583448356,0.0116459180821
29000,199.427304237,339.471941412,0.0116459180821
30000,216.429446007,162.734188923,0.0116459180821
31000,206.934683823,207.589535276,0.0116459180821
32000,204.573312983,317.545517694,0.0116459180821
33000,204.044730964,343.709336886,0.0116459180821
34000,200.320619239,199.505513449,0.0116459180821
35000,206.540203706,373.971658744,0.0116459180821
36000,204.839122856,348.086119613,0.0116459180821
37000,211.919716856,278.962035088,0.0116459180821
38000,213.806303578,198.371267445,0.0116459180821
39000,226.391919222,328.778870294,0.0116459180821
40000,226.015294276,283.350831383,0.0116459180821
41000,225.371811851,310.242869934,0.0116459180821
42000,222.186999296,206.055513903,0.0116459180821
43000,194.624749254,220.903504501,0.0116459180821
44000,217.92354153,240.838432256,0.0116459180821
45000,216.71745447,330.05956387,0.0116459180821
46000,212.732988741,118.068238145,0.0116459180821
47000,201.130282001,302.972761198,0.0116459180821
48000,201.499908408,329.430980007,0.0116459180821
49000,201.862003497,378.122480413,0.0116459180821
50000,195.815342612,211.775608935,0.0116459180821
51000,202.546674526,222.56357955,0.0116459180821
