#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,204.655548316,299.246050788,0.0116459180821
2000,233.063955959,398.876184503,0.0116459180821
3000,198.249573604,374.803395042,0.0116459180821
4000,196.399102545,490.263617295,0.0116459180821
5000,210.930718008,231.35617402,0.0116459180821
6000,206.291572573,451.919711616,0.0116459180821
7000,206.64424895,355.714744026,0.0116459180821
8000,198.702878868,216.72643315,0.0116459180821
9000,206.465965193,453.086704434,0.0116459180821
10000,203.904929276,253.814347342,0.0116459180821
11000,207.698412088,366.681420578,0.0116459180821
12000,197.564135482,332.477221932,0.0116459180821
13000,216.399317446,323.186813399,0.0116459180821
14000,221.18300907,264.257439579,0.0116459180821
15000,204.898484879,239.94450071,0.0116459180821
16000,218.627310285,234.057476901,0.0116459180821
17000,202.180132552,385.471316237,0.0116459180821
18000,208.514221649,218.441826301,0.0116459180821
19000,207.336718576,423.203240005,0.0116459180821
20000,230.68531435,307.079528443,0.0116459180821
21000,217.545408525,362.914451699,0.0116459180821
22000,218.822001937,255.739026821,0.0116459180821
23000,204.920430779,382.658543864,0.0116459180821
24000,194.377304847,274.422276245,0.0116459180821
25000,235.421531592,346.692919274,0.0116459180821
26000,209.191012089,231.267928241,0.0116459180821
27000,224.377954767,324.711152333,0.0116459180821
28000,223.384818334,332.644001028,0.0116459180821
29000,220.055097456,296.342070826,0.0116459180821
30000,202.07135691,318.310084484,0.0116459180821
31000,208.492567297,256.281644728,0.0116459180821
32000,196.288267621,173.177111286,0.0116459180821
33000,200.471732462,329.204266198,0.0116459180821
34000,202.688026732,287.398685725,0.0116459180821
35000,202.866851933,165.281338978,0.0116459180821
36000,202.504176984,214.696895077,0.0116459180821
37000,212.907446572,263.331249093,0.0116459180821
38000,204.31835672,201.797505575,0.0116459180821
39000,212.772185107,197.747527401,0.0116459180821
40000,212.77792584,230.087560857,0.0116459180821
41000,205.815583142,325.147366864,0.0116459180821
42000,229.714462111,410.536514852,0.0116459180821
43000,198.690710922,318.752289169,0.0116459180821
44000,206.070209607,310.479890253,0.0116459180821
45000,201.779328789,330.860148116,0.0116459180821
46000,207.028910632,350.610523564,0.0116459180821
47000,208.516862766,311.964491391,0.0116459180821
48000,197.640775715,261.915601175,0.0116459180821
49000,220.503429357,370.469763468,0.0116459180821
50000,206.86357326,326.720157428,0.0116459180821
51000,188.962627283,285.88116873,0.0116459180821
52000,198.132033948,311.79408945,0.0116459180821
53000,224.960315984,226.611960754,0.0116459180821
54000,212.424694515,324.248551103,0.0116459180821
55000,201.814470915,269.170783573,0.0116459180821
56000,200.004543857,225.22890572,0.0116459180821
57000,231.714040359,342.877392153,0.0116459180821
58000,235.604526415,147.011902614,0.0116459180821
59000,223.732152568,201.010423634,0.0116459180821
60000,198.561797995,291.800054742,0.0116459180821
61000,226.292999776,350.694565592,0.0116459180821
62000,201.467501573,287.535488662,0.0116459180821
63000,207.708745815,328.801095018,0.0116459180821
64000,203.602970384,353.056297201,0.0116459180821
65000,196.197843901,347.490017383,0.0116459180821
66000,207.757381528,345.820741043,0.0116459180821
67000,224.099109846,357.950864383,0.0116459180821
68000,204.181672453,371.963223043,0.0116459180821
69000,204.663989336,289.377988594,0.0116459180821
70000,213.208266649,330.625298762,0.0116459180821
71000,220.923282013,280.731588095,0.0116459180821
72000,200.108389109,269.492900781,0.0116459180821
73000,207.068897744,281.063781173,0.0116459180821
74000,201.651371505,323.023524673,0.0116459180821
75000,231.430179,337.362890974,0.0116459180821
76000,228.080729189,326.277524911,0.0116459180821
77000,242.287748907,261.579367555,0.0116459180821
78000,201.943748566,303.75126135,0.0116459180821
79000,209.303458861,413.734855958,0.0116459180821
80000,217.378447626,223.403486442,0.0116459180821
81000,217.283685799,190.916072976,0.0116459180821
82000,197.815444097,360.950618806,0.0116459180821
83000,216.494811984,397.225377448,0.0116459180821
84000,194.068263693,277.481731892,0.0116459180821
85000,211.817711753,325.813587044,0.0116459180821
86000,229.62373589,328.093525694,0.0116459180821
87000,246.900019915,215.93751535,0.0116459180821
88000,202.438092318,231.617506534,0.0116459180821
89000,209.203086607,198.532058946,0.0116459180821
90000,200.048878784,319.683550746,0.0116459180821
91000,220.809353375,209.847640043,0.0116459180821
92000,203.895383606,169.847253223,0.0116459180821
93000,216.803879472,323.125012012,0.0116459180821
94000,210.422401871,230.072045736,0.0116459180821
95000,252.461697718,337.905429938,0.0116459180821
96000,217.175225575,416.68816978,0.0116459180821
97000,217.347293978,234.052569316,0.0116459180821
98000,200.174425323,289.42633489,0.0116459180821
99000,200.642574686,397.283726956,0.0116459180821
100000,210.439588119,318.849235275,0.0116459180821
101000,213.442316144,330.229366779,0.0116459180821
102000,225.95071203,226.995113591,0.0116459180821
103000,213.137666781,345.284440978,0.0116459180821
104000,200.32200764,394.954113259,0.0116459180821
105000,208.909493153,205.146447572,0.0116459180821
106000,212.868423045,311.27683734,0.0116459180821
107000,212.519633054,298.851639807,0.0116459180821
108000,214.341885294,356.488235213,0.0116459180821
109000,229.956774159,390.624881875,0.0116459180821
110000,208.130286157,357.707130899,0.0116459180821
111000,206.099114573,357.169293616,0.0116459180821
112000,205.48660739,265.579588914,0.0116459180821
113000,216.936748324,357.931658457,0.0116459180821
114000,221.721485532,227.353570731,0.0116459180821
115000,211.501290258,276.275881048,0.0116459180821
116000,210.984390132,318.789050547,0.0116459180821
117000,191.952384718,275.829963898,0.0116459180821
118000,193.850590491,204.376894129,0.0116459180821
119000,219.921484817,274.967344553,0.0116459180821
120000,207.038957026,155.820299185,0.0116459180821
121000,200.19676909,242.987072539,0.0116459180821
122000,199.497282738,249.343159777,0.0116459180821
123000,213.915075879,235.12616528,0.0116459180821
124000,233.132869149,307.083744702,0.0116459180821
125000,206.645227729,379.826910463,0.0116459180821
126000,212.878672414,138.738179376,0.0116459180821
127000,204.086990578,216.137864729,0.0116459180821
128000,223.940305687,329.65363532,0.0116459180821
129000,197.628490615,215.660752089,0.0116459180821
130000,222.244341757,203.976892639,0.0116459180821
131000,207.299536302,276.715124167,0.0116459180821
132000,191.971739188,340.201859463,0.0116459180821
133000,216.828065216,318.482315266,0.0116459180821
134000,202.563347477,322.217539441,0.0116459180821
135000,218.051857284,448.825740417,0.0116459180821
136000,204.440348352,358.860926277,0.0116459180821
137000,213.724315154,341.729844353,0.0116459180821
138000,218.444839805,261.316749846,0.0116459180821
139000,208.842351315,281.100875692,0.0116459180821
140000,198.527436525,249.039775768,0.0116459180821
141000,217.686264615,285.497597312,0.0116459180821
142000,211.477207193,366.283407097,0.0116459180821
143000,218.774949661,208.928198571,0.0116459180821
144000,220.414662065,412.26504428,0.0116459180821
145000,200.670951381,373.78071678,0.0116459180821
146000,217.147079466,321.643690591,0.0116459180821
147000,207.68017193,379.884665596,0.0116459180821
148000,218.193362664,241.245991959,0.0116459180821
149000,206.45104471,259.652315835,0.0116459180821
150000,208.342780882,326.171767115,0.0116459180821
151000,207.429842248,255.871766153,0.0116459180821
152000,211.421559638,297.626086763,0.0116459180821
153000,198.23962906,454.897440438,0.0116459180821
154000,216.325043801,242.997442015,0.0116459180821
155000,201.729803065,394.825662777,0.0116459180821
156000,208.736373859,311.742334542,0.0116459180821
157000,216.682848118,350.487772838,0.0116459180821
158000,212.570465739,301.34716838,0.0116459180821
159000,223.462068414,274.072398559,0.0116459180821
160000,214.473031244,355.521406694,0.0116459180821
161000,211.220220287,244.19004409,0.0116459180821
162000,209.571736063,346.659627896,0.0116459180821
163000,231.813610133,285.537519196,0.0116459180821
164000,216.743473798,321.091956927,0.0116459180821
165000,219.962286645,342.316807932,0.0116459180821
166000,223.700928,489.724176153,0.0116459180821
167000,208.881992056,351.089469451,0.0116459180821
168000,221.423109038,346.936624114,0.0116459180821
169000,229.343167505,308.336665465,0.0116459180821
170000,202.256027125,319.528909606,0.0116459180821
171000,211.117531091,275.544769716,0.0116459180821
172000,219.216845982,406.77917977,0.0116459180821
173000,221.644626834,331.827968919,0.0116459180821
174000,197.775441609,220.754761738,0.0116459180821
175000,206.076131371,376.400813528,0.0116459180821
176000,225.187617448,342.732816697,0.0116459180821
177000,211.460473022,246.528027048,0.0116459180821
178000,201.81337756,214.976975145,0.0116459180821
179000,198.814963303,212.991212715,0.0116459180821
180000,232.03669154,350.172640645,0.0116459180821
181000,211.295029879,278.479531505,0.0116459180821
182000,211.568639774,383.84049734,0.0116459180821
183000,214.241202481,267.673946515,0.0116459180821
184000,213.445568016,308.346760328,0.0116459180821
185000,231.798426016,355.914394159,0.0116459180821
186000,208.943911643,474.736907237,0.0116459180821
187000,210.031214023,472.97704779,0.0116459180821
188000,213.876410437,365.946774243,0.0116459180821
189000,207.700144169,263.856926365,0.0116459180821
190000,207.334444448,325.370009535,0.0116459180821
191000,201.733435215,279.769496247,0.0116459180821
192000,195.822116618,332.31470378,0.0116459180821
193000,211.598640087,243.570967428,0.0116459180821
194000,192.897440751,318.632254057,0.0116459180821
195000,198.738861706,278.578370305,0.0116459180821
196000,193.907878724,349.167594793,0.0116459180821
197000,208.137500289,314.227777011,0.0116459180821
198000,222.338923348,375.838543465,0.0116459180821
199000,219.304792934,375.856950216,0.0116459180821
200000,213.023674134,130.412588343,0.0116459180821
201000,215.674822838,286.531815652,0.0116459180821
202000,222.737057935,281.003585345,0.0116459180821
203000,191.274808003,372.145773223,0.0116459180821
204000,213.708709362,227.41043719,0.0116459180821
205000,204.141065389,268.743588487,0.0116459180821
206000,242.485538524,379.765490666,0.0116459180821
207000,218.291595242,399.437655239,0.0116459180821
208000,215.257823796,316.003460051,0.0116459180821
209000,209.774250572,433.433342849,0.0116459180821
210000,206.881091154,315.047926616,0.0116459180821
211000,218.015534524,310.040253375,0.0116459180821
212000,226.936352153,291.142900954,0.0116459180821
213000,201.217890175,350.420277842,0.0116459180821
214000,199.856207562,243.79476038,0.0116459180821
215000,229.259398369,439.565153328,0.0116459180821
216000,226.18765931,422.159702152,0.0116459180821
217000,194.057369384,266.215967308,0.0116459180821
218000,208.500262674,359.040446369,0.0116459180821
219000,224.531455147,276.108136661,0.0116459180821
220000,196.212363403,219.657440502,0.0116459180821
221000,199.416949623,261.765169094,0.0116459180821
222000,215.068514355,249.915935534,0.0116459180821
223000,225.674204676,392.247984823,0.0116459180821
224000,192.837971663,374.862801548,0.0116459180821
225000,194.240525666,386.357046324,0.0116459180821
226000,237.670719245,311.848162541,0.0116459180821
227000,225.76722478,319.232493886,0.0116459180821
228000,230.044709594,356.712741393,0.0116459180821
229000,225.470640994,206.304606743,0.0116459180821
230000,202.71498108,325.471319334,0.0116459180821
231000,225.504655719,289.538142733,0.0116459180821
232000,214.265767949,177.281595853,0.0116459180821
233000,227.808096441,249.385219342,0.0116459180821
234000,203.103614243,156.009701382,0.0116459180821
235000,213.712696071,215.589021639,0.0116459180821
236000,201.037291057,320.316110334,0.0116459180821
237000,204.764003321,223.570478505,0.0116459180821
238000,215.099231908,192.860276182,0.0116459180821
239000,207.450080355,230.989283627,0.0116459180821
240000,231.374858126,310.431762984,0.0116459180821
241000,221.397521929,334.704047924,0.0116459180821
242000,225.285069643,146.842128044,0.0116459180821
243000,200.35115733,288.937216324,0.0116459180821
244000,214.364461986,253.842791911,0.0116459180821
245000,213.098909437,390.138932909,0.0116459180821
246000,203.713207823,422.227959461,0.0116459180821
247000,213.524366993,274.870432969,0.0116459180821
248000,216.392569832,269.818895978,0.0116459180821
249000,200.030997035,204.955190248,0.0116459180821
250000,206.448660383,287.089576845,0.0116459180821
251000,207.841165357,335.973270137,0.0116459180821
252000,223.12842876,231.24379072,0.0116459180821
253000,206.939267334,266.051794838,0.0116459180821
254000,224.419116009,277.985950443,0.0116459180821
255000,215.129183927,262.228377128,0.0116459180821
256000,210.291092619,338.35673822,0.0116459180821
257000,199.397200724,340.342326005,0.0116459180821
258000,218.751809223,263.089521853,0.0116459180821
259000,202.248411683,281.313376469,0.0116459180821
260000,224.508645816,422.969473643,0.0116459180821
261000,217.630106477,275.388301279,0.0116459180821
262000,207.771670104,232.894476654,0.0116459180821
263000,209.081387619,397.496540327,0.0116459180821
264000,222.624804606,445.029399348,0.0116459180821
265000,217.614550157,346.925733912,0.0116459180821
266000,214.85654697,282.03947601,0.0116459180821
267000,225.970645929,518.71164092,0.0116459180821
268000,222.461148328,254.756154172,0.0116459180821
269000,225.858700453,195.519140921,0.0116459180821
270000,219.597200765,233.968848973,0.0116459180821
271000,202.593276355,311.976328609,0.0116459180821
272000,204.541445721,363.513525971,0.0116459180821
273000,243.541325017,274.072427307,0.0116459180821
274000,204.242774533,336.833512171,0.0116459180821
275000,196.075615509,312.556935207,0.0116459180821
276000,200.278145856,340.554571372,0.0116459180821
277000,194.30571384,378.765489373,0.0116459180821
278000,203.778660592,358.818826069,0.0116459180821
279000,203.457644598,195.825808971,0.0116459180821
