#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,209.131047541,404.469845552,0.0116459180821
2000,210.669206197,261.288751456,0.0116459180821
3000,234.422064189,176.374457825,0.0116459180821
4000,200.392743753,206.041502686,0.0116459180821
5000,233.481530663,158.579295755,0.0116459180821
6000,212.827772524,273.903135084,0.0116459180821
7000,214.338473126,267.135704178,0.0116459180821
8000,211.262996376,176.876801923,0.0116459180821
9000,207.405648937,275.175756008,0.0116459180821
10000,217.156047966,272.410122164,0.0116459180821
11000,223.029213573,123.228754193,0.0116459180821
12000,230.753174119,311.047052156,0.0116459180821
13000,216.977408888,206.744514409,0.0116459180821
14000,220.321356247,342.456475587,0.0116459180821
15000,190.828961266,432.690129943,0.0116459180821
16000,224.064372709,340.969733619,0.0116459180821
17000,221.775703458,252.324801298,0.0116459180821
18000,202.640249259,281.518558924,0.0116459180821
19000,210.310623691,190.864804163,0.0116459180821
20000,207.066305902,215.623255346,0.0116459180821
21000,203.984895905,359.232755474,0.0116459180821
22000,214.908737818,221.435620883,0.0116459180821
23000,221.262333434,364.445261128,0.0116459180821
24000,207.441448331,285.731120673,0.0116459180821
25000,221.2670166,278.119004351,0.0116459180821
26000,201.592138628,387.236112093,0.0116459180821
27000,200.617177841,265.245480792,0.0116459180821
28000,195.812733836,309.008972317,0.0116459180821
29000,218.507686208,206.398450521,0.0116459180821
30000,206.669396248,308.90639206,0.0116459180821
31000,220.281261342,315.690385875,0.0116459180821
32000,207.264696196,321.155332598,0.0116459180821
33000,195.559668209,457.954188915,0.0116459180821
34000,206.192437841,359.714571773,0.0116459180821
35000,214.654648019,426.80698802,0.0116459180821
36000,201.503081152,434.902076005,0.0116459180821
37000,199.362892856,383.444905818,0.0116459180821
38000,201.487760928,318.670166213,0.0116459180821
39000,204.06391084,250.790795228,0.0116459180821
40000,202.473631014,256.853715095,0.0116459180821
41000,211.725238168,320.721704083,0.0116459180821
42000,220.512562417,223.35658328,0.0116459180821
43000,200.503407791,330.64281539,0.0116459180821
44000,207.741768458,162.174566314,0.0116459180821
45000,198.819785468,241.508581291,0.0116459180821
46000,205.075165818,239.65515906,0.0116459180821
47000,199.723597888,293.225124496,0.0116459180821
48000,200.052288065,231.36023476,0.0116459180821
49000,212.025865706,324.238556239,0.0116459180821
50000,207.740466737,430.222441071,0.0116459180821
51000,213.378811337,311.888751326,0.0116459180821
52000,208.801390135,390.993835219,0.0116459180821
53000,201.266239128,335.851346359,0.0116459180821
54000,197.718510147,411.964800076,0.0116459180821
55000,213.307621547,270.640652273,0.0116459180821
56000,211.501004447,192.998109879,0.0116459180821
57000,225.332833604,282.868627869,0.0116459180821
58000,221.324541717,269.564164881,0.0116459180821
59000,200.16111967,265.618335994,0.0116459180821
60000,221.995584097,259.907077261,0.0116459180821
61000,214.785372138,326.719577274,0.0116459180821
62000,210.348984608,401.469331922,0.0116459180821
63000,224.644026899,221.536081196,0.0116459180821
64000,214.195133336,258.804311518,0.0116459180821
65000,220.107595929,245.872760809,0.0116459180821
66000,229.863672814,350.660170535,0.0116459180821
67000,225.874037832,350.564043569,0.0116459180821
68000,215.972702211,353.238726505,0.0116459180821
69000,197.955527711,301.366817705,0.0116459180821
70000,219.778075279,331.202992277,0.0116459180821
71000,194.430310079,305.042583202,0.0116459180821
72000,190.642552278,303.590225716,0.0116459180821
73000,214.851063321,304.952058103,0.0116459180821
74000,208.114534249,327.704992818,0.0116459180821
75000,199.9667887,246.969765722,0.0116459180821
76000,204.453902417,168.210242502,0.0116459180821
77000,208.250517377,230.923513719,0.0116459180821
78000,218.403782499,269.845979855,0.0116459180821
79000,201.595926832,196.468875051,0.0116459180821
80000,215.807845762,265.641299108,0.0116459180821
81000,203.104962287,256.739773048,0.0116459180821
82000,193.281824931,365.264958794,0.0116459180821
83000,234.573914519,248.063336748,0.0116459180821
84000,211.497471944,278.569858177,0.0116459180821
85000,219.979771035,141.099172472,0.0116459180821
86000,189.916176516,220.688148496,0.0116459180821
87000,222.18220727,173.685019385,0.0116459180821
88000,208.464776053,247.127844397,0.0116459180821
89000,208.279948097,362.121871593,0.0116459180821
90000,226.899514601,461.504221725,0.0116459180821
91000,212.212665106,335.136707898,0.0116459180821
92000,220.12988588,284.600257289,0.0116459180821
93000,209.381758679,352.679731742,0.0116459180821
94000,226.381946519,325.09258446,0.0116459180821
95000,220.649392938,406.747653883,0.0116459180821
96000,206.170413544,224.039943799,0.0116459180821
97000,189.991290764,423.15140214,0.0116459180821
98000,225.187666944,331.232612704,0.0116459180821
99000,217.449722644,292.762758863,0.0116459180821
100000,218.186198159,355.239867932,0.0116459180821
