#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,197.307089112,161.776663576,0.0116459180821
2000,211.878093721,243.171492695,0.0116459180821
3000,204.240255692,212.64000216,0.0116459180821
4000,211.885642681,205.499221048,0.0116459180821
5000,205.190095762,297.046779271,0.0116459180821
6000,224.950643985,215.030266672,0.0116459180821
7000,200.513391783,332.69841978,0.0116459180821
8000,209.880997447,272.021439853,0.0116459180821
9000,210.872257342,379.004535293,0.0116459180821
10000,180.868880426,303.568734653,0.0116459180821
11000,223.325146928,404.415267854,0.0116459180821
12000,211.20185793,312.073045335,0.0116459180821
13000,220.411348158,350.893239485,0.0116459180821
14000,228.265047454,205.656089807,0.0116459180821
15000,225.663123111,306.90006014,0.0116459180821
16000,210.377067826,265.922362468,0.0116459180821
17000,219.362903309,262.313209878,0.0116459180821
18000,207.802102647,353.789424448,0.0116459180821
19000,211.159789843,299.100626569,0.0116459180821
20000,223.075657019,231.240434023,0.0116459180821
21000,208.874875708,308.397679083,0.0116459180821
22000,198.664726319,317.20450104,0.0116459180821
23000,191.524064826,370.646919866,0.0116459180821
24000,202.577649023,337.05215719,0.0116459180821
25000,204.500607582,346.640047275,0.0116459180821
26000,201.315244712,276.58965662,0.0116459180821
27000,202.176037165,335.220865034,0.0116459180821
28000,207.074355958,298.156473259,0.0116459180821
29000,190.723069522,246.032561361,0.0116459180821
30000,182.831850313,298.654090645,0.0116459180821
31000,193.115056597,291.206708192,0.0116459180821
32000,217.205149244,282.835003805,0.0116459180821
33000,188.706096415,354.879799932,0.0116459180821
34000,207.624140693,241.010490334,0.0116459180821
35000,213.031577992,260.391909446,0.0116459180821
36000,200.697910972,307.507529428,0.0116459180821
37000,212.170956119,309.310005532,0.0116459180821
38000,220.914579481,353.41857108,0.0116459180821
39000,206.259072541,382.419489064,0.0116459180821
40000,214.117644352,185.86545669,0.0116459180821
41000,205.01397417,338.744147508,0.0116459180821
42000,214.766606327,412.318618339,0.0116459180821
43000,228.173801615,210.785024955,0.0116459180821
44000,220.121824672,386.919073098,0.0116459180821
45000,219.922943749,311.21495726,0.0116459180821
46000,210.287056989,168.573505225,0.0116459180821
47000,214.389152981,294.365591721,0.0116459180821
48000,201.092193704,257.698453338,0.0116459180821
49000,212.202021854,354.809674416,0.0116459180821
50000,199.276712829,346.327480021,0.0116459180821
51000,211.715906636,266.016844447,0.0116459180821
52000,208.384601803,251.5470838,0.0116459180821
53000,194.20150575,286.394106306,0.0116459180821
54000,216.736476318,318.366341603,0.0116459180821
55000,202.699727743,313.214875378,0.0116459180821
56000,209.892047818,263.193700624,0.0116459180821
57000,205.733080511,319.506967724,0.0116459180821
58000,202.501584662,276.431164236,0.0116459180821
59000,208.272828061,212.114396599,0.0116459180821
60000,219.122388291,349.433281732,0.0116459180821
61000,208.401153878,280.949579776,0.0116459180821
62000,234.028549724,275.895413953,0.0116459180821
63000,210.928740102,415.941499133,0.0116459180821
64000,233.352859175,184.9711279,0.0116459180821
65000,203.774141145,205.602155454,0.0116459180821
66000,207.827426633,252.29281607,0.0116459180821
67000,220.288762418,329.843568262,0.0116459180821
68000,195.072499548,414.235785382,0.0116459180821
69000,200.039883616,258.438770395,0.0116459180821
70000,204.94162848,422.319762276,0.0116459180821
71000,208.324466893,294.631759216,0.0116459180821
72000,195.20392364,173.860658279,0.0116459180821
73000,205.599275897,336.546656905,0.0116459180821
74000,201.632637059,260.505159276,0.0116459180821
75000,215.621633897,332.320847093,0.0116459180821
76000,210.20599267,186.285011688,0.0116459180821
77000,194.603404361,285.560626276,0.0116459180821
78000,238.897497886,348.759221456,0.0116459180821
79000,218.486739473,383.182118218,0.0116459180821
80000,192.056130164,265.981251266,0.0116459180821
81000,218.176206245,379.043540515,0.0116459180821
82000,195.336731424,140.384462443,0.0116459180821
83000,191.006990167,302.627321882,0.0116459180821
84000,209.267808585,264.894809851,0.0116459180821
85000,200.981837141,256.194066924,0.0116459180821
86000,202.081165075,231.678493467,0.0116459180821
87000,205.205675201,355.979165627,0.0116459180821
88000,229.018360329,262.220114527,0.0116459180821
89000,215.928703705,346.379419574,0.0116459180821
90000,218.78753971,232.159799935,0.0116459180821
91000,219.237228931,281.335410774,0.0116459180821
92000,213.033215873,319.351242883,0.0116459180821
93000,201.361012488,225.250621536,0.0116459180821
94000,216.57350077,373.129161315,0.0116459180821
95000,203.89702428,252.590557726,0.0116459180821
96000,215.801384296,336.273698739,0.0116459180821
97000,203.275844551,370.667997562,0.0116459180821
98000,213.767602424,230.969903192,0.0116459180821
99000,198.118916149,225.420174385,0.0116459180821
100000,205.504709822,196.322105362,0.0116459180821
101000,203.520234155,158.858162669,0.0116459180821
102000,205.381873461,233.467506624,0.0116459180821
103000,200.713524477,416.421502598,0.0116459180821
104000,192.593629241,337.546668186,0.0116459180821
105000,207.300046242,258.153761557,0.0116459180821
106000,201.933739041,233.257600086,0.0116459180821
107000,206.589784575,195.728865734,0.0116459180821
108000,191.887347459,352.191236475,0.0116459180821
109000,215.931402305,263.73523359,0.0116459180821
110000,201.277372065,298.891968889,0.0116459180821
111000,218.72716216,204.753164168,0.0116459180821
112000,196.256392847,256.855333327,0.0116459180821
113000,210.782205299,344.252850769,0.0116459180821
114000,198.117395625,231.29781311,0.0116459180821
115000,199.084079253,336.115053917,0.0116459180821
116000,192.726711182,225.859561394,0.0116459180821
117000,193.637973775,225.205668753,0.0116459180821
118000,231.751006172,313.631792432,0.0116459180821
119000,209.837937117,336.846608179,0.0116459180821
120000,227.551220366,209.762792001,0.0116459180821
121000,210.547942856,347.694304223,0.0116459180821
122000,200.507153586,275.064630885,0.0116459180821
123000,219.470112251,312.138434145,0.0116459180821
124000,198.147655411,262.850617157,0.0116459180821
125000,199.481653967,325.35705246,0.0116459180821
126000,214.153494281,270.934049658,0.0116459180821
127000,182.305117236,296.279503671,0.0116459180821
128000,196.570684403,352.314044318,0.0116459180821
129000,216.489993592,426.554080989,0.0116459180821
130000,216.744430383,306.503009034,0.0116459180821
131000,223.53971168,241.048346608,0.0116459180821
132000,202.423368597,209.181119462,0.0116459180821
133000,201.227466736,209.139432277,0.0116459180821
134000,199.260877275,267.087118922,0.0116459180821
135000,201.875710001,246.185607734,0.0116459180821
136000,187.125916592,414.448864642,0.0116459180821
137000,219.761949373,324.421180462,0.0116459180821
138000,204.362235489,283.066278959,0.0116459180821
139000,209.194350045,300.135879663,0.0116459180821
140000,217.893552563,422.103027094,0.0116459180821
141000,193.797817856,207.715189549,0.0116459180821
142000,189.680433848,194.416731289,0.0116459180821
143000,225.282778865,353.934639948,0.0116459180821
144000,199.884743735,259.66002029,0.0116459180821
145000,196.534002626,347.452110939,0.0116459180821
146000,197.274774382,295.199693006,0.0116459180821
147000,220.133207016,318.12639794,0.0116459180821
148000,197.814713616,240.298966468,0.0116459180821
149000,205.73513609,206.350221016,0.0116459180821
150000,216.105913029,261.101040941,0.0116459180821
151000,211.726716969,316.904997299,0.0116459180821
152000,211.788065599,370.300808395,0.0116459180821
153000,212.523115588,211.786170438,0.0116459180821
154000,223.089345843,255.997440125,0.0116459180821
155000,211.353614321,287.842100839,0.0116459180821
156000,218.061421888,308.360920466,0.0116459180821
157000,218.172467171,208.046791823,0.0116459180821
158000,205.126776131,301.624476955,0.0116459180821
159000,206.749609862,341.344759813,0.0116459180821
160000,202.585669144,329.864703596,0.0116459180821
161000,208.32519069,242.409152512,0.0116459180821
162000,202.632212984,443.661037791,0.0116459180821
163000,210.959559478,355.454452974,0.0116459180821
