#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,164.650881323,342.200142984,0.0274407089172
2000,124.600601203,306.257130578,0.0274407089172
3000,77.3178886118,257.901339083,0.0274407089172
4000,137.964923979,236.406429297,0.0274407089172
5000,61.8537666589,280.141082915,0.0274407089172
6000,99.9512615901,335.837015701,0.0274407089172
7000,96.0952491291,224.146480948,0.0274407089172
8000,108.038223879,327.173323366,0.0274407089172
9000,106.638043591,244.338608933,0.0274407089172
10000,95.1896663773,260.664953507,0.0274407089172
11000,101.811249236,379.020686445,0.0274407089172
12000,120.629977132,274.516113346,0.0274407089172
13000,92.0049558619,285.462298746,0.0274407089172
14000,104.384866891,362.807467436,0.0274407089172
15000,118.155728373,368.219087981,0.0274407089172
16000,74.1866594179,339.32450064,0.0274407089172
17000,78.6024324604,243.515732618,0.0274407089172
18000,123.74484262,361.32725789,0.0274407089172
19000,98.0368414556,274.948019902,0.0274407089172
20000,95.1694206618,323.391333932,0.0274407089172
21000,119.436277453,328.616834773,0.0274407089172
22000,136.337691006,323.784151406,0.0274407089172
23000,131.860720646,303.885357416,0.0274407089172
24000,117.528927601,300.606591458,0.0274407089172
25000,121.800427556,288.321564236,0.0274407089172
26000,81.9102529847,369.367509482,0.0274407089172
27000,99.5228991264,273.1136411,0.0274407089172
28000,134.571979115,283.508664189,0.0274407089172
29000,91.0069713504,191.513803885,0.0274407089172
30000,88.3825291003,307.066475027,0.0274407089172
31000,108.339419494,333.67665791,0.0274407089172
32000,127.929007615,263.319971713,0.0274407089172
33000,137.006304899,368.349394602,0.0274407089172
34000,138.839715051,314.935442839,0.0274407089172
35000,112.091913729,307.050975593,0.0274407089172
36000,114.591479274,196.780617626,0.0274407089172
37000,89.1458785594,289.512044032,0.0274407089172
38000,88.9847996232,324.413176705,0.0274407089172
39000,129.285073412,331.728272184,0.0274407089172
40000,122.546137182,239.738633535,0.0274407089172
41000,120.829331216,283.354765152,0.0274407089172
42000,86.1477390948,433.19024223,0.0274407089172
43000,113.377088744,310.719704485,0.0274407089172
44000,117.162172269,316.755804338,0.0274407089172
45000,107.745367068,281.365823853,0.0274407089172
46000,110.980892753,296.324209865,0.0274407089172
47000,121.064019332,319.295425537,0.0274407089172
48000,144.966890518,288.267191626,0.0274407089172
49000,131.04154985,327.636126309,0.0274407089172
50000,111.768026821,325.694689548,0.0274407089172
51000,102.118409827,327.749697317,0.0274407089172
52000,72.7309830291,229.902439787,0.0274407089172
53000,86.0708770973,346.146090201,0.0274407089172
54000,121.25799016,260.167199136,0.0274407089172
55000,103.548031713,366.870787432,0.0274407089172
56000,105.504221261,448.155466418,0.0274407089172
57000,122.802103798,379.9701402,0.0274407089172
58000,98.1788168017,312.588577049,0.0274407089172
59000,101.643227976,243.523939959,0.0274407089172
60000,124.918382261,250.474244168,0.0274407089172
61000,109.170170415,218.304481802,0.0274407089172
62000,93.7907427564,251.834841402,0.0274407089172
63000,117.220242242,326.603663068,0.0274407089172
64000,118.262982076,334.855388249,0.0274407089172
65000,103.894852248,281.897449976,0.0274407089172
66000,84.9153398182,238.658541137,0.0274407089172
67000,104.589569068,335.551675655,0.0274407089172
68000,144.036158759,366.832245535,0.0274407089172
69000,95.2004430264,321.15377859,0.0274407089172
70000,92.9984142687,405.847686295,0.0274407089172
71000,120.264323321,367.772513175,0.0274407089172
72000,109.994627381,318.652220204,0.0274407089172
73000,100.503177387,294.957415553,0.0274407089172
74000,97.3185647116,309.281469914,0.0274407089172
75000,90.4950537458,273.132615433,0.0274407089172
76000,89.0702555486,264.288537524,0.0274407089172
77000,114.918773463,269.011338898,0.0274407089172
78000,101.193258162,287.398287208,0.0274407089172
79000,101.003507407,282.932774768,0.0274407089172
80000,110.683748145,251.747385827,0.0274407089172
81000,107.715460193,323.382394377,0.0274407089172
82000,95.0656021172,233.609725998,0.0274407089172
83000,124.372012152,270.613678093,0.0274407089172
84000,137.524283108,226.601421658,0.0274407089172
85000,130.668037166,343.580651181,0.0274407089172
86000,106.433865337,237.43025118,0.0274407089172
87000,107.326807844,244.109082686,0.0274407089172
88000,110.921620828,258.242136968,0.0274407089172
89000,129.45885223,318.539523444,0.0274407089172
90000,136.200991638,331.262001473,0.0274407089172
91000,117.649847602,269.476324177,0.0274407089172
92000,121.317819924,336.222531686,0.0274407089172
93000,112.650684891,284.702444272,0.0274407089172
94000,102.975567446,325.665210109,0.0274407089172
95000,96.1286253346,327.475585868,0.0274407089172
96000,131.993004187,296.403052018,0.0274407089172
97000,97.9110161641,285.482732618,0.0274407089172
98000,101.381250401,318.055282487,0.0274407089172
99000,110.156307216,285.641700708,0.0274407089172
100000,120.748594164,352.237977111,0.0274407089172
