#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,80.7340716283,176.582429409,0.0274407089172
2000,62.00470342,318.417362646,0.0274407089172
3000,75.6002739039,261.658099681,0.0274407089172
4000,88.8563230506,294.768251275,0.0274407089172
5000,47.9947439665,345.488143077,0.0274407089172
6000,79.2409353986,258.981841904,0.0274407089172
7000,93.1815739941,247.969530214,0.0274407089172
8000,49.1908870889,246.825920667,0.0274407089172
9000,103.910691494,259.146342014,0.0274407089172
10000,96.975554631,322.489794502,0.0274407089172
11000,64.2433856227,361.854502136,0.0274407089172
12000,79.4434127718,260.862997999,0.0274407089172
13000,91.0084429228,305.624825281,0.0274407089172
14000,85.2493790479,308.323638215,0.0274407089172
15000,65.6405273496,251.459811927,0.0274407089172
16000,90.4532385718,274.405221808,0.0274407089172
17000,79.5213808215,181.170388333,0.0274407089172
18000,84.891305278,237.65761654,0.0274407089172
19000,73.9695068862,242.631992008,0.0274407089172
20000,91.9700231968,309.557126226,0.0274407089172
21000,94.3411659992,387.124679033,0.0274407089172
22000,80.1585118436,303.512528292,0.0274407089172
23000,127.141100307,207.098904451,0.0274407089172
24000,89.0831021094,272.961644695,0.0274407089172
25000,70.8308235698,330.804466118,0.0274407089172
26000,89.9237371384,383.477756077,0.0274407089172
27000,65.1745364576,268.984973691,0.0274407089172
28000,58.1616661027,251.952809619,0.0274407089172
29000,74.1561964081,312.750158969,0.0274407089172
30000,44.8075953893,261.499180431,0.0274407089172
31000,81.1058416384,232.459209113,0.0274407089172
32000,100.096143266,242.378740264,0.0274407089172
33000,91.7627226738,197.864956024,0.0274407089172
34000,74.949143642,253.899515815,0.0274407089172
35000,53.2449698814,268.066504512,0.0274407089172
36000,68.963204237,369.199092755,0.0274407089172
37000,64.8590872622,272.769677999,0.0274407089172
38000,71.5817292954,226.810071613,0.0274407089172
39000,68.3649451072,287.864854774,0.0274407089172
40000,72.1019281019,288.111450772,0.0274407089172
41000,66.2416349241,290.035483751,0.0274407089172
42000,68.4742746987,259.222375869,0.0274407089172
43000,77.9020325402,260.217130597,0.0274407089172
44000,86.2869171479,339.347928625,0.0274407089172
45000,50.7155531477,334.405495579,0.0274407089172
46000,82.7740086726,280.947391753,0.0274407089172
47000,67.6223238752,324.869206518,0.0274407089172
48000,61.6041050141,274.229911809,0.0274407089172
49000,70.9497233037,274.947826019,0.0274407089172
50000,61.4285786453,300.556585146,0.0274407089172
51000,99.1940694339,317.935817156,0.0274407089172
52000,39.1699133925,301.165699225,0.0274407089172
53000,88.0619213367,315.31790676,0.0274407089172
54000,91.373464464,315.126332924,0.0274407089172
55000,80.7142882033,309.512732423,0.0274407089172
56000,73.7246052979,239.842285883,0.0274407089172
57000,65.0267227308,263.90515413,0.0274407089172
58000,85.1293869419,377.754533375,0.0274407089172
59000,53.3765078029,191.962427927,0.0274407089172
60000,72.1700383725,322.412184172,0.0274407089172
61000,61.6135033345,237.116350636,0.0274407089172
62000,60.7556648886,308.568423062,0.0274407089172
63000,55.8416847187,246.251245679,0.0274407089172
64000,78.4733677248,268.413492427,0.0274407089172
65000,58.014338473,232.853761932,0.0274407089172
66000,69.8323299087,363.348971753,0.0274407089172
67000,62.9585871112,239.92875455,0.0274407089172
68000,80.5952211757,327.472031504,0.0274407089172
69000,81.4442466859,288.31997492,0.0274407089172
70000,78.9869089041,350.316902059,0.0274407089172
71000,66.3197844,229.196057232,0.0274407089172
72000,59.5168905736,246.49727623,0.0274407089172
73000,71.469555097,329.22303005,0.0274407089172
74000,101.068497787,305.920694762,0.0274407089172
75000,61.8329660931,307.746968086,0.0274407089172
76000,56.2751782219,319.629346481,0.0274407089172
77000,56.1997747519,346.837490903,0.0274407089172
78000,59.1730715281,327.249864992,0.0274407089172
79000,63.1488293501,291.404687913,0.0274407089172
80000,41.9080161635,317.379140752,0.0274407089172
81000,71.9345971945,308.919505848,0.0274407089172
82000,63.3859058028,218.312749976,0.0274407089172
83000,38.4688271736,291.953101445,0.0274407089172
84000,84.4885008591,286.978576075,0.0274407089172
85000,128.13141509,216.117309743,0.0274407089172
86000,100.43877288,331.713594478,0.0274407089172
87000,84.0358646314,299.889043138,0.0274407089172
88000,83.2973951699,310.155516814,0.0274407089172
89000,96.9922979215,459.143814007,0.0274407089172
90000,90.8052454859,276.032616075,0.0274407089172
91000,69.5329297,416.17217049,0.0274407089172
92000,58.3808862268,297.657365775,0.0274407089172
93000,109.348480695,250.495080411,0.0274407089172
94000,59.0315482059,350.634814684,0.0274407089172
95000,70.8606547965,272.679096413,0.0274407089172
96000,66.9298139081,281.159023934,0.0274407089172
97000,67.8461729488,235.632471215,0.0274407089172
98000,96.6283408861,293.456243039,0.0274407089172
99000,139.189213446,343.892631959,0.0274407089172
100000,75.6906299869,254.089630145,0.0274407089172
