#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,99.5903337932,302.735832484,0.0274407089172
2000,67.613180151,312.203090607,0.0274407089172
3000,102.081035259,324.373400996,0.0274407089172
4000,103.114543232,311.790870915,0.0274407089172
5000,91.7093374791,370.644861338,0.0274407089172
6000,73.4183594518,249.252152354,0.0274407089172
7000,88.1453606224,261.464120965,0.0274407089172
8000,91.1333903029,333.734288888,0.0274407089172
9000,57.9980663266,317.907869691,0.0274407089172
10000,94.4982585452,333.298838609,0.0274407089172
11000,61.5221890994,311.50494065,0.0274407089172
12000,58.1056961166,324.157060966,0.0274407089172
13000,88.324020927,232.02315295,0.0274407089172
14000,61.9029773912,280.587653217,0.0274407089172
15000,93.5560236016,320.928913822,0.0274407089172
16000,63.1408526452,268.93576578,0.0274407089172
17000,58.8216232983,401.597554742,0.0274407089172
18000,97.0163744601,252.066770194,0.0274407089172
19000,60.5955829227,249.588120304,0.0274407089172
20000,54.819831765,263.577338523,0.0274407089172
21000,95.5517156038,329.407829526,0.0274407089172
22000,122.291239325,276.633192218,0.0274407089172
23000,61.6897615168,283.072154049,0.0274407089172
24000,75.5399868775,345.078155315,0.0274407089172
25000,108.962699202,429.513464908,0.0274407089172
26000,96.8921518468,328.9911635,0.0274407089172
27000,79.1579826444,251.950646103,0.0274407089172
28000,80.3998141431,242.999108222,0.0274407089172
29000,89.2393436875,343.596370841,0.0274407089172
30000,84.9926597341,415.908638378,0.0274407089172
31000,107.003631373,269.384293444,0.0274407089172
32000,79.57923935,390.096279938,0.0274407089172
33000,71.5670996558,318.043569148,0.0274407089172
34000,58.741768985,280.933073972,0.0274407089172
35000,95.5030287491,310.811559776,0.0274407089172
36000,61.8144755133,333.742215209,0.0274407089172
37000,61.7602944069,338.556660514,0.0274407089172
38000,68.5585035534,310.012280012,0.0274407089172
39000,93.8511064858,249.648951295,0.0274407089172
40000,69.0232085002,389.243472257,0.0274407089172
41000,73.2306845323,311.901388316,0.0274407089172
42000,71.386732517,252.341349681,0.0274407089172
43000,59.2857957345,285.909128163,0.0274407089172
44000,54.6409214346,341.827824184,0.0274407089172
45000,66.2797433474,279.744956306,0.0274407089172
46000,84.2395413426,222.383100047,0.0274407089172
47000,87.2708094157,246.21657035,0.0274407089172
48000,54.4339304817,387.548828642,0.0274407089172
49000,58.2567434888,261.034490835,0.0274407089172
50000,67.5584688424,312.295209555,0.0274407089172
51000,95.7485940471,351.528584906,0.0274407089172
52000,71.9923586735,346.848376576,0.0274407089172
53000,85.1200457237,386.606481055,0.0274407089172
54000,65.0281511922,345.247383938,0.0274407089172
55000,88.1077279213,283.031155983,0.0274407089172
56000,82.3958717877,314.063092173,0.0274407089172
57000,79.5529934327,239.984012558,0.0274407089172
58000,80.5574055336,459.413479954,0.0274407089172
59000,73.6283275732,315.190631578,0.0274407089172
60000,73.9938535095,342.689694761,0.0274407089172
61000,132.180995067,240.136510757,0.0274407089172
62000,107.021713317,356.952307298,0.0274407089172
63000,88.5372248906,329.824554317,0.0274407089172
64000,77.8890731327,253.590356689,0.0274407089172
65000,65.9871039632,255.735640297,0.0274407089172
66000,70.4131755532,243.251280457,0.0274407089172
67000,63.2484658707,229.539004481,0.0274407089172
68000,52.5926302706,321.664234165,0.0274407089172
69000,90.3245762861,299.887888342,0.0274407089172
70000,90.0366437047,267.83802838,0.0274407089172
71000,85.9049661896,326.374885369,0.0274407089172
72000,73.7190233355,325.102479803,0.0274407089172
73000,57.9601525579,289.501680361,0.0274407089172
74000,79.7074412179,361.963635453,0.0274407089172
75000,83.1341513507,285.281205074,0.0274407089172
76000,71.4038090748,358.720674251,0.0274407089172
77000,75.5816995158,380.610296933,0.0274407089172
78000,89.767085343,251.178883595,0.0274407089172
79000,101.804347611,240.664445145,0.0274407089172
80000,90.2034801822,355.061904356,0.0274407089172
81000,80.1162989754,308.428350178,0.0274407089172
82000,89.9992904423,303.235840188,0.0274407089172
83000,83.432600655,274.992080074,0.0274407089172
84000,57.5316429007,280.85859739,0.0274407089172
85000,38.9695640037,352.085109463,0.0274407089172
86000,83.3919096957,303.226826544,0.0274407089172
87000,103.565200547,371.069110809,0.0274407089172
88000,92.9937626593,389.898764257,0.0274407089172
89000,59.6986012318,278.82547726,0.0274407089172
90000,75.5558545192,284.838449706,0.0274407089172
91000,88.9357205769,316.593965378,0.0274407089172
92000,73.1660000921,258.29418531,0.0274407089172
93000,81.2374175541,325.714968137,0.0274407089172
94000,79.9685781021,229.577376667,0.0274407089172
95000,92.3781205921,195.488079658,0.0274407089172
96000,78.7182947136,254.560424592,0.0274407089172
97000,75.5181264437,322.017459388,0.0274407089172
98000,63.8176188288,332.064611946,0.0274407089172
99000,74.9339579405,335.46298754,0.0274407089172
100000,110.289851356,418.208395652,0.0274407089172
