#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,91.5456602964,309.476092663,0.0274407089172
2000,60.5074820147,292.96265426,0.0274407089172
3000,67.4582438953,246.044738923,0.0274407089172
4000,84.6563973705,283.554945249,0.0274407089172
5000,56.0411832281,283.907701465,0.0274407089172
6000,77.6439038916,399.616851586,0.0274407089172
7000,85.1677376918,338.994348446,0.0274407089172
8000,64.3209258636,230.265020582,0.0274407089172
9000,48.3874846765,321.311055351,0.0274407089172
10000,68.6110285103,317.608510218,0.0274407089172
11000,87.1182621386,268.472498098,0.0274407089172
12000,69.9950185215,248.149037938,0.0274407089172
13000,118.6537059,266.51754695,0.0274407089172
14000,96.663432803,222.928172044,0.0274407089172
15000,63.2383805503,279.622494604,0.0274407089172
16000,69.2685073843,286.581550412,0.0274407089172
17000,90.1669475742,273.135796541,0.0274407089172
18000,78.1661109175,330.716605492,0.0274407089172
19000,68.5166556635,213.145042888,0.0274407089172
20000,52.3178015509,196.563052155,0.0274407089172
21000,111.414317041,276.040534101,0.0274407089172
22000,82.2279303781,408.735014085,0.0274407089172
23000,89.3199122115,351.754566935,0.0274407089172
24000,90.5126101817,218.436717104,0.0274407089172
25000,86.4941929575,306.242180518,0.0274407089172
26000,99.8083324194,381.777667661,0.0274407089172
27000,82.5133079781,407.724017003,0.0274407089172
28000,81.784541257,330.121595687,0.0274407089172
29000,91.3097022984,350.40591988,0.0274407089172
30000,81.2568358899,280.569403642,0.0274407089172
31000,88.111441838,299.96837166,0.0274407089172
32000,69.6030706063,219.419037979,0.0274407089172
33000,64.7312248184,229.072216738,0.0274407089172
34000,81.5067428737,335.156230144,0.0274407089172
35000,110.469181278,288.243258702,0.0274407089172
36000,76.4429296639,250.864240471,0.0274407089172
37000,111.071761744,307.544746151,0.0274407089172
38000,77.9393212496,271.906326564,0.0274407089172
39000,71.9747812295,398.218520799,0.0274407089172
40000,93.7254395521,282.519437714,0.0274407089172
41000,46.2683660446,345.533447105,0.0274407089172
42000,69.3143554953,325.967890769,0.0274407089172
43000,65.7936250854,299.678424178,0.0274407089172
44000,92.3112143077,259.965115885,0.0274407089172
45000,55.2763288661,288.160639721,0.0274407089172
46000,98.8539414042,254.133382577,0.0274407089172
47000,95.9512732846,242.492845215,0.0274407089172
48000,91.1878605529,360.745937024,0.0274407089172
49000,121.308350737,338.550090962,0.0274407089172
50000,86.7866743371,334.773791066,0.0274407089172
51000,70.9350204342,260.981578183,0.0274407089172
52000,102.577020043,303.922163406,0.0274407089172
53000,50.7473722867,295.627389018,0.0274407089172
54000,83.6952676508,315.644898754,0.0274407089172
55000,63.8712286333,359.465692893,0.0274407089172
56000,58.9321057536,335.587480787,0.0274407089172
57000,84.9111573026,318.83423924,0.0274407089172
58000,101.46185714,361.187309898,0.0274407089172
59000,75.4113609995,297.63782046,0.0274407089172
60000,65.3014953638,259.474292654,0.0274407089172
61000,54.5761032321,279.93586391,0.0274407089172
62000,117.483744651,309.417553175,0.0274407089172
63000,101.806953724,304.135439241,0.0274407089172
64000,66.1075236662,390.705105338,0.0274407089172
65000,74.8757235559,265.704193672,0.0274407089172
66000,67.1710277057,310.355061431,0.0274407089172
67000,80.4099045523,314.673847704,0.0274407089172
68000,62.3814810945,337.633199532,0.0274407089172
69000,69.2556432062,212.861750197,0.0274407089172
70000,70.42865623,342.789054933,0.0274407089172
71000,80.2884816474,288.06254159,0.0274407089172
72000,86.9077700069,282.75465538,0.0274407089172
73000,92.7684562138,321.076645039,0.0274407089172
74000,112.225694835,380.745389802,0.0274407089172
75000,106.475700801,281.43575727,0.0274407089172
76000,88.2849528704,325.065467235,0.0274407089172
77000,56.2514002723,273.085791701,0.0274407089172
78000,92.6854373548,237.401327585,0.0274407089172
79000,60.9420295003,250.613319816,0.0274407089172
80000,74.3088398171,322.519227577,0.0274407089172
81000,48.2429912398,226.959472524,0.0274407089172
82000,71.9472568299,373.694966556,0.0274407089172
83000,109.997406822,292.842503612,0.0274407089172
84000,90.8413432471,338.349750206,0.0274407089172
85000,47.282983157,297.891863816,0.0274407089172
86000,67.7934876205,303.919211212,0.0274407089172
87000,88.9330045977,254.02691326,0.0274407089172
88000,51.6269412993,224.64484886,0.0274407089172
89000,80.7919320718,287.497171102,0.0274407089172
90000,81.8268440151,193.435574269,0.0274407089172
91000,77.143869123,243.125124842,0.0274407089172
92000,86.986335037,299.492265645,0.0274407089172
93000,96.2955594224,275.866494665,0.0274407089172
94000,81.8290113534,351.381255442,0.0274407089172
95000,79.6685921704,319.604058867,0.0274407089172
96000,59.9554725654,253.910097449,0.0274407089172
97000,83.8028698909,225.739791912,0.0274407089172
98000,91.3208768651,282.464111567,0.0274407089172
99000,77.4794601751,360.499358083,0.0274407089172
100000,90.6135716834,377.423020527,0.0274407089172
