#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,95.0208142241,245.971529704,0.0274407089172
2000,74.038653134,342.163732589,0.0274407089172
3000,69.2999689534,304.365574778,0.0274407089172
4000,62.0849851592,259.722190796,0.0274407089172
5000,61.0692952139,317.479696825,0.0274407089172
6000,76.6376388818,207.449992857,0.0274407089172
7000,69.0983176886,313.733738253,0.0274407089172
8000,77.841065606,320.47334886,0.0274407089172
9000,73.5704352117,288.99606624,0.0274407089172
10000,81.3651055407,360.144548759,0.0274407089172
11000,81.7160825899,362.438000415,0.0274407089172
12000,56.9633809644,283.476190222,0.0274407089172
13000,61.1102972726,273.660993327,0.0274407089172
14000,85.4542156432,392.332263271,0.0274407089172
15000,75.0703586424,396.364850893,0.0274407089172
16000,87.7572693524,248.471878726,0.0274407089172
17000,55.2931631226,356.168654719,0.0274407089172
18000,72.5864905827,359.779952831,0.0274407089172
19000,66.8571235465,385.188494574,0.0274407089172
20000,91.2011745514,314.25471977,0.0274407089172
21000,74.6990662692,413.312795919,0.0274407089172
22000,69.2758225893,307.764577274,0.0274407089172
23000,97.0588638932,319.984587118,0.0274407089172
24000,81.1959024307,267.462837631,0.0274407089172
25000,81.1745200605,248.580299257,0.0274407089172
26000,83.8906856389,276.157339494,0.0274407089172
27000,117.022686516,305.958542307,0.0274407089172
28000,68.5627009286,261.084082359,0.0274407089172
29000,85.0851037293,243.094850728,0.0274407089172
30000,89.9856947857,279.827759597,0.0274407089172
31000,77.1983062207,325.273096166,0.0274407089172
32000,85.605601958,284.91027296,0.0274407089172
33000,71.4037915707,309.225889243,0.0274407089172
34000,95.8676122454,230.371326759,0.0274407089172
35000,60.0567223112,248.202185041,0.0274407089172
36000,67.0015160051,318.003961731,0.0274407089172
37000,96.2397750735,292.562020909,0.0274407089172
38000,100.932153682,350.43340092,0.0274407089172
39000,93.8523286839,293.473230894,0.0274407089172
40000,58.4856605928,343.463687327,0.0274407089172
41000,84.1950176889,271.223995332,0.0274407089172
42000,65.0683494621,194.549788354,0.0274407089172
43000,79.5740666289,289.810784483,0.0274407089172
44000,66.5834613541,277.283860137,0.0274407089172
45000,107.425458814,290.457461619,0.0274407089172
46000,97.8506763438,238.780534366,0.0274407089172
47000,56.3490674386,304.082205022,0.0274407089172
48000,66.2656296624,283.382129432,0.0274407089172
49000,56.470350524,343.306131438,0.0274407089172
50000,78.9348349266,251.82780331,0.0274407089172
51000,64.4832291321,261.422767038,0.0274407089172
52000,46.1874386959,434.511410474,0.0274407089172
53000,86.4218055658,278.028519175,0.0274407089172
54000,92.1773583615,397.039339018,0.0274407089172
55000,65.9073782041,259.297156356,0.0274407089172
56000,106.130580289,234.80216075,0.0274407089172
57000,57.7655807288,198.119251965,0.0274407089172
58000,90.9192321416,185.242642675,0.0274407089172
59000,74.8531134307,223.888371206,0.0274407089172
60000,74.0892128197,287.385673131,0.0274407089172
61000,102.077235864,297.52099664,0.0274407089172
62000,70.8479278978,325.14807102,0.0274407089172
63000,101.86275399,314.208442257,0.0274407089172
64000,86.9511765983,413.465802014,0.0274407089172
65000,63.0913054438,351.406209181,0.0274407089172
66000,76.1134337945,304.788877792,0.0274407089172
67000,74.5535162454,298.756449219,0.0274407089172
68000,91.1560774401,360.836530314,0.0274407089172
69000,67.0669708284,336.851405095,0.0274407089172
70000,63.1251139937,276.326221217,0.0274407089172
71000,86.9233681216,293.914810778,0.0274407089172
72000,71.8256375332,308.508991968,0.0274407089172
73000,83.7279017151,320.878800568,0.0274407089172
74000,126.075725942,281.264786588,0.0274407089172
75000,95.6706919628,272.386691795,0.0274407089172
76000,60.879572152,188.37320794,0.0274407089172
77000,36.8312801834,213.455140064,0.0274407089172
78000,84.7995662585,223.350995497,0.0274407089172
79000,79.1475817341,280.273887366,0.0274407089172
80000,69.9871766984,365.714285866,0.0274407089172
81000,46.6172209858,260.783819023,0.0274407089172
82000,85.1232998653,283.098459922,0.0274407089172
83000,99.376867229,289.790241231,0.0274407089172
84000,93.1703025796,268.369185803,0.0274407089172
85000,68.8331443628,232.068698331,0.0274407089172
86000,84.240389359,237.274601682,0.0274407089172
87000,86.926080007,246.929718313,0.0274407089172
88000,67.1196383575,251.254528457,0.0274407089172
89000,80.7946210993,250.229917049,0.0274407089172
90000,77.0378817502,255.750775448,0.0274407089172
91000,99.7413234198,237.182391198,0.0274407089172
92000,64.1480025161,335.402247123,0.0274407089172
93000,61.0433001825,361.946491399,0.0274407089172
94000,72.1139405658,328.634704836,0.0274407089172
95000,85.3605884571,306.900630295,0.0274407089172
96000,74.7439319775,300.042430804,0.0274407089172
97000,69.1625901127,173.2991854,0.0274407089172
98000,73.5597229218,311.421568658,0.0274407089172
99000,68.9904288495,315.224331923,0.0274407089172
100000,88.4376800181,309.502720862,0.0274407089172
