#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,697.101716603,387.599009617,0.0274407089172
2000,649.964580477,296.899506509,0.0274407089172
3000,659.040770296,317.926709137,0.0274407089172
4000,670.804820027,256.095685012,0.0274407089172
5000,658.010174302,323.593889875,0.0274407089172
6000,635.591796079,337.986804901,0.0274407089172
7000,646.774979811,345.097666864,0.0274407089172
8000,646.88984167,328.419979985,0.0274407089172
9000,651.124888806,290.431264148,0.0274407089172
10000,646.08226622,381.625503825,0.0274407089172
11000,675.078090891,282.484440951,0.0274407089172
12000,644.261868355,434.280938871,0.0274407089172
13000,655.849797183,282.891401527,0.0274407089172
14000,676.191759449,281.743056037,0.0274407089172
15000,696.316911675,339.127183881,0.0274407089172
16000,685.038581937,430.795802834,0.0274407089172
17000,671.264641957,254.842024253,0.0274407089172
18000,665.127589793,346.276167506,0.0274407089172
19000,625.675500598,340.449794771,0.0274407089172
20000,664.565151521,301.604791167,0.0274407089172
21000,695.73866944,269.398206511,0.0274407089172
22000,679.628892954,323.032921315,0.0274407089172
23000,687.261813997,295.809005525,0.0274407089172
24000,689.36533035,306.823551306,0.0274407089172
25000,688.038295276,362.260452518,0.0274407089172
26000,649.30001987,278.02571732,0.0274407089172
27000,656.539542143,256.992061375,0.0274407089172
28000,647.710139819,250.00262196,0.0274407089172
29000,657.065781743,277.534079846,0.0274407089172
30000,627.749490288,309.751753951,0.0274407089172
31000,664.966805616,369.039788105,0.0274407089172
32000,643.707484033,331.332620091,0.0274407089172
33000,618.70171031,235.812793486,0.0274407089172
34000,644.644313135,425.914953787,0.0274407089172
35000,628.077822653,317.974914416,0.0274407089172
36000,653.915439255,299.489515383,0.0274407089172
37000,662.963683167,347.596972032,0.0274407089172
38000,655.386888924,348.827773599,0.0274407089172
39000,664.6408572,333.052876887,0.0274407089172
40000,672.723562717,286.447846693,0.0274407089172
41000,655.496386266,283.842907672,0.0274407089172
42000,658.97080021,348.657936543,0.0274407089172
43000,645.726297183,364.856818635,0.0274407089172
44000,653.199092185,223.18034453,0.0274407089172
45000,642.165134997,279.889056058,0.0274407089172
46000,664.599694666,265.081846308,0.0274407089172
47000,708.939441034,306.231053822,0.0274407089172
48000,625.724891871,340.595539149,0.0274407089172
49000,654.835796636,300.62147002,0.0274407089172
50000,677.384494972,329.241865018,0.0274407089172
51000,648.203066441,349.012792746,0.0274407089172
52000,659.272200659,248.303817436,0.0274407089172
53000,661.097877005,320.459438888,0.0274407089172
54000,658.675666804,363.092844844,0.0274407089172
55000,672.887666276,240.256375163,0.0274407089172
56000,662.565541912,400.94261565,0.0274407089172
57000,646.90845742,313.619085917,0.0274407089172
58000,707.41530368,308.618478463,0.0274407089172
59000,652.277853744,269.94203396,0.0274407089172
60000,656.562567908,331.600526627,0.0274407089172
61000,715.758630956,268.826196098,0.0274407089172
62000,630.237326305,269.314181011,0.0274407089172
63000,677.079105515,339.931456136,0.0274407089172
64000,647.733256011,352.529125695,0.0274407089172
65000,671.818150057,290.902407462,0.0274407089172
66000,673.121484866,266.414336376,0.0274407089172
67000,668.240702387,226.780850663,0.0274407089172
68000,666.041618197,379.354117604,0.0274407089172
69000,634.417698471,372.341757214,0.0274407089172
70000,644.072297137,244.749809493,0.0274407089172
71000,659.173386453,266.087344214,0.0274407089172
72000,688.778487393,326.148865449,0.0274407089172
73000,643.390355333,258.812672489,0.0274407089172
74000,648.658014419,279.483159378,0.0274407089172
75000,668.477252694,253.41820579,0.0274407089172
76000,657.127691819,383.471411707,0.0274407089172
77000,653.729336685,256.812387092,0.0274407089172
78000,650.825592007,370.403216756,0.0274407089172
79000,656.471409339,290.395969243,0.0274407089172
80000,649.554137986,250.199943577,0.0274407089172
81000,689.430407393,395.230016996,0.0274407089172
82000,673.59040829,390.766944634,0.0274407089172
83000,665.419607707,336.395604833,0.0274407089172
84000,674.805907775,276.934865705,0.0274407089172
85000,656.229624067,305.455378701,0.0274407089172
86000,665.678423593,346.919278912,0.0274407089172
87000,675.924487143,226.888078548,0.0274407089172
88000,668.736811702,229.398812374,0.0274407089172
89000,675.644003058,306.923534215,0.0274407089172
90000,687.132780106,376.349997244,0.0274407089172
91000,652.762046205,356.886391243,0.0274407089172
92000,692.036301534,294.497947433,0.0274407089172
93000,627.065947665,233.304965511,0.0274407089172
94000,637.453155254,293.037072534,0.0274407089172
95000,656.036604056,350.288075084,0.0274407089172
96000,665.280376931,256.054271444,0.0274407089172
97000,626.056032143,301.221019167,0.0274407089172
98000,672.075479107,279.954803809,0.0274407089172
99000,668.406162436,237.871800828,0.0274407089172
100000,650.305868613,418.386666761,0.0274407089172
