#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,44.4372666822,240.636075346,0.0274407089172
2000,43.9325751658,212.413421774,0.0274407089172
3000,71.9982312897,368.745677809,0.0274407089172
4000,123.875653611,305.143432589,0.0274407089172
5000,71.2329158166,211.463597291,0.0274407089172
6000,57.3853402551,306.833191351,0.0274407089172
7000,36.3645380388,394.501276476,0.0274407089172
8000,78.1830880649,325.858929142,0.0274407089172
9000,71.0397647416,350.69879178,0.0274407089172
10000,80.1999855485,331.360357415,0.0274407089172
11000,55.6496780266,259.024933455,0.0274407089172
12000,72.7201609329,271.01577699,0.0274407089172
13000,55.6647376788,285.032307713,0.0274407089172
14000,78.1970130599,333.014547334,0.0274407089172
15000,73.8303457667,262.867744953,0.0274407089172
16000,94.9474809804,231.56369112,0.0274407089172
17000,59.8867153324,283.620594504,0.0274407089172
18000,69.4765740743,263.489541466,0.0274407089172
19000,49.9967250006,393.643629125,0.0274407089172
20000,72.6684171591,399.583002398,0.0274407089172
21000,60.6016321291,325.747355997,0.0274407089172
22000,74.406147215,244.672712796,0.0274407089172
23000,88.2266906734,323.474441237,0.0274407089172
24000,82.0807659259,306.047386779,0.0274407089172
25000,68.3003175007,332.054492197,0.0274407089172
26000,64.5335919901,351.05103392,0.0274407089172
27000,106.616767367,298.06864754,0.0274407089172
28000,80.5880849366,299.267687207,0.0274407089172
29000,54.0271244618,330.456184267,0.0274407089172
30000,67.4577996953,368.691174506,0.0274407089172
31000,87.1670873664,323.100863798,0.0274407089172
32000,90.0983880567,264.410621169,0.0274407089172
33000,26.7233920715,316.220114355,0.0274407089172
34000,81.1347772035,313.499045638,0.0274407089172
35000,73.7680021043,369.346656039,0.0274407089172
36000,93.6196593155,273.27642206,0.0274407089172
37000,66.3742262917,369.013946239,0.0274407089172
38000,36.3365654668,333.101956068,0.0274407089172
39000,69.6037333388,252.719237018,0.0274407089172
40000,47.8109542492,341.366089209,0.0274407089172
41000,71.5865777664,290.592483467,0.0274407089172
42000,74.3069264701,327.164955813,0.0274407089172
43000,70.0838872664,261.670220578,0.0274407089172
44000,94.7174857619,263.196209204,0.0274407089172
45000,80.6804217631,300.086207665,0.0274407089172
46000,97.8666453497,239.567533338,0.0274407089172
47000,96.669940517,283.793454572,0.0274407089172
48000,85.2344883546,299.767137751,0.0274407089172
49000,84.7769310078,237.256249171,0.0274407089172
50000,43.0699376463,347.864227562,0.0274407089172
51000,80.9596178916,293.029459282,0.0274407089172
52000,66.5731541122,330.136025255,0.0274407089172
53000,81.7145063066,224.642139131,0.0274407089172
54000,66.2554356609,315.760050653,0.0274407089172
55000,61.7692917044,326.991600673,0.0274407089172
56000,63.4928311273,306.639128905,0.0274407089172
57000,65.4937155998,298.586682823,0.0274407089172
58000,97.775220051,313.835502036,0.0274407089172
59000,54.5191984602,220.321337654,0.0274407089172
60000,85.3173955993,236.696987122,0.0274407089172
61000,35.1379177044,198.207954358,0.0274407089172
62000,52.5610574122,280.418355327,0.0274407089172
63000,74.0900381948,306.257330965,0.0274407089172
64000,77.762191651,274.756009669,0.0274407089172
65000,67.2546452034,368.341415782,0.0274407089172
66000,137.786746863,293.650005865,0.0274407089172
67000,56.2800190258,293.52382472,0.0274407089172
68000,47.0725422848,335.482050235,0.0274407089172
69000,82.5761854684,331.437090747,0.0274407089172
70000,73.8552840823,229.844209285,0.0274407089172
71000,47.7322818873,265.037287025,0.0274407089172
72000,80.1870795896,236.110875049,0.0274407089172
73000,69.2683536652,312.270100809,0.0274407089172
74000,72.5477269668,389.261083437,0.0274407089172
75000,76.7513046781,296.218799118,0.0274407089172
76000,61.4030467395,280.593043672,0.0274407089172
77000,35.6878693778,272.702532884,0.0274407089172
78000,102.46157019,285.37315896,0.0274407089172
79000,57.2285570035,305.526467253,0.0274407089172
80000,66.4280475033,283.33980482,0.0274407089172
81000,55.4143066858,393.969530617,0.0274407089172
82000,78.8626840884,337.196808907,0.0274407089172
83000,69.9794740859,301.2685955,0.0274407089172
84000,84.5513766779,328.822451527,0.0274407089172
85000,81.1603576213,319.359733461,0.0274407089172
86000,91.3665432411,285.981025844,0.0274407089172
87000,113.35251514,322.710356459,0.0274407089172
88000,85.972173077,306.014957119,0.0274407089172
89000,77.270470269,221.904636039,0.0274407089172
90000,100.450540411,327.758642009,0.0274407089172
91000,108.452321177,373.534818117,0.0274407089172
92000,71.1849679465,260.56267382,0.0274407089172
93000,88.5686571553,273.4662002,0.0274407089172
94000,60.2224029989,312.231060002,0.0274407089172
95000,84.8288109143,292.88004629,0.0274407089172
96000,99.230772892,296.570717385,0.0274407089172
97000,114.89035908,359.118615184,0.0274407089172
98000,98.8351547717,319.198781946,0.0274407089172
99000,96.0357880954,301.066197381,0.0274407089172
100000,59.1348736913,311.563810175,0.0274407089172
