#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,55.5082499192,266.084578035,0.0274407089172
2000,44.642032271,321.077768967,0.0274407089172
3000,66.6946909828,206.007611452,0.0274407089172
4000,87.5161472999,323.889730177,0.0274407089172
5000,55.5583257394,316.482567003,0.0274407089172
6000,77.4804976725,289.667252085,0.0274407089172
7000,39.8155728521,364.167403296,0.0274407089172
8000,74.3317078427,235.157904928,0.0274407089172
9000,88.2311790739,220.01984313,0.0274407089172
10000,70.9486109013,258.815900535,0.0274407089172
11000,69.5875775142,288.008375585,0.0274407089172
12000,109.413413842,266.848064158,0.0274407089172
13000,131.292581294,346.387698158,0.0274407089172
14000,70.6858567756,293.337380491,0.0274407089172
15000,80.0016644979,277.811530147,0.0274407089172
16000,79.4466935187,324.539908954,0.0274407089172
17000,62.848370037,404.448162149,0.0274407089172
18000,53.4766573369,367.821571234,0.0274407089172
19000,64.1579551152,378.684383863,0.0274407089172
20000,64.4730887077,302.661996965,0.0274407089172
21000,69.4682493696,342.404688875,0.0274407089172
22000,69.175237472,243.1334587,0.0274407089172
23000,52.6057467329,269.133381092,0.0274407089172
24000,100.397117522,200.180365297,0.0274407089172
25000,85.4818288075,295.856103234,0.0274407089172
26000,82.0376580637,274.591621809,0.0274407089172
27000,51.2691712231,241.387631343,0.0274407089172
28000,58.2034183616,254.03996469,0.0274407089172
29000,131.625775125,386.60505132,0.0274407089172
30000,74.5665987377,273.325135373,0.0274407089172
31000,62.7938355667,286.30707406,0.0274407089172
32000,77.5321808295,282.419873733,0.0274407089172
33000,65.0891245308,252.137034513,0.0274407089172
34000,65.4360849174,253.980499667,0.0274407089172
35000,89.1554173936,284.568824516,0.0274407089172
36000,76.7428120072,322.283666023,0.0274407089172
37000,70.3804301962,253.917581908,0.0274407089172
38000,105.647682998,281.162834447,0.0274407089172
39000,53.6056861044,330.478924552,0.0274407089172
40000,62.8358501432,297.424670133,0.0274407089172
41000,49.9227343431,301.884774528,0.0274407089172
42000,71.8362632554,254.260365459,0.0274407089172
43000,48.5047481731,249.018346967,0.0274407089172
44000,75.752554156,239.610795123,0.0274407089172
45000,65.693700128,332.80473157,0.0274407089172
46000,69.8097666661,348.581437554,0.0274407089172
47000,76.625509352,324.839730036,0.0274407089172
48000,64.7787181666,332.623143654,0.0274407089172
49000,79.3215979754,341.071519372,0.0274407089172
50000,85.8104799777,377.751977263,0.0274407089172
51000,61.9369406023,230.339512791,0.0274407089172
52000,79.2231713548,274.189424293,0.0274407089172
53000,68.9423229633,288.693393417,0.0274407089172
54000,70.6055555742,332.821673255,0.0274407089172
55000,89.6633657445,273.147483889,0.0274407089172
56000,85.3387294602,341.081994783,0.0274407089172
57000,62.8517587322,317.069187105,0.0274407089172
58000,75.3193747304,403.83185495,0.0274407089172
59000,66.3139811171,407.288314493,0.0274407089172
60000,91.604914847,281.447612132,0.0274407089172
61000,97.5258277524,353.697143836,0.0274407089172
62000,90.8600384543,264.624851482,0.0274407089172
63000,53.8636409193,232.042895017,0.0274407089172
64000,59.7096382721,307.307638113,0.0274407089172
65000,55.6418827335,305.361359748,0.0274407089172
66000,83.2371364897,340.697233102,0.0274407089172
67000,114.832157398,366.077592393,0.0274407089172
68000,70.9222217602,368.701128779,0.0274407089172
69000,62.8905417427,421.048928684,0.0274407089172
70000,90.4059488491,251.52021918,0.0274407089172
71000,80.6806509442,183.877665103,0.0274407089172
72000,104.140088531,386.922464446,0.0274407089172
73000,67.538853929,318.4729118,0.0274407089172
74000,50.4964364778,362.110673264,0.0274407089172
75000,94.112326567,341.861267762,0.0274407089172
76000,49.1985448849,268.375192295,0.0274407089172
77000,63.9416479339,273.701544729,0.0274407089172
78000,100.323253323,308.156154878,0.0274407089172
79000,96.8679651308,427.996821359,0.0274407089172
80000,72.3030200182,239.177552788,0.0274407089172
81000,94.2350886042,264.09682424,0.0274407089172
82000,113.085777655,319.559022986,0.0274407089172
83000,72.166069605,302.043393706,0.0274407089172
84000,88.540414213,278.87170181,0.0274407089172
85000,74.0167709971,403.858357944,0.0274407089172
86000,106.253012869,265.361832683,0.0274407089172
87000,64.9181689425,219.632010196,0.0274407089172
88000,102.236206344,282.588985786,0.0274407089172
89000,96.3200081737,253.832832283,0.0274407089172
90000,68.0189447159,364.752972189,0.0274407089172
91000,108.247566205,413.256053175,0.0274407089172
92000,61.6503277727,316.430316845,0.0274407089172
93000,68.0836236357,268.434215368,0.0274407089172
94000,88.6616053561,259.236910993,0.0274407089172
95000,79.7898854556,221.658452478,0.0274407089172
96000,70.3451715741,311.674752308,0.0274407089172
97000,68.4003869183,313.516789558,0.0274407089172
98000,100.112828697,274.788434925,0.0274407089172
99000,110.765901001,325.280880819,0.0274407089172
100000,75.7468055332,253.49619806,0.0274407089172
