#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,43.9464953054,311.716176534,0.0274407089172
2000,72.2813740082,253.870825629,0.0274407089172
3000,42.6124571764,352.230019432,0.0274407089172
4000,53.6725074071,283.333060874,0.0274407089172
5000,64.2526899044,257.439994913,0.0274407089172
6000,60.4078321215,294.57480626,0.0274407089172
7000,55.6689377419,290.664250057,0.0274407089172
8000,45.8178525583,311.001920998,0.0274407089172
9000,96.9734795536,231.284206687,0.0274407089172
10000,90.0725237403,373.008630659,0.0274407089172
11000,75.3437118416,339.157405276,0.0274407089172
12000,56.6920150769,360.777930953,0.0274407089172
13000,105.182683395,264.006780968,0.0274407089172
14000,89.0164205536,280.013185396,0.0274407089172
15000,60.7432421159,378.256163166,0.0274407089172
16000,82.4140769006,340.251712579,0.0274407089172
17000,88.5407363582,342.030539502,0.0274407089172
18000,52.3955367448,227.733850749,0.0274407089172
19000,93.6796267935,287.302235781,0.0274407089172
20000,67.0738590522,339.282417642,0.0274407089172
21000,57.0406515331,351.637820088,0.0274407089172
22000,79.8170104084,312.722442667,0.0274407089172
23000,66.4390262262,326.993634376,0.0274407089172
24000,54.4791405357,306.363738409,0.0274407089172
25000,104.925759703,246.460293657,0.0274407089172
26000,73.5832189418,292.120847534,0.0274407089172
27000,66.6826751102,248.265299054,0.0274407089172
28000,64.129156106,234.734741862,0.0274407089172
29000,56.6732094499,315.032534017,0.0274407089172
30000,29.2670487177,287.767434729,0.0274407089172
31000,60.3373089195,262.413255324,0.0274407089172
32000,52.0884973213,275.644470411,0.0274407089172
33000,84.2121863536,361.766997904,0.0274407089172
34000,61.2483460681,252.800595438,0.0274407089172
35000,55.4301593103,290.789450639,0.0274407089172
36000,97.5114337846,321.407819552,0.0274407089172
37000,89.1471983354,222.687467284,0.0274407089172
38000,99.8731804882,320.630671787,0.0274407089172
39000,108.853541551,209.70109774,0.0274407089172
40000,53.2164556788,381.935236578,0.0274407089172
41000,50.6289494963,298.339420714,0.0274407089172
42000,54.1381634902,295.69267482,0.0274407089172
43000,63.55267383,307.236212573,0.0274407089172
44000,103.734786506,254.703708866,0.0274407089172
45000,79.3284987785,403.66515443,0.0274407089172
46000,63.3789119386,350.490479337,0.0274407089172
47000,31.6359365153,323.511087779,0.0274407089172
48000,69.0236106929,279.220278933,0.0274407089172
49000,50.9508341751,289.978781013,0.0274407089172
50000,107.475240067,272.167618926,0.0274407089172
51000,69.6279447242,304.33211022,0.0274407089172
52000,72.1981592304,267.845991667,0.0274407089172
53000,67.5863142798,243.398542511,0.0274407089172
54000,55.265133889,241.804152945,0.0274407089172
55000,65.6994871809,350.727319658,0.0274407089172
56000,55.3193905178,325.630768595,0.0274407089172
57000,59.6573925355,299.213925414,0.0274407089172
58000,101.389171016,381.947252271,0.0274407089172
59000,95.4846861162,321.433049716,0.0274407089172
60000,73.0820814919,330.969777739,0.0274407089172
61000,80.2180579641,332.983050784,0.0274407089172
62000,69.6947783024,250.74802841,0.0274407089172
63000,80.5362200682,246.663071696,0.0274407089172
64000,91.5382624712,178.266264592,0.0274407089172
65000,55.7684932179,310.598194879,0.0274407089172
66000,68.6407159576,345.602251253,0.0274407089172
67000,66.6399637,330.09640789,0.0274407089172
68000,49.1191510871,318.128343584,0.0274407089172
69000,81.8332135311,320.677393572,0.0274407089172
70000,60.5403873245,338.431337045,0.0274407089172
71000,76.1394502121,373.766289179,0.0274407089172
72000,69.1302176716,399.297286958,0.0274407089172
73000,65.1449817145,248.66546644,0.0274407089172
74000,81.8610011754,297.693772775,0.0274407089172
75000,80.190170945,280.038558774,0.0274407089172
76000,41.3170660333,326.047295152,0.0274407089172
77000,56.2064344558,369.77341849,0.0274407089172
78000,66.9027572719,307.565678367,0.0274407089172
79000,71.7567190743,305.115485603,0.0274407089172
80000,70.8752991095,293.987816135,0.0274407089172
81000,72.9774064986,308.642149628,0.0274407089172
82000,67.6058980013,270.58007422,0.0274407089172
83000,63.7756817468,328.448006601,0.0274407089172
84000,86.7308132016,364.115718708,0.0274407089172
85000,87.3578937473,299.79777196,0.0274407089172
86000,81.1028188195,223.817847465,0.0274407089172
87000,51.2133879704,302.781455481,0.0274407089172
88000,64.4588639939,253.621406982,0.0274407089172
89000,73.8315243559,257.889068523,0.0274407089172
90000,52.8933989218,414.057390585,0.0274407089172
91000,43.2151380686,282.134794336,0.0274407089172
92000,74.1455880304,193.50205524,0.0274407089172
93000,58.9773380171,227.293424598,0.0274407089172
94000,91.9278124372,218.3265506,0.0274407089172
95000,66.903589261,360.115410224,0.0274407089172
96000,61.8457645251,279.399684986,0.0274407089172
97000,52.888962992,253.290672375,0.0274407089172
98000,64.3545069238,271.263556555,0.0274407089172
99000,78.5542379917,335.322384406,0.0274407089172
100000,54.8385472783,304.476503864,0.0274407089172
