#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,258.223265252,374.76307701,0.0186973163154
2000,243.154162972,436.437637139,0.0186973163154
3000,245.00464214,271.107484485,0.0186973163154
4000,268.422316573,251.053770486,0.0186973163154
5000,241.02055195,297.594226495,0.0186973163154
6000,241.61193565,274.54996264,0.0186973163154
7000,232.70822926,182.202762155,0.0186973163154
8000,250.269289688,298.031603428,0.0186973163154
9000,246.246121831,451.499232829,0.0186973163154
10000,258.386800065,382.967843591,0.0186973163154
11000,252.779539189,318.736622054,0.0186973163154
12000,245.431524848,302.503033773,0.0186973163154
13000,259.652468942,424.685975783,0.0186973163154
14000,236.069848812,258.703041334,0.0186973163154
15000,267.880717182,261.662683725,0.0186973163154
16000,256.25113952,356.521181282,0.0186973163154
17000,240.992725714,234.364636263,0.0186973163154
18000,248.409900511,265.825204624,0.0186973163154
19000,246.46602782,293.078753253,0.0186973163154
20000,266.015799214,265.095591221,0.0186973163154
21000,238.863776216,207.1587684,0.0186973163154
22000,261.127332761,305.214089275,0.0186973163154
23000,272.908154882,183.849390382,0.0186973163154
24000,243.379675241,315.718844918,0.0186973163154
25000,277.30563404,538.754958488,0.0186973163154
26000,257.458933189,172.086478899,0.0186973163154
27000,252.311680594,283.340137977,0.0186973163154
28000,227.53835472,374.607235556,0.0186973163154
29000,252.671801172,375.574803708,0.0186973163154
30000,245.725737635,385.020563786,0.0186973163154
31000,265.518095262,267.173520749,0.0186973163154
32000,256.971899638,256.160319463,0.0186973163154
33000,239.713145919,464.954658089,0.0186973163154
34000,248.261699638,439.653897159,0.0186973163154
35000,238.185875426,379.087913504,0.0186973163154
36000,252.722010174,394.70215968,0.0186973163154
37000,276.926352327,455.416063044,0.0186973163154
38000,263.880084051,391.620058414,0.0186973163154
39000,261.388131139,165.423912054,0.0186973163154
40000,255.481128749,394.815154527,0.0186973163154
41000,243.308621561,338.474017727,0.0186973163154
42000,266.872882261,327.128726278,0.0186973163154
43000,260.822345968,274.534657429,0.0186973163154
44000,238.808043653,392.225849202,0.0186973163154
45000,253.734293274,238.411345554,0.0186973163154
46000,259.15115252,319.55807052,0.0186973163154
47000,245.70962618,265.576602355,0.0186973163154
48000,260.414171642,274.114715481,0.0186973163154
49000,241.804964356,316.928085272,0.0186973163154
50000,258.29196483,331.616785104,0.0186973163154
51000,263.529319526,199.561725861,0.0186973163154
52000,258.362187726,488.074489226,0.0186973163154
53000,257.767071178,367.355218551,0.0186973163154
54000,247.419932628,305.97843517,0.0186973163154
55000,270.524555769,327.395406033,0.0186973163154
56000,256.006145765,228.497343203,0.0186973163154
57000,258.000178027,233.78023727,0.0186973163154
58000,253.395452739,329.353294444,0.0186973163154
59000,254.728639819,190.653351178,0.0186973163154
60000,245.723055266,298.914475395,0.0186973163154
61000,233.259011241,420.06121453,0.0186973163154
62000,239.817474956,287.692682703,0.0186973163154
63000,258.474962244,244.607084445,0.0186973163154
64000,250.181727994,249.876780554,0.0186973163154
65000,251.450664564,288.261994599,0.0186973163154
66000,248.011905398,277.383536053,0.0186973163154
67000,243.553547758,406.843079887,0.0186973163154
68000,250.794551168,515.616080544,0.0186973163154
69000,263.010187426,344.895521144,0.0186973163154
70000,271.18713386,271.357710933,0.0186973163154
71000,248.072657607,350.518600436,0.0186973163154
72000,250.793844643,263.984588291,0.0186973163154
73000,255.315813262,276.341317319,0.0186973163154
74000,252.63330988,347.615560233,0.0186973163154
75000,270.482822127,303.274187634,0.0186973163154
76000,256.535426004,221.836461593,0.0186973163154
77000,232.181679118,272.39408251,0.0186973163154
78000,246.004115587,246.204876288,0.0186973163154
79000,240.597173363,328.026739558,0.0186973163154
80000,244.447634902,253.815381925,0.0186973163154
81000,269.463397364,292.858825429,0.0186973163154
82000,254.981103163,217.797128042,0.0186973163154
83000,241.300761767,376.39541716,0.0186973163154
84000,237.825984535,533.579714075,0.0186973163154
85000,254.79500163,264.028347944,0.0186973163154
86000,244.504440214,336.062637847,0.0186973163154
87000,255.058536938,295.355078989,0.0186973163154
88000,247.178437565,187.345778032,0.0186973163154
89000,241.780882273,293.248128323,0.0186973163154
90000,242.545527976,376.623994771,0.0186973163154
91000,242.485201235,211.280388743,0.0186973163154
92000,260.729752371,264.448264507,0.0186973163154
93000,284.751999129,303.372602056,0.0186973163154
94000,257.23450206,234.695282245,0.0186973163154
95000,240.962674075,175.654805249,0.0186973163154
96000,249.058472036,276.585394571,0.0186973163154
97000,282.595328549,221.06220988,0.0186973163154
98000,254.970260122,263.829437305,0.0186973163154
99000,237.192742,265.813720871,0.0186973163154
100000,243.71387441,276.721129548,0.0186973163154
