#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-177.082409341,267.437033535,0.0336641936488
2000,-172.181966979,240.904020452,0.0336641936488
3000,-165.605808959,250.704820057,0.0336641936488
4000,-169.568265691,294.154554489,0.0336641936488
5000,-193.205978613,262.349011174,0.0336641936488
6000,-181.695567829,310.854080223,0.0336641936488
7000,-172.648559755,271.791403273,0.0336641936488
8000,-175.385379184,325.630387228,0.0336641936488
9000,-159.522919799,186.794318322,0.0336641936488
10000,-158.197454217,298.797699997,0.0336641936488
11000,-178.326287188,293.253348964,0.0336641936488
12000,-150.870643883,355.185914683,0.0336641936488
13000,-192.314532564,476.022400635,0.0336641936488
14000,-166.187160896,247.892989719,0.0336641936488
15000,-166.422601804,346.781438548,0.0336641936488
16000,-170.777149307,279.500163247,0.0336641936488
17000,-170.717857167,342.197029755,0.0336641936488
18000,-178.63299288,372.378941758,0.0336641936488
19000,-176.005488705,309.691947811,0.0336641936488
20000,-165.890938513,326.932528634,0.0336641936488
21000,-169.055997984,347.397540164,0.0336641936488
22000,-168.45133649,353.582303392,0.0336641936488
23000,-167.320189489,504.950510314,0.0336641936488
24000,-167.843117765,288.227570182,0.0336641936488
25000,-183.524428325,354.161239231,0.0336641936488
26000,-168.682469396,330.76052452,0.0336641936488
27000,-167.942561622,302.892584869,0.0336641936488
28000,-186.743654221,306.331247454,0.0336641936488
29000,-191.140927438,242.686585747,0.0336641936488
30000,-157.903695432,226.246527873,0.0336641936488
31000,-175.034594143,220.926024045,0.0336641936488
32000,-176.105947983,295.306501977,0.0336641936488
33000,-166.779076996,359.113967679,0.0336641936488
34000,-182.229098794,302.248902498,0.0336641936488
35000,-148.133768163,230.925374682,0.0336641936488
36000,-173.630056385,310.139841909,0.0336641936488
37000,-171.99713055,289.011973669,0.0336641936488
38000,-161.77035333,382.909778037,0.0336641936488
39000,-202.35517979,361.541749371,0.0336641936488
40000,-191.365146485,221.53629658,0.0336641936488
41000,-177.545165874,346.325399131,0.0336641936488
42000,-185.67303138,330.206164788,0.0336641936488
43000,-160.651372081,301.360016213,0.0336641936488
44000,-170.456572929,314.787069032,0.0336641936488
45000,-203.143206636,232.946100196,0.0336641936488
46000,-173.616409834,417.050409557,0.0336641936488
47000,-154.678068007,382.93169576,0.0336641936488
48000,-175.600306038,303.815022026,0.0336641936488
49000,-150.870923225,224.771299851,0.0336641936488
50000,-185.663794526,302.916916645,0.0336641936488
51000,-169.523770621,312.929801198,0.0336641936488
52000,-172.010235328,360.79007162,0.0336641936488
53000,-194.874164925,290.29351352,0.0336641936488
54000,-190.75573325,224.533421408,0.0336641936488
55000,-188.726264929,318.967548576,0.0336641936488
56000,-183.832704117,307.598654954,0.0336641936488
57000,-160.63465134,191.772478336,0.0336641936488
58000,-194.222501083,406.551415303,0.0336641936488
59000,-172.016155146,276.443945378,0.0336641936488
60000,-173.717885216,314.489098989,0.0336641936488
61000,-190.690544475,339.947627136,0.0336641936488
62000,-181.925177736,233.337762165,0.0336641936488
63000,-173.630178325,322.234370805,0.0336641936488
64000,-173.361125355,244.418282459,0.0336641936488
65000,-159.266467567,306.465060101,0.0336641936488
66000,-151.952961279,298.82930327,0.0336641936488
67000,-196.132097136,196.618262915,0.0336641936488
68000,-169.97322346,233.943225063,0.0336641936488
69000,-179.003071821,330.885454002,0.0336641936488
70000,-183.065873526,225.104019674,0.0336641936488
71000,-155.629620792,349.335409785,0.0336641936488
72000,-195.12310517,285.308771978,0.0336641936488
73000,-187.319304704,292.79208068,0.0336641936488
74000,-187.549589547,369.305210588,0.0336641936488
75000,-191.018851115,292.08913755,0.0336641936488
76000,-174.042200308,287.033695906,0.0336641936488
77000,-168.229997461,318.554070897,0.0336641936488
78000,-176.809215898,244.269502608,0.0336641936488
79000,-199.486985323,291.477058782,0.0336641936488
80000,-195.405369519,336.111762671,0.0336641936488
81000,-196.943320839,301.131919044,0.0336641936488
82000,-194.88269926,336.993851539,0.0336641936488
83000,-189.424936022,279.062611676,0.0336641936488
84000,-179.528949211,407.842229135,0.0336641936488
85000,-195.278860649,213.855043978,0.0336641936488
86000,-184.030157396,293.353930686,0.0336641936488
87000,-159.151997372,185.722157762,0.0336641936488
88000,-189.895339791,255.220354088,0.0336641936488
89000,-149.894120974,293.44174991,0.0336641936488
90000,-175.200775588,343.207647535,0.0336641936488
91000,-166.610410438,310.616552396,0.0336641936488
92000,-204.186499453,289.119034076,0.0336641936488
93000,-195.087815318,279.106038031,0.0336641936488
94000,-155.4108066,259.877212391,0.0336641936488
95000,-178.71472359,275.949915804,0.0336641936488
96000,-193.944595718,331.16230217,0.0336641936488
97000,-187.293697888,362.324481506,0.0336641936488
98000,-171.734206284,232.169550252,0.0336641936488
99000,-147.282172957,342.550513865,0.0336641936488
100000,-185.612583029,415.838974224,0.0336641936488
