#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-189.738596795,293.716114119,0.0336641936488
2000,-180.201954657,251.353902977,0.0336641936488
3000,-167.050311482,312.214611418,0.0336641936488
4000,-169.717626598,335.05582978,0.0336641936488
5000,-179.361963395,241.992502145,0.0336641936488
6000,-177.917857691,286.842456162,0.0336641936488
7000,-158.411776125,383.801868591,0.0336641936488
8000,-192.118386186,302.07431316,0.0336641936488
9000,-175.769131943,238.668002791,0.0336641936488
10000,-181.726856818,281.166717094,0.0336641936488
11000,-147.166005059,265.968166735,0.0336641936488
12000,-166.331724807,232.460640073,0.0336641936488
13000,-165.355943418,235.997316273,0.0336641936488
14000,-180.52205796,193.654482361,0.0336641936488
15000,-174.753858097,201.743387869,0.0336641936488
16000,-136.227798481,324.414305446,0.0336641936488
17000,-192.474228684,301.778174937,0.0336641936488
18000,-191.610272431,244.117974135,0.0336641936488
19000,-175.556563201,292.714093731,0.0336641936488
20000,-168.160291299,336.967989011,0.0336641936488
21000,-192.705452587,273.93615064,0.0336641936488
22000,-188.744142575,328.640697614,0.0336641936488
23000,-188.439013485,264.828746083,0.0336641936488
24000,-172.350290463,261.83806785,0.0336641936488
25000,-175.852551218,262.134803738,0.0336641936488
26000,-198.678509323,248.985374431,0.0336641936488
27000,-183.218002779,340.632397397,0.0336641936488
28000,-171.14335606,314.78713251,0.0336641936488
29000,-168.303200714,295.707230886,0.0336641936488
30000,-192.658846185,303.643794913,0.0336641936488
31000,-187.728270562,251.346370279,0.0336641936488
32000,-153.634553848,230.64794707,0.0336641936488
33000,-169.871033061,331.513791948,0.0336641936488
34000,-209.234738853,317.48456306,0.0336641936488
35000,-184.192592263,247.893308334,0.0336641936488
36000,-202.367603351,350.03589761,0.0336641936488
37000,-169.343246286,254.464393946,0.0336641936488
38000,-190.914111713,273.978927508,0.0336641936488
39000,-183.827547731,308.576955286,0.0336641936488
40000,-183.642012065,244.839430524,0.0336641936488
41000,-205.553038495,236.207289716,0.0336641936488
42000,-203.132758413,197.549570495,0.0336641936488
43000,-182.380853944,282.667745227,0.0336641936488
44000,-148.294813364,290.665263328,0.0336641936488
45000,-170.889614858,292.187332594,0.0336641936488
46000,-172.33343828,274.608750374,0.0336641936488
47000,-171.607212751,289.225825768,0.0336641936488
48000,-204.557647401,287.994911467,0.0336641936488
49000,-197.262337788,277.806681715,0.0336641936488
50000,-198.880654295,346.298409564,0.0336641936488
51000,-158.104682334,314.861358992,0.0336641936488
52000,-190.45790313,243.531064087,0.0336641936488
53000,-167.638629202,270.711564167,0.0336641936488
54000,-191.068174534,381.725213432,0.0336641936488
55000,-182.990460506,379.326077524,0.0336641936488
56000,-180.774320875,322.804696124,0.0336641936488
57000,-182.497607201,232.730993351,0.0336641936488
58000,-142.271738361,312.962026168,0.0336641936488
59000,-136.573802661,245.596629127,0.0336641936488
60000,-162.637203768,282.652781479,0.0336641936488
61000,-190.097253625,250.224367637,0.0336641936488
62000,-165.858655856,329.591325213,0.0336641936488
63000,-139.917829446,299.144401631,0.0336641936488
64000,-178.026402776,243.262564685,0.0336641936488
65000,-188.830043083,343.813103629,0.0336641936488
66000,-176.183164767,229.409617284,0.0336641936488
67000,-157.596651397,343.996583584,0.0336641936488
68000,-190.219530798,300.237075208,0.0336641936488
69000,-185.872689867,246.912141471,0.0336641936488
70000,-145.724623318,269.103901546,0.0336641936488
71000,-165.891099208,280.246557666,0.0336641936488
72000,-203.916706118,252.202719128,0.0336641936488
73000,-199.925122797,314.194154549,0.0336641936488
74000,-171.409594683,311.35679568,0.0336641936488
75000,-175.115621423,338.466044199,0.0336641936488
76000,-188.390781258,293.757518134,0.0336641936488
77000,-172.236181177,255.170617538,0.0336641936488
78000,-178.109679861,258.321340354,0.0336641936488
79000,-185.298711566,285.442390748,0.0336641936488
80000,-183.369976436,267.339893822,0.0336641936488
81000,-186.364824363,214.60041849,0.0336641936488
82000,-168.770177623,312.717796745,0.0336641936488
83000,-194.475854445,304.524684709,0.0336641936488
84000,-166.194467329,427.784089972,0.0336641936488
85000,-158.733446461,322.093207153,0.0336641936488
86000,-157.8810942,317.004642771,0.0336641936488
87000,-171.621803745,254.039120179,0.0336641936488
88000,-157.185097176,235.484103001,0.0336641936488
89000,-175.425906665,367.025576218,0.0336641936488
90000,-179.528861815,432.678849518,0.0336641936488
91000,-175.00564846,390.153810802,0.0336641936488
92000,-164.652695741,269.988794992,0.0336641936488
93000,-178.401028294,354.838336494,0.0336641936488
94000,-160.425785502,258.71026814,0.0336641936488
95000,-174.719118019,346.99315921,0.0336641936488
96000,-193.187806597,255.992601791,0.0336641936488
97000,-172.354768172,266.137240319,0.0336641936488
98000,-198.744912094,229.832227911,0.0336641936488
99000,-171.714130678,214.958851809,0.0336641936488
100000,-175.11356878,282.783674093,0.0336641936488
