#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,210.049034754,422.894023017,0.0116459180821
2000,199.624240256,477.580573887,0.0116459180821
3000,215.3516993,241.428457308,0.0116459180821
4000,214.646846794,302.228575579,0.0116459180821
5000,206.472555249,281.603260847,0.0116459180821
6000,209.720249169,365.432326798,0.0116459180821
7000,218.656955925,315.529976335,0.0116459180821
8000,206.096853247,251.439016501,0.0116459180821
9000,221.986222556,330.980804163,0.0116459180821
10000,206.590606439,380.391089202,0.0116459180821
11000,209.786643157,289.725495624,0.0116459180821
12000,212.996799979,318.387161067,0.0116459180821
13000,207.072444534,297.659760702,0.0116459180821
14000,198.102801291,302.060323638,0.0116459180821
15000,195.066681016,290.75962977,0.0116459180821
16000,205.102493127,313.738824006,0.0116459180821
17000,222.788765824,213.519694452,0.0116459180821
18000,201.12559051,284.765947394,0.0116459180821
19000,215.991060912,265.741429594,0.0116459180821
20000,203.299580015,288.202316073,0.0116459180821
21000,212.703097945,177.274012877,0.0116459180821
22000,206.630055479,239.935312435,0.0116459180821
23000,208.709186436,260.003725149,0.0116459180821
24000,212.560634376,374.138907981,0.0116459180821
25000,205.24742318,293.253838684,0.0116459180821
26000,228.367474299,253.270905139,0.0116459180821
27000,234.470125893,242.898117904,0.0116459180821
28000,216.228648181,334.597016265,0.0116459180821
29000,208.763667442,303.415659036,0.0116459180821
30000,205.589148509,241.287774816,0.0116459180821
31000,213.203870681,238.0945906,0.0116459180821
32000,227.825455026,260.696559351,0.0116459180821
33000,200.566201574,258.242128631,0.0116459180821
34000,212.392160237,322.717627231,0.0116459180821
35000,208.76146339,485.702793713,0.0116459180821
36000,217.881583963,373.750334862,0.0116459180821
37000,211.125399813,476.78355606,0.0116459180821
38000,193.694733269,364.967851099,0.0116459180821
39000,209.905541606,327.744606481,0.0116459180821
40000,202.168418729,244.293314231,0.0116459180821
41000,221.144582879,130.225123036,0.0116459180821
42000,215.541396033,380.162437056,0.0116459180821
43000,195.249361019,202.191941978,0.0116459180821
44000,203.472071521,199.37188004,0.0116459180821
45000,189.553108938,211.653571376,0.0116459180821
46000,196.35041564,303.110950125,0.0116459180821
47000,214.259420203,190.182047841,0.0116459180821
48000,209.580913537,280.71811587,0.0116459180821
49000,199.79466272,197.721016087,0.0116459180821
50000,214.17195908,243.818754802,0.0116459180821
51000,218.451509494,354.283825567,0.0116459180821
52000,217.599101347,353.243931008,0.0116459180821
53000,218.233439702,319.921171099,0.0116459180821
54000,206.39459475,222.26320428,0.0116459180821
55000,208.808738337,312.928434173,0.0116459180821
56000,204.244728926,284.677784376,0.0116459180821
57000,192.107866636,253.500192906,0.0116459180821
58000,204.603370231,353.682267822,0.0116459180821
59000,191.6531917,285.469418871,0.0116459180821
60000,212.43508898,336.813164544,0.0116459180821
61000,216.774073981,354.84406603,0.0116459180821
62000,234.703514333,337.510068227,0.0116459180821
63000,213.049041473,325.156654861,0.0116459180821
64000,241.439950264,257.800517467,0.0116459180821
65000,211.102453999,300.351031792,0.0116459180821
66000,188.282673435,110.828949861,0.0116459180821
67000,225.419445952,214.273239927,0.0116459180821
68000,227.527589441,306.027425411,0.0116459180821
69000,196.031124331,211.909299627,0.0116459180821
70000,202.09532976,258.282332256,0.0116459180821
71000,220.087404426,282.755920544,0.0116459180821
72000,196.280599589,233.086146728,0.0116459180821
73000,194.120408037,119.243171551,0.0116459180821
74000,202.486652876,292.72850214,0.0116459180821
75000,211.723894272,179.753584276,0.0116459180821
76000,216.758351162,264.764185491,0.0116459180821
77000,199.139215293,542.987656653,0.0116459180821
78000,206.739933559,275.48195802,0.0116459180821
79000,214.36975844,332.058308198,0.0116459180821
80000,220.301939148,257.130288279,0.0116459180821
81000,197.368867377,255.99143548,0.0116459180821
82000,200.312373554,226.116584149,0.0116459180821
83000,197.216088737,348.313022391,0.0116459180821
84000,187.889655689,374.658225729,0.0116459180821
85000,214.773709926,361.326422681,0.0116459180821
86000,211.011185727,262.529095593,0.0116459180821
87000,219.327432294,254.550620107,0.0116459180821
88000,198.638189071,297.526458484,0.0116459180821
89000,214.03051885,360.192236872,0.0116459180821
90000,199.540349359,271.577111474,0.0116459180821
91000,227.049280558,398.531636137,0.0116459180821
92000,219.932424415,280.553684444,0.0116459180821
93000,202.078146006,317.315017294,0.0116459180821
94000,204.282775587,341.854538806,0.0116459180821
95000,186.578194612,254.384376251,0.0116459180821
96000,220.414154694,445.640012837,0.0116459180821
97000,234.861286225,383.217925027,0.0116459180821
98000,225.704993371,274.409121248,0.0116459180821
99000,216.633962785,371.838045915,0.0116459180821
100000,228.823370151,400.885406397,0.0116459180821
