#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,206.271635368,288.13128378,0.0116459180821
2000,219.821707427,222.5023838,0.0116459180821
3000,223.677140074,394.172039339,0.0116459180821
4000,222.529235025,430.88250941,0.0116459180821
5000,227.760274718,386.082825166,0.0116459180821
6000,214.275051904,359.788479818,0.0116459180821
7000,206.437508113,276.611981303,0.0116459180821
8000,216.287004418,261.60074626,0.0116459180821
9000,213.046448112,395.291049658,0.0116459180821
10000,223.183870011,392.477836442,0.0116459180821
11000,206.607415083,293.757395993,0.0116459180821
12000,221.412545915,247.226327957,0.0116459180821
13000,228.117188475,243.45936353,0.0116459180821
14000,207.323689138,232.40218001,0.0116459180821
15000,201.854046374,260.059288766,0.0116459180821
16000,220.624109533,228.666918707,0.0116459180821
17000,202.342047519,238.641671735,0.0116459180821
18000,209.973204993,262.444519258,0.0116459180821
19000,209.393055982,365.378424185,0.0116459180821
20000,214.08997102,218.650716801,0.0116459180821
21000,217.477845106,232.930471825,0.0116459180821
22000,206.270626315,290.236111972,0.0116459180821
23000,207.994181218,140.477601251,0.0116459180821
24000,195.538003529,338.980811933,0.0116459180821
25000,229.483367305,299.564564125,0.0116459180821
26000,212.880080386,266.123457766,0.0116459180821
27000,207.108602793,448.232380888,0.0116459180821
28000,221.604718271,202.111253287,0.0116459180821
29000,201.204702412,329.926629495,0.0116459180821
30000,218.466127341,437.720864914,0.0116459180821
31000,207.16960001,217.90981346,0.0116459180821
32000,219.965610568,268.137708236,0.0116459180821
33000,222.738472709,431.223490734,0.0116459180821
34000,197.220818684,437.400554718,0.0116459180821
35000,248.372544454,291.497376471,0.0116459180821
36000,227.028782959,348.51498046,0.0116459180821
37000,219.385209782,315.863635371,0.0116459180821
38000,199.660708135,315.882245494,0.0116459180821
39000,198.700627027,327.228178542,0.0116459180821
40000,233.944715277,238.436240274,0.0116459180821
41000,217.782727577,261.971130729,0.0116459180821
42000,221.411780913,374.421193827,0.0116459180821
43000,205.911239596,329.113025101,0.0116459180821
44000,212.038382944,238.569771357,0.0116459180821
45000,221.94444215,316.576450553,0.0116459180821
46000,205.162101369,338.2737164,0.0116459180821
47000,204.268458687,222.683056439,0.0116459180821
48000,222.902125343,248.79664535,0.0116459180821
49000,198.879078011,206.999216743,0.0116459180821
50000,206.825876154,205.830699586,0.0116459180821
51000,215.341029368,302.024570221,0.0116459180821
52000,197.031093007,294.458324196,0.0116459180821
53000,204.733782509,226.143849127,0.0116459180821
54000,210.165322113,182.876999844,0.0116459180821
55000,202.183966253,354.252249662,0.0116459180821
56000,200.536126598,429.607471872,0.0116459180821
57000,225.85441221,355.508357759,0.0116459180821
58000,215.99211071,248.480991632,0.0116459180821
59000,205.25941616,524.162996729,0.0116459180821
60000,235.495381457,331.83854563,0.0116459180821
61000,234.936054622,299.972247336,0.0116459180821
62000,206.135274793,193.014375335,0.0116459180821
63000,225.330778169,312.112920087,0.0116459180821
64000,213.787771078,293.118148673,0.0116459180821
65000,208.110226792,273.899885665,0.0116459180821
66000,214.043792473,288.210042914,0.0116459180821
67000,209.934751876,302.558324543,0.0116459180821
68000,203.536075844,338.656321843,0.0116459180821
69000,226.396630952,328.109513436,0.0116459180821
70000,205.622807208,386.582595291,0.0116459180821
71000,231.86883236,313.428663103,0.0116459180821
72000,209.349142786,400.386938278,0.0116459180821
73000,228.732614351,296.786946915,0.0116459180821
74000,222.658953468,350.274012333,0.0116459180821
75000,218.67575362,303.808373216,0.0116459180821
76000,233.747364792,447.958901126,0.0116459180821
77000,222.79324729,293.130212742,0.0116459180821
78000,221.800649695,192.201224138,0.0116459180821
79000,199.280081049,265.880554684,0.0116459180821
80000,213.189887313,296.104754616,0.0116459180821
81000,214.210656181,295.558386787,0.0116459180821
82000,202.19398851,261.960215302,0.0116459180821
83000,213.494388,203.682654734,0.0116459180821
84000,208.297861995,338.729383293,0.0116459180821
85000,211.106913227,214.687325005,0.0116459180821
86000,212.470082041,291.906508099,0.0116459180821
87000,213.634002454,347.80915632,0.0116459180821
88000,211.658653995,334.683829485,0.0116459180821
89000,218.50721619,348.671409303,0.0116459180821
90000,220.760243995,234.908905111,0.0116459180821
91000,219.65072038,270.657729244,0.0116459180821
92000,215.210799839,378.677390848,0.0116459180821
93000,235.430559704,282.26635162,0.0116459180821
94000,210.479166366,601.222739871,0.0116459180821
95000,213.514433529,270.789509409,0.0116459180821
96000,195.976117219,353.402139859,0.0116459180821
97000,200.91988167,309.080786926,0.0116459180821
98000,208.987647587,172.212147795,0.0116459180821
99000,210.553162989,352.086025152,0.0116459180821
100000,211.901254745,290.700613023,0.0116459180821
