#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,481.049500869,362.100903292,0.0116459180821
2000,457.842354642,278.439568159,0.0116459180821
3000,485.162379277,135.054427746,0.0116459180821
4000,459.443095302,345.364421212,0.0116459180821
5000,469.640686462,277.186467314,0.0116459180821
6000,479.715454742,279.167395488,0.0116459180821
7000,470.877511014,390.241794187,0.0116459180821
8000,485.78199674,252.293012079,0.0116459180821
9000,482.75185207,256.098085827,0.0116459180821
10000,484.586935777,368.214207493,0.0116459180821
11000,465.752693625,308.370940278,0.0116459180821
12000,459.112971718,334.374522619,0.0116459180821
13000,492.327623815,189.47026896,0.0116459180821
14000,483.344327508,290.325930335,0.0116459180821
15000,468.292982295,284.186419828,0.0116459180821
16000,477.24304594,350.064035622,0.0116459180821
17000,465.081191629,271.849054208,0.0116459180821
18000,465.445377143,249.643560465,0.0116459180821
19000,465.497520088,247.534786969,0.0116459180821
20000,478.001853369,384.412194064,0.0116459180821
21000,455.775569328,316.083926783,0.0116459180821
22000,474.209326871,280.37118787,0.0116459180821
23000,458.550275974,329.459003296,0.0116459180821
24000,483.388112022,178.788559279,0.0116459180821
25000,471.617812341,254.675484809,0.0116459180821
26000,479.578809956,261.919001976,0.0116459180821
27000,476.725572549,423.838515489,0.0116459180821
28000,472.923223007,282.853226395,0.0116459180821
29000,466.778272509,372.071316392,0.0116459180821
30000,474.460396016,417.860852682,0.0116459180821
31000,485.676066407,427.724338602,0.0116459180821
32000,482.127731889,323.011922412,0.0116459180821
33000,480.727938121,433.285993859,0.0116459180821
34000,463.112726719,277.366314571,0.0116459180821
35000,477.223617524,273.485618965,0.0116459180821
36000,450.922848244,194.364551618,0.0116459180821
37000,479.389277725,336.509168998,0.0116459180821
38000,486.593436001,296.794761439,0.0116459180821
39000,492.583102444,268.86519012,0.0116459180821
40000,463.603724387,229.195214871,0.0116459180821
41000,470.252041335,222.336695514,0.0116459180821
42000,468.171520882,226.336504097,0.0116459180821
43000,470.957520507,385.314617294,0.0116459180821
44000,485.472008749,393.246408461,0.0116459180821
45000,462.616025884,266.817318908,0.0116459180821
46000,476.868012884,280.040662545,0.0116459180821
47000,481.748623937,332.552831361,0.0116459180821
48000,469.250028412,457.610730827,0.0116459180821
49000,486.806600861,275.241677686,0.0116459180821
50000,481.978044003,303.046704581,0.0116459180821
51000,477.542886427,274.607007787,0.0116459180821
52000,473.088144498,283.354017095,0.0116459180821
53000,463.605820988,299.327402909,0.0116459180821
54000,470.746169886,298.6930587,0.0116459180821
55000,471.486954046,300.446148677,0.0116459180821
56000,469.092636612,253.054589754,0.0116459180821
57000,476.524583191,428.26688818,0.0116459180821
58000,474.100136152,443.751954759,0.0116459180821
59000,495.61935758,387.600266693,0.0116459180821
60000,486.580432267,461.885858204,0.0116459180821
61000,482.595095079,271.765474686,0.0116459180821
62000,465.737760766,315.618179657,0.0116459180821
63000,462.797366513,209.726650283,0.0116459180821
64000,477.869617391,218.344049007,0.0116459180821
65000,468.352467644,275.926503781,0.0116459180821
66000,454.899032938,291.205506005,0.0116459180821
67000,465.048623646,364.62941953,0.0116459180821
68000,475.586078058,250.289897843,0.0116459180821
69000,478.500930368,294.678949541,0.0116459180821
70000,491.119574237,299.315100075,0.0116459180821
71000,486.770964747,231.662713847,0.0116459180821
72000,458.025987419,347.400698354,0.0116459180821
73000,485.183007953,165.213371379,0.0116459180821
74000,474.047830971,289.278742437,0.0116459180821
75000,462.428677539,313.041310847,0.0116459180821
76000,463.698864102,140.325559586,0.0116459180821
77000,472.902149042,397.491899712,0.0116459180821
78000,467.297514621,389.695527464,0.0116459180821
79000,463.252758225,235.705856446,0.0116459180821
80000,480.193592112,177.545037369,0.0116459180821
81000,463.614214886,483.591527918,0.0116459180821
82000,484.817946516,492.419724942,0.0116459180821
83000,465.240424211,408.24835289,0.0116459180821
84000,475.894445611,219.111646142,0.0116459180821
85000,464.429252829,176.065390904,0.0116459180821
86000,472.563940052,391.144405183,0.0116459180821
87000,489.223781396,360.014000804,0.0116459180821
88000,464.396785,311.085213876,0.0116459180821
89000,455.598987315,234.249801513,0.0116459180821
90000,458.749101843,188.376620812,0.0116459180821
91000,467.331257812,181.042462337,0.0116459180821
92000,466.497459439,243.357970609,0.0116459180821
93000,459.983358446,414.553946646,0.0116459180821
94000,459.313515693,371.652833434,0.0116459180821
95000,482.722035915,307.033605636,0.0116459180821
96000,454.92607691,427.951818741,0.0116459180821
97000,466.61434845,355.77713058,0.0116459180821
98000,494.981527203,312.167259124,0.0116459180821
99000,485.968459008,440.838256648,0.0116459180821
100000,465.420671211,343.539575833,0.0116459180821
