#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,183.27369765,281.817240202,0.0116459180821
2000,200.206902306,274.717701706,0.0116459180821
3000,186.430827699,345.787483525,0.0116459180821
4000,185.083350053,245.057424133,0.0116459180821
5000,186.499394367,282.235854929,0.0116459180821
6000,183.799546403,278.516332683,0.0116459180821
7000,195.277541389,301.756315425,0.0116459180821
8000,194.392494837,442.02623064,0.0116459180821
9000,198.562840492,314.574449468,0.0116459180821
10000,207.264623402,365.856389154,0.0116459180821
11000,193.440767026,315.308917428,0.0116459180821
12000,186.645997419,289.090237333,0.0116459180821
13000,193.422515113,209.012379349,0.0116459180821
14000,180.118019268,374.557116585,0.0116459180821
15000,193.860479978,247.924017898,0.0116459180821
16000,174.937223396,403.427706608,0.0116459180821
17000,201.277883841,334.680479785,0.0116459180821
18000,182.002327017,343.742979895,0.0116459180821
19000,182.286336243,224.208282177,0.0116459180821
20000,171.154524451,296.656392921,0.0116459180821
21000,172.261532651,355.962018054,0.0116459180821
22000,186.132788835,252.325089417,0.0116459180821
23000,174.121878006,348.203131189,0.0116459180821
24000,182.442242378,291.279592262,0.0116459180821
25000,174.131473241,255.097211907,0.0116459180821
26000,171.500181007,316.678425624,0.0116459180821
27000,195.999339945,299.98234293,0.0116459180821
28000,200.453135137,301.696796923,0.0116459180821
29000,196.688708441,383.634115821,0.0116459180821
30000,190.0929506,447.719477178,0.0116459180821
31000,166.032304894,450.130423388,0.0116459180821
32000,192.344118758,230.538310018,0.0116459180821
33000,176.333410961,347.148579739,0.0116459180821
34000,202.560676982,229.462857382,0.0116459180821
35000,174.083687045,315.245399305,0.0116459180821
36000,171.515789073,305.682491177,0.0116459180821
37000,179.350108174,239.284108589,0.0116459180821
38000,168.216434601,256.211563652,0.0116459180821
39000,173.650965823,325.252013759,0.0116459180821
40000,182.741584097,266.171725124,0.0116459180821
41000,183.85649049,281.71236685,0.0116459180821
42000,209.229731349,433.865582929,0.0116459180821
43000,182.153796942,235.596344197,0.0116459180821
44000,184.596664124,200.226822188,0.0116459180821
45000,186.752842946,246.703838996,0.0116459180821
46000,207.783463949,275.895875833,0.0116459180821
47000,188.946251184,289.144340071,0.0116459180821
48000,174.975427017,252.933260239,0.0116459180821
49000,182.034488924,211.395243302,0.0116459180821
50000,174.087189013,416.018617561,0.0116459180821
51000,170.711518569,192.916339296,0.0116459180821
52000,173.854721534,248.318864942,0.0116459180821
53000,174.372665444,259.084695143,0.0116459180821
54000,171.873189296,322.577144034,0.0116459180821
55000,175.327838148,295.349196285,0.0116459180821
56000,191.781258952,294.33141488,0.0116459180821
57000,183.764395001,327.01774952,0.0116459180821
58000,182.293091839,330.420190396,0.0116459180821
59000,193.298810298,297.502623593,0.0116459180821
60000,177.040884221,341.545880969,0.0116459180821
61000,196.358504499,299.570639071,0.0116459180821
62000,193.751475551,248.23567881,0.0116459180821
63000,167.850709643,441.894476313,0.0116459180821
64000,182.583373224,275.376416307,0.0116459180821
65000,173.270309375,248.628534399,0.0116459180821
66000,193.774746562,575.892461106,0.0116459180821
67000,211.830262053,293.500544718,0.0116459180821
68000,190.054451497,213.593067995,0.0116459180821
69000,184.394005585,296.808907777,0.0116459180821
70000,186.783899095,309.45031015,0.0116459180821
71000,210.923508035,256.457618251,0.0116459180821
72000,188.532422283,308.615970284,0.0116459180821
73000,168.685618921,306.666533555,0.0116459180821
74000,208.290581648,226.461273779,0.0116459180821
75000,192.918131185,292.19679298,0.0116459180821
76000,176.259531223,290.199459969,0.0116459180821
77000,169.166201307,172.919349831,0.0116459180821
78000,180.770704492,244.898091657,0.0116459180821
79000,185.51689114,209.955953236,0.0116459180821
80000,184.335446112,297.187730277,0.0116459180821
81000,171.371017002,332.434707775,0.0116459180821
82000,173.204911679,323.017470994,0.0116459180821
83000,186.216231129,344.889614373,0.0116459180821
84000,217.87494255,395.919098195,0.0116459180821
85000,187.655659461,301.739709436,0.0116459180821
86000,176.207789564,180.576416076,0.0116459180821
87000,195.098569553,203.045152593,0.0116459180821
88000,178.058119017,250.413385912,0.0116459180821
89000,183.601554425,375.968586675,0.0116459180821
90000,186.349665735,368.254152361,0.0116459180821
91000,173.347240854,319.074864408,0.0116459180821
92000,192.123604587,197.390936765,0.0116459180821
93000,188.957228353,257.306163974,0.0116459180821
94000,195.59307867,380.177718123,0.0116459180821
95000,187.232443077,271.292483385,0.0116459180821
96000,199.624638266,407.60457556,0.0116459180821
97000,178.59383294,374.48611031,0.0116459180821
98000,161.552844333,266.476794644,0.0116459180821
99000,188.022212679,281.674504917,0.0116459180821
100000,164.285700024,347.225370597,0.0116459180821
