#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,206.957440109,383.212689593,0.0116459180821
2000,216.345416504,287.447019862,0.0116459180821
3000,194.410287813,267.66753935,0.0116459180821
4000,221.560640479,408.669222398,0.0116459180821
5000,194.846821248,315.590204136,0.0116459180821
6000,213.842308392,329.842819052,0.0116459180821
7000,200.784960332,256.364929964,0.0116459180821
8000,209.428500421,297.407488164,0.0116459180821
9000,200.043460853,137.927015096,0.0116459180821
10000,203.981021826,286.358481738,0.0116459180821
11000,214.537301375,378.716720994,0.0116459180821
12000,205.452877674,305.001907237,0.0116459180821
13000,232.729035866,294.042981825,0.0116459180821
14000,208.125910588,268.101700592,0.0116459180821
15000,209.028028296,355.286028947,0.0116459180821
16000,232.029141815,419.24445695,0.0116459180821
17000,199.66405449,281.629707262,0.0116459180821
18000,192.941215549,226.565467728,0.0116459180821
19000,200.566551394,237.471159053,0.0116459180821
20000,213.030404763,216.596733575,0.0116459180821
21000,212.448690714,244.600556839,0.0116459180821
22000,196.00579225,327.213914699,0.0116459180821
23000,218.181462674,281.758903709,0.0116459180821
24000,213.284074969,312.517468598,0.0116459180821
25000,217.198945732,225.01110569,0.0116459180821
26000,218.644834631,373.828997429,0.0116459180821
27000,208.532203504,290.300680216,0.0116459180821
28000,226.441184762,265.252034523,0.0116459180821
29000,204.317380402,319.932635917,0.0116459180821
30000,194.335283886,391.979946613,0.0116459180821
31000,217.858772212,216.98810761,0.0116459180821
32000,200.418337873,235.383947976,0.0116459180821
33000,201.916314678,335.857878903,0.0116459180821
34000,209.425323189,297.714810257,0.0116459180821
35000,208.64649596,223.991571164,0.0116459180821
36000,224.992024813,428.133722336,0.0116459180821
37000,209.769228995,286.319898047,0.0116459180821
38000,200.159184596,320.644509456,0.0116459180821
39000,200.057985623,217.516078398,0.0116459180821
40000,206.226101319,353.453221729,0.0116459180821
41000,215.001505707,230.780860935,0.0116459180821
42000,233.063410663,245.801131931,0.0116459180821
43000,207.230084426,259.758670023,0.0116459180821
44000,235.134091765,470.74568626,0.0116459180821
45000,221.024393134,244.059745529,0.0116459180821
46000,203.182570557,323.122141275,0.0116459180821
47000,229.158387919,352.110182367,0.0116459180821
48000,201.347981812,340.263947438,0.0116459180821
49000,216.910768452,298.240786897,0.0116459180821
50000,240.369707008,457.135858826,0.0116459180821
51000,209.087209376,393.838752261,0.0116459180821
52000,210.820646413,224.452376714,0.0116459180821
53000,207.362124158,261.723908782,0.0116459180821
54000,202.890268935,186.529654749,0.0116459180821
55000,205.409613058,291.016279061,0.0116459180821
56000,226.341976631,261.578744587,0.0116459180821
57000,214.277888191,348.134419079,0.0116459180821
58000,188.46918544,391.830636434,0.0116459180821
59000,221.018790763,335.253597453,0.0116459180821
60000,194.568657222,276.9834757,0.0116459180821
61000,211.372014634,250.216833422,0.0116459180821
62000,219.544885139,246.529778852,0.0116459180821
63000,219.841411792,208.111602927,0.0116459180821
64000,221.224697085,257.556030742,0.0116459180821
65000,205.361518994,335.133745602,0.0116459180821
66000,194.84612681,492.211466173,0.0116459180821
67000,214.324642521,387.260883744,0.0116459180821
68000,194.887984529,264.023828623,0.0116459180821
69000,208.042567243,219.670021447,0.0116459180821
70000,224.151473335,381.918022231,0.0116459180821
71000,196.244948593,306.874322441,0.0116459180821
72000,201.943658418,383.223089904,0.0116459180821
73000,214.602438901,241.347587428,0.0116459180821
74000,216.288107513,275.47997942,0.0116459180821
75000,201.895075995,274.197600028,0.0116459180821
76000,203.34810682,269.653318406,0.0116459180821
77000,211.545865646,222.885412901,0.0116459180821
78000,212.826311641,225.695598933,0.0116459180821
79000,221.071299778,170.581805532,0.0116459180821
80000,191.939744908,243.818088285,0.0116459180821
81000,204.830269258,292.552986965,0.0116459180821
82000,225.413367871,264.8139276,0.0116459180821
83000,232.968250397,287.139636696,0.0116459180821
84000,221.508604304,356.107719979,0.0116459180821
85000,201.143343135,293.720807434,0.0116459180821
86000,199.708421852,287.088730158,0.0116459180821
87000,201.410402839,391.435771892,0.0116459180821
88000,205.069928461,302.878743227,0.0116459180821
89000,195.340240399,236.452117936,0.0116459180821
90000,198.307479266,326.73754408,0.0116459180821
91000,195.61738024,328.143700446,0.0116459180821
92000,213.730943561,291.236686912,0.0116459180821
93000,199.587739612,494.994898297,0.0116459180821
94000,240.282479051,308.067293355,0.0116459180821
95000,220.865932748,249.864662175,0.0116459180821
96000,204.693372072,362.06893192,0.0116459180821
97000,220.574990092,335.511213842,0.0116459180821
98000,198.647977109,202.673946355,0.0116459180821
99000,195.152118514,199.729464241,0.0116459180821
100000,192.594836599,149.966752497,0.0116459180821
