#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,3.46105583861e+11,4.59114757972e+11,0.0116459180821
2000,25894445922.8,1.71960194469e+11,0.0116459180821
3000,30916963864.9,1.33298453521e+11,0.0116459180821
4000,1.81432950354e+15,1.68528852109e+16,0.0116459180821
5000,3.31165343344e+14,1.82266740053e+15,0.0116459180821
6000,4.78265709324e+12,4.55288112375e+14,0.0116459180821
7000,7.68326672056e+12,2.47150832495e+13,0.0116459180821
8000,3.278442463e+11,6.91956439122e+12,0.0116459180821
9000,1.02242933491e+11,6.68587957686e+11,0.0116459180821
10000,13230161398.2,94116039817.0,0.0116459180821
11000,2985511502.75,6942127468.16,0.0116459180821
12000,366320364.012,1146978165.74,0.0116459180821
13000,21551358.5352,308040830.729,0.0116459180821
14000,7776501.26765,104210345.137,0.0116459180821
15000,3041307.05913,27896123.9802,0.0116459180821
16000,2.98263044526e+20,7.72514825199e+21,0.0116459180821
17000,1.4209071092e+20,5.0513429191e+20,0.0116459180821
18000,3.77414839617e+18,1.47866712145e+20,0.0116459180821
19000,1.81474288125e+18,1.29747299738e+19,0.0116459180821
20000,1.98417599986e+17,1.9804018981e+18,0.0116459180821
21000,1.36641097009e+16,3.3624050899e+17,0.0116459180821
22000,6.018101713e+15,2.37803821202e+16,0.0116459180821
23000,1.38964451923e+14,6.8152017453e+15,0.0116459180821
24000,1.11152034845e+14,4.48631281873e+14,0.0116459180821
25000,7.88727713883e+12,9.95898894923e+13,0.0116459180821
26000,1.48595486048e+12,1.14160291685e+13,0.0116459180821
27000,2.88809551356e+11,1.09021415586e+12,0.0116459180821
28000,1.03789419142e+11,1.63746525464e+12,0.0116459180821
29000,1.31556783088e+14,8.81493781804e+14,0.0116459180821
30000,7.16098856562e+12,1.73224891317e+14,0.0116459180821
31000,4.03292400433e+12,7.22188310663e+12,0.0116459180821
32000,1.59942239286e+11,2.93935454163e+12,0.0116459180821
33000,57086954362.6,2.09580300473e+11,0.0116459180821
34000,3210077676.09,53171757818.8,0.0116459180821
35000,4.56774320429e+11,2.26626443286e+13,0.0116459180821
36000,3.52784253837e+11,1.56302474229e+12,0.0116459180821
37000,2774088389.72,4.49841310741e+11,0.0116459180821
38000,7114500531.82,26250579555.6,0.0116459180821
