#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-44.7580880202,197.69926402,0.0307616681685
2000,-60.1569695158,315.954407339,0.0307616681685
3000,-62.0236459981,253.908266462,0.0307616681685
4000,-57.6953550969,246.672451408,0.0307616681685
5000,-13.1955701203,242.470705647,0.0307616681685
6000,-39.171303071,297.716696454,0.0307616681685
7000,-50.7598279328,299.677125514,0.0307616681685
8000,-59.6590015865,255.581360505,0.0307616681685
9000,-50.1865969871,375.557521154,0.0307616681685
10000,-58.4013956245,249.891807736,0.0307616681685
11000,-61.8783949997,229.020936199,0.0307616681685
12000,-33.539949589,366.650135526,0.0307616681685
13000,-56.6123665564,307.102435527,0.0307616681685
14000,-41.4416019564,353.036957774,0.0307616681685
15000,-69.5920327097,376.862959001,0.0307616681685
16000,-17.4235558549,306.940802815,0.0307616681685
17000,-73.9203441759,342.903373014,0.0307616681685
18000,-57.0916619924,322.160296172,0.0307616681685
19000,-65.0546640836,323.246081089,0.0307616681685
20000,-61.6203466166,361.366233866,0.0307616681685
21000,-42.9425015716,203.819841688,0.0307616681685
22000,-71.7899459597,327.548743023,0.0307616681685
23000,-35.6935572713,270.962196949,0.0307616681685
24000,-58.3886937385,260.209886435,0.0307616681685
25000,-43.5526888716,239.866258858,0.0307616681685
26000,-45.542127296,307.011354284,0.0307616681685
27000,-49.929061699,292.574990359,0.0307616681685
28000,-61.1191834346,291.135520857,0.0307616681685
29000,-45.377321362,256.764760504,0.0307616681685
30000,-63.8522302793,240.882341815,0.0307616681685
31000,-1.90475702322,240.378380152,0.0307616681685
32000,-1.16717010254,303.066479176,0.0307616681685
33000,-34.8461398095,410.679447003,0.0307616681685
34000,-57.0086205423,342.393754205,0.0307616681685
35000,-50.9704294045,219.924072308,0.0307616681685
36000,-35.6638383362,293.3131876,0.0307616681685
37000,-19.5628082713,298.361418044,0.0307616681685
38000,-60.9819963621,302.979788459,0.0307616681685
39000,-31.0800941958,270.218415991,0.0307616681685
40000,-50.3818546286,344.780546558,0.0307616681685
41000,-44.5296441427,387.53328562,0.0307616681685
42000,-51.1367187105,266.430241492,0.0307616681685
43000,-52.2806525656,328.825395272,0.0307616681685
44000,-67.1143958629,303.996519763,0.0307616681685
45000,-25.5591692151,304.359020759,0.0307616681685
46000,-45.4600752085,288.622684587,0.0307616681685
47000,-24.4907366128,376.726062335,0.0307616681685
48000,-46.5464144657,257.475395255,0.0307616681685
49000,-19.4894547408,376.705159829,0.0307616681685
50000,-37.2081748114,219.737446336,0.0307616681685
51000,-52.605757094,235.630288805,0.0307616681685
52000,-65.1214054269,268.113120313,0.0307616681685
53000,-25.5547473286,348.710511736,0.0307616681685
54000,-33.1736715258,311.993042923,0.0307616681685
55000,-45.3799912437,334.061465495,0.0307616681685
56000,-18.311493001,279.527262305,0.0307616681685
57000,-49.0669520489,264.010692923,0.0307616681685
58000,-43.9308463289,305.033558866,0.0307616681685
59000,-18.1537831161,276.069077778,0.0307616681685
60000,-44.9030592542,292.619788289,0.0307616681685
61000,-58.5679726423,295.220742892,0.0307616681685
62000,-52.3084466498,315.255396636,0.0307616681685
63000,-36.9857350829,259.964928835,0.0307616681685
64000,-48.2597047565,286.773769157,0.0307616681685
65000,-36.8639946561,321.714212316,0.0307616681685
66000,-39.3626546157,341.410822082,0.0307616681685
67000,-25.0280978012,365.753787511,0.0307616681685
68000,-31.1386721338,303.078730794,0.0307616681685
69000,-40.2327150034,219.830323016,0.0307616681685
70000,-43.7164560776,281.893427951,0.0307616681685
71000,-84.4504398774,303.644346831,0.0307616681685
72000,-66.0652824428,291.359076685,0.0307616681685
73000,-48.9097803857,308.610862831,0.0307616681685
74000,-37.1859709503,271.880876217,0.0307616681685
75000,-28.7742859107,272.920877266,0.0307616681685
76000,-38.5624441879,252.921301219,0.0307616681685
77000,-48.4063568919,260.971523351,0.0307616681685
78000,-50.5699191934,300.627459066,0.0307616681685
79000,-31.2245061211,275.002686938,0.0307616681685
80000,-45.9466263902,305.851212198,0.0307616681685
81000,-53.9570193629,356.696720379,0.0307616681685
82000,-66.3969628218,287.977213048,0.0307616681685
83000,-39.6599160697,368.923820786,0.0307616681685
84000,-35.1544676103,344.183891526,0.0307616681685
85000,-39.0150273241,279.965600579,0.0307616681685
86000,-25.9195997185,252.881089174,0.0307616681685
87000,-49.1407327722,297.384315694,0.0307616681685
88000,-16.4620128531,246.780297171,0.0307616681685
89000,-39.1374881168,316.241545289,0.0307616681685
90000,-39.11517129,421.989644921,0.0307616681685
91000,-56.0921763028,295.573292549,0.0307616681685
92000,-54.3571544284,301.77026752,0.0307616681685
93000,-31.0396009537,307.380688053,0.0307616681685
94000,-56.6336784829,256.965431544,0.0307616681685
95000,-44.9541482596,281.07784092,0.0307616681685
96000,-66.4000723038,354.211901364,0.0307616681685
97000,-49.1114894009,308.556513198,0.0307616681685
98000,-50.3665158475,264.560071386,0.0307616681685
99000,-30.0274413258,256.004647224,0.0307616681685
100000,-73.2364502492,302.806096937,0.0307616681685
101000,-27.5929105096,290.708268695,0.0307616681685
102000,-24.2187845713,250.122579875,0.0307616681685
103000,-69.697617651,238.79020226,0.0307616681685
104000,-63.1393655078,311.995893087,0.0307616681685
105000,-31.3669501483,270.824243572,0.0307616681685
106000,-18.8196946578,243.885922753,0.0307616681685
107000,-68.2159853913,280.144388623,0.0307616681685
108000,-51.0071043191,334.543053157,0.0307616681685
109000,-38.9562827188,313.644003093,0.0307616681685
110000,-62.598495783,252.820868712,0.0307616681685
111000,-45.5253137402,198.206499957,0.0307616681685
112000,-57.3894771619,275.085925793,0.0307616681685
113000,-62.3793974564,259.422786377,0.0307616681685
114000,-22.0018474402,320.541916959,0.0307616681685
115000,-49.6377345061,367.738569561,0.0307616681685
116000,-31.4508457698,286.984725367,0.0307616681685
117000,-40.9633204257,233.487075317,0.0307616681685
118000,-29.8756478187,275.210898992,0.0307616681685
119000,-37.0162747184,413.825719165,0.0307616681685
120000,-22.3012722892,331.176442193,0.0307616681685
121000,-53.5324021447,271.588298264,0.0307616681685
122000,-49.3182000099,267.07667932,0.0307616681685
123000,-54.0919538094,267.934079147,0.0307616681685
124000,-28.6930961486,276.060936938,0.0307616681685
125000,-52.3680432448,265.579840089,0.0307616681685
126000,-54.944036803,256.596048897,0.0307616681685
127000,-37.7830777551,266.491372346,0.0307616681685
128000,-37.6509205746,229.172214681,0.0307616681685
129000,-75.2553589511,295.269098821,0.0307616681685
130000,-24.2921549848,291.056277446,0.0307616681685
131000,-32.9384799395,353.223249423,0.0307616681685
132000,-36.1432432935,310.871083442,0.0307616681685
133000,-21.5630297307,397.353880693,0.0307616681685
134000,-37.4774844319,311.172524332,0.0307616681685
135000,-57.4265068177,369.90398584,0.0307616681685
136000,-56.7434106072,314.101109363,0.0307616681685
137000,-72.9947543392,229.787680149,0.0307616681685
138000,-41.3228775346,205.110767311,0.0307616681685
139000,-53.9830689929,308.045866845,0.0307616681685
140000,-78.95117479,380.690280126,0.0307616681685
141000,-57.3198344853,344.998127755,0.0307616681685
142000,-35.577091531,284.487130698,0.0307616681685
143000,-69.7723187174,270.384554331,0.0307616681685
144000,-64.0955485113,305.243885469,0.0307616681685
145000,-61.6628296261,319.346776194,0.0307616681685
146000,-33.5045337861,310.031510927,0.0307616681685
147000,-59.6679973933,267.890087523,0.0307616681685
148000,-41.6170295703,302.777178567,0.0307616681685
149000,-48.0745300513,357.589906947,0.0307616681685
150000,-28.0689327843,289.659353159,0.0307616681685
151000,-30.0995332528,231.015803865,0.0307616681685
152000,-45.1036376541,241.546947465,0.0307616681685
153000,-57.0846050737,265.140103081,0.0307616681685
154000,-30.1915573907,261.160621005,0.0307616681685
155000,-47.8612421765,219.806179169,0.0307616681685
156000,-42.5918474654,226.539864333,0.0307616681685
157000,-44.2528567096,231.304483502,0.0307616681685
158000,-35.9061906657,312.289698937,0.0307616681685
159000,-46.0320890431,359.71683869,0.0307616681685
160000,-52.167078379,339.045276686,0.0307616681685
161000,-37.5253311099,338.24765728,0.0307616681685
162000,-26.9514622081,285.684256719,0.0307616681685
163000,-19.0083480392,280.130788348,0.0307616681685
164000,-66.1674051034,322.395417143,0.0307616681685
165000,-29.3546461209,315.240400668,0.0307616681685
166000,-50.843139493,460.43126392,0.0307616681685
167000,-52.5084985167,273.806309256,0.0307616681685
168000,-43.4091419006,261.515896632,0.0307616681685
169000,-54.8312502871,247.861786753,0.0307616681685
170000,-29.7482414256,327.923584462,0.0307616681685
171000,-59.2992183402,258.217920411,0.0307616681685
172000,-51.0472613627,328.68456758,0.0307616681685
173000,-51.9772465607,316.09650493,0.0307616681685
174000,-31.0974447411,321.140822512,0.0307616681685
175000,-56.9582352513,250.784881363,0.0307616681685
176000,-63.521369788,305.928974232,0.0307616681685
177000,-75.7594233288,448.166918851,0.0307616681685
178000,-21.3119076077,317.721840652,0.0307616681685
179000,-31.7258243816,367.502730497,0.0307616681685
180000,-24.7474975627,343.50698183,0.0307616681685
181000,-56.2286904508,235.272678217,0.0307616681685
182000,-53.4051442025,242.054258633,0.0307616681685
183000,-54.4584163206,283.119950922,0.0307616681685
184000,-40.1035300582,270.309591159,0.0307616681685
185000,-74.0416263843,269.864017039,0.0307616681685
186000,-32.1477902629,316.322635586,0.0307616681685
187000,-16.9270961141,296.878658598,0.0307616681685
188000,-27.157299557,318.21530452,0.0307616681685
189000,-38.3339875937,239.517191803,0.0307616681685
190000,-31.593833485,350.043823192,0.0307616681685
191000,-44.7624906456,294.264393949,0.0307616681685
192000,-62.9645857979,307.732902505,0.0307616681685
193000,-33.048411932,315.262459947,0.0307616681685
194000,-47.8612068104,235.211879661,0.0307616681685
195000,-40.8697716015,331.147378225,0.0307616681685
196000,-20.6712572894,376.838552186,0.0307616681685
197000,-37.5305467897,341.018773451,0.0307616681685
198000,-41.7301349405,308.015224695,0.0307616681685
199000,-60.7407469942,283.208289761,0.0307616681685
200000,-40.5263143921,260.352861564,0.0307616681685
201000,-36.0697377332,336.352213787,0.0307616681685
202000,-23.0231119772,318.353990506,0.0307616681685
203000,-42.3799989746,279.585854835,0.0307616681685
204000,-28.3707231463,256.839955097,0.0307616681685
205000,-32.3992924595,293.704547071,0.0307616681685
206000,-51.7231751006,288.086277991,0.0307616681685
207000,-79.2121309466,314.59191756,0.0307616681685
208000,-76.5135432468,280.305780926,0.0307616681685
209000,-48.3738178394,284.677904612,0.0307616681685
210000,-43.1682616895,300.606250231,0.0307616681685
211000,-71.5971478086,268.714902367,0.0307616681685
212000,-59.1855689658,300.554720098,0.0307616681685
213000,-50.0764244656,228.895570387,0.0307616681685
214000,-51.9757454694,270.262237911,0.0307616681685
215000,-34.0283608244,360.232212837,0.0307616681685
216000,-57.5609512646,259.996779515,0.0307616681685
217000,-76.2994562266,269.819142365,0.0307616681685
218000,-28.7704498426,267.252134948,0.0307616681685
219000,-59.3880408336,265.716294365,0.0307616681685
220000,-50.6515353302,245.377266577,0.0307616681685
221000,-72.9180158357,289.640223631,0.0307616681685
222000,-71.2671292326,357.786373354,0.0307616681685
223000,-27.7831902283,242.134331999,0.0307616681685
224000,-32.1330780653,244.446943526,0.0307616681685
225000,-35.6680954257,400.414118587,0.0307616681685
226000,-75.5744049721,331.388917358,0.0307616681685
227000,-56.8144794497,296.35728048,0.0307616681685
228000,-57.0144438739,214.944298277,0.0307616681685
229000,-24.7561432757,355.529482376,0.0307616681685
230000,-59.5749248608,330.821397066,0.0307616681685
