#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,202.444139949,242.171422067,0.0116459180821
2000,216.059844276,329.060204537,0.0116459180821
3000,207.905394421,226.769990498,0.0116459180821
4000,207.010431194,325.659953293,0.0116459180821
5000,195.573739613,539.489302684,0.0116459180821
6000,195.471649752,272.925784448,0.0116459180821
7000,201.345592669,213.354499103,0.0116459180821
8000,234.953762101,274.903996504,0.0116459180821
9000,211.932996404,298.949707062,0.0116459180821
10000,198.050554734,281.397817113,0.0116459180821
11000,215.542476167,305.581882265,0.0116459180821
12000,219.552624816,288.716385182,0.0116459180821
13000,200.164053812,391.945914126,0.0116459180821
14000,212.759874873,318.367430408,0.0116459180821
15000,217.496058986,217.728266668,0.0116459180821
16000,239.261866543,316.500072097,0.0116459180821
17000,214.713465351,211.793850993,0.0116459180821
18000,206.744576495,339.174475692,0.0116459180821
19000,222.537827828,293.15456964,0.0116459180821
20000,191.415220103,302.458629384,0.0116459180821
21000,201.696330755,225.210527808,0.0116459180821
22000,215.559421413,406.588156454,0.0116459180821
23000,206.342604119,268.324617973,0.0116459180821
24000,192.616304487,430.73323221,0.0116459180821
25000,196.73828078,232.787688117,0.0116459180821
26000,198.564537999,372.713350737,0.0116459180821
27000,212.997200772,326.067427929,0.0116459180821
28000,205.054269066,253.071351004,0.0116459180821
29000,219.978844398,248.580650965,0.0116459180821
30000,208.430709973,381.404864933,0.0116459180821
31000,210.207284023,230.012748921,0.0116459180821
32000,194.011107298,253.445903036,0.0116459180821
33000,202.003922914,189.423517511,0.0116459180821
34000,192.823282341,269.859785087,0.0116459180821
35000,199.236768976,238.888207492,0.0116459180821
36000,207.077241054,238.475306564,0.0116459180821
37000,223.35473506,171.640313436,0.0116459180821
38000,191.558743839,243.893889467,0.0116459180821
39000,221.633557679,321.530276491,0.0116459180821
40000,203.402523496,314.735546329,0.0116459180821
41000,192.510285441,317.354985856,0.0116459180821
42000,189.597415368,327.368228713,0.0116459180821
43000,198.647265138,267.548917579,0.0116459180821
44000,222.245266279,231.235921601,0.0116459180821
45000,193.392763395,232.213547063,0.0116459180821
46000,220.370372661,299.595530225,0.0116459180821
47000,188.177286949,274.892977516,0.0116459180821
48000,203.932961673,462.371004392,0.0116459180821
49000,216.096863671,365.345326211,0.0116459180821
50000,204.016054043,251.093177728,0.0116459180821
51000,197.397895851,429.764218943,0.0116459180821
52000,200.829438571,301.357903206,0.0116459180821
53000,197.915222988,365.096486169,0.0116459180821
54000,206.270608583,373.334076449,0.0116459180821
55000,206.886653314,298.934853923,0.0116459180821
56000,210.708132495,439.856270937,0.0116459180821
57000,193.472052289,198.33859559,0.0116459180821
58000,198.181304524,398.224466319,0.0116459180821
59000,211.648679117,290.918017603,0.0116459180821
60000,207.337244561,326.379485147,0.0116459180821
61000,226.991359969,236.493443434,0.0116459180821
62000,222.148973574,327.947634713,0.0116459180821
63000,203.683467436,352.719743238,0.0116459180821
64000,222.567251814,197.939323193,0.0116459180821
65000,210.482350865,293.7577028,0.0116459180821
66000,203.684091638,297.281562789,0.0116459180821
67000,202.229665591,330.432876497,0.0116459180821
68000,211.516589028,155.155203823,0.0116459180821
69000,216.27564057,215.135201842,0.0116459180821
70000,200.782251014,258.123328189,0.0116459180821
71000,211.644694095,304.6541591,0.0116459180821
72000,205.753770606,294.924312689,0.0116459180821
73000,190.284810101,288.252956336,0.0116459180821
74000,205.428869832,254.054123866,0.0116459180821
75000,210.84269761,220.144662153,0.0116459180821
76000,193.585434884,440.785261846,0.0116459180821
77000,199.94569811,211.479597962,0.0116459180821
78000,223.659163811,229.254425741,0.0116459180821
79000,216.112028489,418.726669581,0.0116459180821
