#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-39.6915354354,353.218819308,0.0307616681685
2000,-36.6569795717,309.497906864,0.0307616681685
3000,-53.701400354,279.052046242,0.0307616681685
4000,-44.3643414897,277.736970679,0.0307616681685
5000,-33.5380595746,275.1920538,0.0307616681685
6000,-86.6810948098,316.24757115,0.0307616681685
7000,-64.4255347635,243.219309244,0.0307616681685
8000,-44.4515597175,278.974879692,0.0307616681685
9000,-60.9784602089,298.74806302,0.0307616681685
10000,-65.8849887784,201.746575331,0.0307616681685
11000,-44.4104837815,251.493229286,0.0307616681685
12000,-46.4675528666,293.669053408,0.0307616681685
13000,-37.1263115338,260.001488914,0.0307616681685
14000,-54.4854894343,353.666454154,0.0307616681685
15000,-59.7565809973,350.107999933,0.0307616681685
16000,-63.7992907268,357.440941145,0.0307616681685
17000,-49.0212207818,380.125664204,0.0307616681685
18000,-39.5006220774,323.252532391,0.0307616681685
19000,-24.5059859991,320.202003801,0.0307616681685
20000,-51.94240266,329.10956414,0.0307616681685
21000,-67.4682455626,375.015151305,0.0307616681685
22000,-60.6439648818,261.13275589,0.0307616681685
23000,-65.5040461625,293.575039161,0.0307616681685
24000,-61.0951328738,333.50685944,0.0307616681685
25000,-44.5050284315,260.687153855,0.0307616681685
26000,-82.5263733623,363.862528815,0.0307616681685
27000,-43.1044572917,356.147848501,0.0307616681685
28000,-41.5559111519,324.812582839,0.0307616681685
29000,-61.2759230964,310.071237379,0.0307616681685
30000,-68.0111400638,330.023057069,0.0307616681685
31000,-36.6374459467,245.710227801,0.0307616681685
32000,-43.054083754,320.004348582,0.0307616681685
33000,-74.130878008,263.559333525,0.0307616681685
34000,-57.5928271758,298.113592692,0.0307616681685
35000,-67.7261385382,418.204260178,0.0307616681685
36000,-53.4402132853,257.249394453,0.0307616681685
37000,-65.4485412238,240.587196859,0.0307616681685
38000,-70.0188443599,284.176181189,0.0307616681685
39000,-37.099663125,404.189107472,0.0307616681685
40000,-20.191398105,280.157486147,0.0307616681685
41000,-52.5223231549,304.514869834,0.0307616681685
42000,-24.2690447298,304.061404203,0.0307616681685
43000,-61.8507169479,287.515629689,0.0307616681685
44000,-57.8037612588,282.291863268,0.0307616681685
45000,-51.1834024697,332.459228404,0.0307616681685
46000,-44.7221536642,262.432421051,0.0307616681685
