#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,54.5630359393,302.565502549,0.0274407089172
2000,111.647333589,280.677075808,0.0274407089172
3000,109.253406471,307.940507145,0.0274407089172
4000,102.477617133,321.556822665,0.0274407089172
5000,71.9479804989,285.95138385,0.0274407089172
6000,71.4917918871,330.573946917,0.0274407089172
7000,84.0737199841,295.787367904,0.0274407089172
8000,106.971736378,367.087160469,0.0274407089172
9000,111.121205393,304.224223598,0.0274407089172
10000,85.154231599,326.376920408,0.0274407089172
11000,65.0745918874,242.309859686,0.0274407089172
12000,72.9807582228,295.0120869,0.0274407089172
13000,103.695595552,290.775673197,0.0274407089172
14000,89.3021463344,235.736079379,0.0274407089172
15000,67.8520617905,312.372895516,0.0274407089172
16000,81.6190367547,232.306194268,0.0274407089172
17000,107.00168091,332.517690144,0.0274407089172
18000,119.229105293,256.237446718,0.0274407089172
19000,91.0946573849,398.133556654,0.0274407089172
20000,141.49490852,335.164958913,0.0274407089172
21000,78.7416279225,422.263059529,0.0274407089172
22000,99.8612822578,383.465567711,0.0274407089172
23000,97.9730136636,360.753475864,0.0274407089172
24000,111.892231554,353.040035726,0.0274407089172
25000,102.715063665,290.282755368,0.0274407089172
26000,70.9699748126,309.266189824,0.0274407089172
27000,50.711891266,278.73502831,0.0274407089172
28000,64.1742974465,240.151618477,0.0274407089172
29000,99.4139264348,239.71066531,0.0274407089172
30000,107.086635544,327.163164284,0.0274407089172
31000,95.8324109596,305.367212659,0.0274407089172
32000,98.1298506738,329.560307357,0.0274407089172
33000,79.4535492299,226.7640055,0.0274407089172
34000,66.8055960968,320.085417109,0.0274407089172
35000,68.1731799881,240.992113113,0.0274407089172
36000,77.3465695909,262.253300615,0.0274407089172
37000,94.0486393057,283.304248452,0.0274407089172
38000,93.995410421,284.512376153,0.0274407089172
39000,64.0665264548,269.805065149,0.0274407089172
40000,63.153408652,300.220792631,0.0274407089172
41000,91.2055717531,297.84555602,0.0274407089172
42000,84.558008321,333.931713528,0.0274407089172
43000,95.6723743143,290.038504502,0.0274407089172
44000,72.2716797634,231.459582928,0.0274407089172
45000,84.0538679941,366.403617876,0.0274407089172
46000,93.7539055649,292.15268182,0.0274407089172
47000,115.132076163,234.353609801,0.0274407089172
48000,70.0765771777,272.373865041,0.0274407089172
49000,73.8483801944,291.593546108,0.0274407089172
50000,95.9751805317,340.228280919,0.0274407089172
51000,80.5915435214,330.50803552,0.0274407089172
52000,86.4360014663,383.180665593,0.0274407089172
53000,109.546293616,264.644516316,0.0274407089172
54000,72.3194158242,338.23101702,0.0274407089172
55000,78.8665919404,261.787282542,0.0274407089172
56000,76.2403902232,258.454996852,0.0274407089172
57000,108.261575543,373.300945645,0.0274407089172
58000,104.24250077,333.803840561,0.0274407089172
59000,62.5141522112,351.467580748,0.0274407089172
60000,80.1983861642,251.517140376,0.0274407089172
61000,104.279955723,217.339539103,0.0274407089172
62000,98.7652303164,284.211612545,0.0274407089172
63000,99.1582226331,199.439097696,0.0274407089172
64000,71.2870673409,375.377745272,0.0274407089172
65000,67.6742568815,279.223119486,0.0274407089172
66000,111.12385195,274.236976702,0.0274407089172
67000,96.0298207967,336.48599324,0.0274407089172
68000,104.576657984,340.556069213,0.0274407089172
69000,102.711590629,256.391272531,0.0274407089172
70000,90.6272277469,269.857429083,0.0274407089172
71000,93.4470622503,297.495642792,0.0274407089172
72000,86.3490339903,262.087589228,0.0274407089172
73000,78.4867198261,253.155346623,0.0274407089172
74000,103.300165123,282.190747739,0.0274407089172
75000,76.1128548719,261.70527504,0.0274407089172
76000,85.9417460303,255.817182778,0.0274407089172
77000,70.4290028088,315.013821389,0.0274407089172
78000,110.562853787,344.063008339,0.0274407089172
79000,66.5190923959,277.712004138,0.0274407089172
80000,93.6710000071,256.508005515,0.0274407089172
81000,75.4107591455,305.642845608,0.0274407089172
82000,76.3866498048,360.18851765,0.0274407089172
83000,97.3903896853,322.948977117,0.0274407089172
84000,82.2386555697,330.637175984,0.0274407089172
85000,90.5451374748,288.411175912,0.0274407089172
86000,102.230204066,272.56502267,0.0274407089172
