#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,118630562.353,337036566.601,0.0336641936488
2000,11748598.9093,47933090.7741,0.0336641936488
3000,8.71888280303e+11,3.88254653009e+12,0.0336641936488
4000,1.0356771555e+11,5.65513174522e+11,0.0336641936488
5000,20424470174.9,57433833704.7,0.0336641936488
6000,2790470305.63,7165759221.65,0.0336641936488
7000,343746985.964,957629464.881,0.0336641936488
8000,56009081.7947,101131632.301,0.0336641936488
9000,259169152.874,1947054417.51,0.0336641936488
10000,54022119.0565,214416385.655,0.0336641936488
11000,2.3266023984e+13,5.79450727704e+13,0.0336641936488
12000,1.6008018782e+12,1.30108953554e+13,0.0336641936488
13000,4.19153740451e+11,9.29744624777e+11,0.0336641936488
14000,23885692363.3,2.25150787707e+11,0.0336641936488
15000,4947432616.47,20625430150.4,0.0336641936488
16000,585536973.504,2410834474.09,0.0336641936488
17000,85284755.3226,262197266.095,0.0336641936488
18000,18324271.8184,52597780.9548,0.0336641936488
19000,11170860.3441,33292134.1592,0.0336641936488
20000,66800713.9345,361477314.671,0.0336641936488
21000,5243321362.21,13959472031.4,0.0336641936488
22000,1007150889.69,1031180650.38,0.0336641936488
23000,80159365.2976,258674235.491,0.0336641936488
24000,20951612.937,18715154.161,0.0336641936488
25000,11936276.3966,49874789.7227,0.0336641936488
26000,20013017.7932,42564051.0828,0.0336641936488
27000,149872182.034,718537523.522,0.0336641936488
28000,61670833.8138,159567950.893,0.0336641936488
29000,2.97850857062e+12,4.46098623479e+12,0.0336641936488
30000,3.50751045959e+11,8.25833720384e+11,0.0336641936488
31000,39832238016.2,1.18847508347e+11,0.0336641936488
32000,4996642393.46,13073641385.0,0.0336641936488
33000,653323438.785,1410812640.08,0.0336641936488
34000,51743684.1371,233829754.129,0.0336641936488
35000,9225875.43664,26424863.7896,0.0336641936488
36000,3.75657552989e+12,3.39746695786e+12,0.0336641936488
37000,2.04926548446e+11,1.37497417165e+12,0.0336641936488
38000,43008062527.0,1.30808586863e+11,0.0336641936488
39000,5597285872.47,15467103547.5,0.0336641936488
40000,599774805.924,1906172445.5,0.0336641936488
41000,70579961.4065,239415432.393,0.0336641936488
42000,7450469.89198,31716925.2781,0.0336641936488
43000,7469829527.82,32131085141.5,0.0336641936488
44000,1693229144.52,2393777520.48,0.0336641936488
45000,187703473.824,397234627.622,0.0336641936488
46000,36304650.1894,204747551.761,0.0336641936488
47000,6929349.01638,18908121.8676,0.0336641936488
48000,4.63055209027e+16,1.35975838222e+16,0.0336641936488
49000,5.84098936235e+15,2.54049073553e+15,0.0336641936488
50000,7.28322842042e+14,4.22861570959e+14,0.0336641936488
51000,7.37280845501e+13,1.04678350269e+14,0.0336641936488
52000,7.4369937939e+12,1.86889615675e+13,0.0336641936488
53000,5.21668202642e+11,3.51555635132e+12,0.0336641936488
54000,25718853153.9,5.69629457425e+11,0.0336641936488
55000,4331777211.2,74459180136.0,0.0336641936488
56000,3314827004.98,4327496347.71,0.0336641936488
57000,270375657.718,1016013910.91,0.0336641936488
58000,55309848.1454,84115958.2271,0.0336641936488
59000,195061536.048,441730178.789,0.0336641936488
60000,20817325.0422,67268490.358,0.0336641936488
61000,1.30971724044e+12,3.66280154233e+12,0.0336641936488
62000,2.38955664351e+11,3.9574756496e+11,0.0336641936488
63000,35839059179.8,45280713209.3,0.0336641936488
64000,3144508537.21,8851341645.13,0.0336641936488
65000,109974764.535,1747078812.19,0.0336641936488
66000,1.98945470092e+11,5.65456458407e+11,0.0336641936488
67000,28016683063.9,93408569749.1,0.0336641936488
68000,3861732467.13,9787307059.21,0.0336641936488
69000,519153288.679,1018758967.36,0.0336641936488
70000,47298577.8788,177104729.498,0.0336641936488
71000,16725622.3768,59231252.4436,0.0336641936488
72000,2150600.82161,10223864.8867,0.0336641936488
73000,10642879.1996,43294196.9294,0.0336641936488
74000,1952566.49171,4877127.66966,0.0336641936488
75000,11587217312.6,55642038741.8,0.0336641936488
76000,2148894487.9,5877166790.76,0.0336641936488
77000,357624092.753,609413965.401,0.0336641936488
78000,52019431.556,64638453.1873,0.0336641936488
79000,3.87897520867e+11,1.11361263675e+12,0.0336641936488
80000,64787103037.4,92961252315.2,0.0336641936488
81000,4755463494.76,19713529900.1,0.0336641936488
82000,864995778.816,1595980548.35,0.0336641936488
83000,77688087.5242,253252577.872,0.0336641936488
84000,3.03772181563e+11,7.61381640547e+11,0.0336641936488
85000,31296489900.2,1.20094160579e+11,0.0336641936488
86000,5542886403.16,13499754594.0,0.0336641936488
87000,1701925635.97,226636756.775,0.0336641936488
88000,57406231.1618,313702398.032,0.0336641936488
89000,22910887483.5,57687401767.7,0.0336641936488
90000,4184171419.07,4364704476.63,0.0336641936488
91000,512051740.819,582788153.581,0.0336641936488
92000,53679795.8479,114815681.507,0.0336641936488
93000,69230808.3344,240825870.357,0.0336641936488
94000,9577863.09576,31506586.3349,0.0336641936488
95000,744689055.795,2142898957.69,0.0336641936488
96000,45171414.4609,408417623.592,0.0336641936488
97000,11773313.03,30356054.0101,0.0336641936488
98000,94223800.2027,320370555.794,0.0336641936488
99000,11562226.2914,47131107.5888,0.0336641936488
100000,362572550.44,1178505467.62,0.0336641936488
101000,49934133.4498,117482018.455,0.0336641936488
102000,6317847.82116,14045984.1185,0.0336641936488
103000,165487358.329,2192816630.64,0.0336641936488
104000,88325872.8203,137157127.784,0.0336641936488
105000,87179515.4725,429217325.492,0.0336641936488
106000,14067036.9645,41183686.7973,0.0336641936488
107000,968091909.745,312426957.008,0.0336641936488
108000,121749111.716,60832163.0198,0.0336641936488
109000,18097835.2784,7696227.55172,0.0336641936488
110000,1.63430032152e+12,5.70863290944e+12,0.0336641936488
111000,1.67700147468e+11,9.10825182599e+11,0.0336641936488
112000,34208311326.6,71907999874.3,0.0336641936488
113000,3278845298.14,11804526722.4,0.0336641936488
114000,306570111.126,1564230513.34,0.0336641936488
115000,55188889.6985,143341223.727,0.0336641936488
