#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,218.925287939,370.983320837,0.0116459180821
2000,205.201277292,260.117934036,0.0116459180821
3000,216.054289172,244.397093596,0.0116459180821
4000,218.339219728,280.111951454,0.0116459180821
5000,223.477911384,338.370106431,0.0116459180821
6000,204.50541504,297.349336863,0.0116459180821
7000,197.832474752,270.274771922,0.0116459180821
8000,217.15987936,308.199512488,0.0116459180821
9000,226.120236617,394.974165604,0.0116459180821
10000,240.166750391,285.517984496,0.0116459180821
11000,193.619907166,280.946401639,0.0116459180821
12000,200.684771978,337.524643019,0.0116459180821
13000,217.344061488,392.979007586,0.0116459180821
14000,214.092646169,322.546467898,0.0116459180821
15000,211.58660694,310.086752751,0.0116459180821
16000,212.17478005,229.114494355,0.0116459180821
17000,207.795706097,273.313892861,0.0116459180821
18000,213.679659878,263.612787234,0.0116459180821
19000,217.366039246,194.279024521,0.0116459180821
20000,198.050020957,255.807296255,0.0116459180821
21000,210.41596415,376.459162993,0.0116459180821
22000,205.498257268,354.870357924,0.0116459180821
23000,201.292868694,190.786746966,0.0116459180821
24000,193.782914091,261.260454461,0.0116459180821
25000,213.017889176,273.899072688,0.0116459180821
26000,218.144325573,243.365392583,0.0116459180821
27000,224.248908956,340.589257191,0.0116459180821
28000,218.140756638,288.772738247,0.0116459180821
29000,198.716114565,445.11076737,0.0116459180821
30000,204.941687155,182.496630636,0.0116459180821
31000,214.019522603,244.371606588,0.0116459180821
32000,213.79514861,222.869196208,0.0116459180821
33000,204.945537817,313.203764738,0.0116459180821
34000,199.677648994,188.664323717,0.0116459180821
35000,211.062751876,213.171620855,0.0116459180821
36000,194.549521513,254.335082286,0.0116459180821
37000,210.015354277,319.702031399,0.0116459180821
38000,213.696077037,311.510034338,0.0116459180821
39000,192.663504646,302.601453604,0.0116459180821
40000,223.106716583,222.322049801,0.0116459180821
41000,189.77226425,291.768611856,0.0116459180821
42000,218.310063221,295.67350173,0.0116459180821
43000,221.095926613,236.211257453,0.0116459180821
44000,205.575889039,207.399712399,0.0116459180821
45000,203.135285211,381.633313081,0.0116459180821
46000,190.799101564,451.18280538,0.0116459180821
47000,216.053223393,328.166934946,0.0116459180821
48000,200.198988077,265.323755741,0.0116459180821
49000,202.607854329,319.170376014,0.0116459180821
50000,212.358701876,236.858841217,0.0116459180821
51000,192.839437634,264.263308548,0.0116459180821
52000,200.410246742,301.181282131,0.0116459180821
53000,203.950374183,386.358077492,0.0116459180821
54000,206.934875635,412.72107278,0.0116459180821
55000,213.29804967,203.726978983,0.0116459180821
56000,204.628662443,315.728135156,0.0116459180821
57000,198.940877639,209.414281511,0.0116459180821
58000,214.778611974,297.356834686,0.0116459180821
59000,209.877475847,256.623963557,0.0116459180821
60000,212.136996042,311.970880142,0.0116459180821
61000,202.483923551,296.455546236,0.0116459180821
62000,197.400371106,333.046398421,0.0116459180821
63000,219.908141132,309.400774513,0.0116459180821
64000,208.952890629,242.392884783,0.0116459180821
65000,212.061163018,233.133196938,0.0116459180821
66000,225.253196705,345.905635267,0.0116459180821
67000,215.680710031,399.593277808,0.0116459180821
68000,192.360607295,215.713041895,0.0116459180821
69000,202.69339391,197.978949451,0.0116459180821
70000,206.993204346,348.780656777,0.0116459180821
71000,194.574280246,186.251433802,0.0116459180821
72000,236.953802107,409.630514745,0.0116459180821
73000,213.959020169,222.708357741,0.0116459180821
74000,227.096829214,361.518740356,0.0116459180821
75000,200.019618431,261.833350807,0.0116459180821
76000,200.447390924,233.356941365,0.0116459180821
77000,206.43031215,211.907433316,0.0116459180821
78000,200.553755491,162.518874587,0.0116459180821
79000,222.250396175,385.256531672,0.0116459180821
80000,215.949932363,397.665242069,0.0116459180821
81000,210.890052856,392.144298092,0.0116459180821
82000,213.924031485,338.318185866,0.0116459180821
83000,219.084148946,527.957554162,0.0116459180821
84000,231.919963794,461.04445131,0.0116459180821
85000,199.59615305,183.926496905,0.0116459180821
86000,219.159694428,377.389770981,0.0116459180821
87000,217.669309212,287.175512358,0.0116459180821
88000,234.647934583,232.034678783,0.0116459180821
89000,229.679390392,311.202899863,0.0116459180821
90000,229.177496556,299.998804962,0.0116459180821
91000,223.08955395,326.745066065,0.0116459180821
92000,207.379130641,482.392965271,0.0116459180821
93000,220.351322072,290.066477069,0.0116459180821
94000,210.543429185,349.303697205,0.0116459180821
95000,208.489750402,165.363596024,0.0116459180821
96000,191.436129225,247.721154596,0.0116459180821
97000,222.596373412,278.388446187,0.0116459180821
98000,218.644364922,237.503886169,0.0116459180821
99000,224.625246093,195.380135469,0.0116459180821
100000,198.220989492,292.82561609,0.0116459180821
101000,209.877650349,170.438147955,0.0116459180821
102000,218.055587221,226.052144946,0.0116459180821
103000,211.496052421,208.191304693,0.0116459180821
104000,209.748774012,225.539978973,0.0116459180821
105000,222.512702495,245.890677075,0.0116459180821
106000,201.58247692,246.946545497,0.0116459180821
107000,209.046752827,289.9221663,0.0116459180821
108000,193.515114304,363.20739347,0.0116459180821
109000,204.010326605,316.543566254,0.0116459180821
110000,201.854123062,257.39646153,0.0116459180821
111000,211.493020522,265.756219552,0.0116459180821
112000,197.699032976,334.306788309,0.0116459180821
113000,203.396886485,205.284199755,0.0116459180821
114000,205.167159969,385.596837657,0.0116459180821
115000,209.286291273,194.810375258,0.0116459180821
116000,204.784561579,376.035065921,0.0116459180821
117000,218.953560002,308.346042223,0.0116459180821
118000,208.825939701,477.705934526,0.0116459180821
119000,208.841490945,282.12487959,0.0116459180821
120000,194.786610815,270.54828505,0.0116459180821
121000,214.31020892,410.069012048,0.0116459180821
122000,197.933352385,359.417790298,0.0116459180821
123000,213.231877265,237.880443359,0.0116459180821
124000,219.008837511,233.185836559,0.0116459180821
125000,200.100014425,329.596169911,0.0116459180821
126000,206.622148087,277.025427878,0.0116459180821
127000,189.392413846,290.512180215,0.0116459180821
