#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,199.883593824,361.742677495,0.0116459180821
2000,207.739268772,275.036470898,0.0116459180821
3000,229.182913525,278.296529858,0.0116459180821
4000,209.208119288,317.002827923,0.0116459180821
5000,209.661760709,262.978546345,0.0116459180821
6000,234.262779215,293.750503765,0.0116459180821
7000,208.588450711,360.47478449,0.0116459180821
8000,193.033411374,364.195060011,0.0116459180821
9000,208.443623068,235.736222015,0.0116459180821
10000,213.46197607,201.864487365,0.0116459180821
11000,208.637206118,223.939372137,0.0116459180821
12000,213.312525219,289.906034756,0.0116459180821
13000,211.87497517,448.956971587,0.0116459180821
14000,205.545250054,223.96054834,0.0116459180821
15000,209.783728806,347.698738841,0.0116459180821
16000,216.167217862,421.050018616,0.0116459180821
17000,196.837925674,228.307675931,0.0116459180821
18000,235.097534236,389.325237473,0.0116459180821
19000,204.068589142,288.174718819,0.0116459180821
20000,217.420948961,348.095477161,0.0116459180821
21000,209.736674631,280.206975713,0.0116459180821
22000,200.097281141,251.091540854,0.0116459180821
23000,195.733316873,330.160949961,0.0116459180821
24000,214.024046333,286.275375569,0.0116459180821
25000,208.807289403,286.49570208,0.0116459180821
26000,193.555584374,306.467205668,0.0116459180821
27000,213.127422014,259.259494939,0.0116459180821
28000,203.708797303,250.136192099,0.0116459180821
29000,200.844365884,266.723669948,0.0116459180821
30000,191.21956118,286.611912244,0.0116459180821
31000,219.739026872,256.546606563,0.0116459180821
32000,211.118497068,255.713325879,0.0116459180821
33000,189.857668538,192.524863378,0.0116459180821
34000,226.503538784,302.458513678,0.0116459180821
35000,211.953164142,382.035213971,0.0116459180821
36000,203.372544707,243.786110146,0.0116459180821
37000,207.971524413,323.872361254,0.0116459180821
38000,224.378230515,165.660017125,0.0116459180821
39000,217.547943499,365.927996846,0.0116459180821
40000,204.699401781,269.544445625,0.0116459180821
41000,225.242174722,373.572406285,0.0116459180821
42000,216.540135983,351.919823337,0.0116459180821
43000,205.909497068,393.39946939,0.0116459180821
44000,205.118945446,276.697696738,0.0116459180821
45000,192.809280246,421.947580434,0.0116459180821
46000,194.680395663,293.758093191,0.0116459180821
47000,192.295303652,270.737024044,0.0116459180821
