#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,170.839168035,168.637949271,0.0116459180821
2000,157.975087695,295.894407808,0.0116459180821
3000,178.331660432,307.766478232,0.0116459180821
4000,200.758139855,259.788233418,0.0116459180821
5000,169.803949876,315.08573622,0.0116459180821
6000,171.147240978,256.646170306,0.0116459180821
7000,159.040533434,232.402716563,0.0116459180821
8000,173.274263462,304.306615369,0.0116459180821
9000,177.402614484,288.918858946,0.0116459180821
10000,192.082314435,280.051871496,0.0116459180821
11000,168.817508765,296.213040563,0.0116459180821
12000,167.184510315,291.593004329,0.0116459180821
13000,206.472595234,296.15932578,0.0116459180821
14000,173.245714586,190.515445867,0.0116459180821
15000,177.756556788,278.897548468,0.0116459180821
16000,171.281609014,279.620324889,0.0116459180821
17000,165.074245826,261.146517624,0.0116459180821
18000,156.86457144,294.398458973,0.0116459180821
19000,160.939266264,264.365555893,0.0116459180821
20000,182.548617184,314.206786704,0.0116459180821
21000,197.15137697,275.421602183,0.0116459180821
22000,168.933034383,271.153383541,0.0116459180821
23000,159.125578446,218.307773019,0.0116459180821
24000,161.560197088,397.376086338,0.0116459180821
25000,175.231517872,325.074790503,0.0116459180821
26000,178.303635889,357.923031527,0.0116459180821
27000,170.215572594,328.28528315,0.0116459180821
28000,174.019801765,406.993942075,0.0116459180821
29000,178.391361123,270.829903944,0.0116459180821
30000,171.949176257,438.640370189,0.0116459180821
31000,159.651926469,299.994597603,0.0116459180821
32000,174.229082908,267.526044552,0.0116459180821
33000,172.909539477,164.173102299,0.0116459180821
34000,169.254278728,343.53710623,0.0116459180821
35000,169.775679243,343.681710939,0.0116459180821
36000,179.538322233,287.650122136,0.0116459180821
37000,177.138655981,332.539028851,0.0116459180821
38000,166.167668913,252.639482303,0.0116459180821
39000,175.134467262,286.122341632,0.0116459180821
40000,172.755971359,254.977731189,0.0116459180821
41000,180.575559574,364.763318139,0.0116459180821
42000,164.685969043,322.968239433,0.0116459180821
43000,180.896715812,317.659956428,0.0116459180821
44000,182.2379874,312.117085748,0.0116459180821
45000,168.217036529,249.652748992,0.0116459180821
46000,184.347839471,207.990172947,0.0116459180821
47000,170.113277831,272.621715235,0.0116459180821
48000,183.947591709,350.546494227,0.0116459180821
49000,182.938276903,346.28436999,0.0116459180821
50000,167.216186894,328.213961308,0.0116459180821
51000,172.756726465,268.80620756,0.0116459180821
52000,181.728605575,278.585785824,0.0116459180821
53000,174.222230777,280.166467004,0.0116459180821
54000,181.987592695,276.72740279,0.0116459180821
55000,174.44706802,259.726027393,0.0116459180821
56000,170.986612327,354.873610075,0.0116459180821
57000,176.076268373,259.196314286,0.0116459180821
58000,172.406541107,309.323640327,0.0116459180821
59000,172.01054271,335.225838882,0.0116459180821
60000,167.920999088,387.212647644,0.0116459180821
61000,162.221117279,321.263292956,0.0116459180821
62000,176.033771226,298.90561821,0.0116459180821
63000,167.647692768,436.212717836,0.0116459180821
64000,172.218729351,378.356575992,0.0116459180821
65000,173.54619439,334.59972501,0.0116459180821
66000,160.401215278,335.470051002,0.0116459180821
67000,173.947393942,284.53714137,0.0116459180821
68000,173.55415973,245.008436852,0.0116459180821
69000,167.537535949,208.414284118,0.0116459180821
70000,183.570714619,238.457210771,0.0116459180821
71000,171.088976486,324.277748878,0.0116459180821
72000,177.246880931,247.300720219,0.0116459180821
73000,179.146896813,353.79998946,0.0116459180821
74000,191.437160344,232.736474008,0.0116459180821
75000,168.148069961,324.969429434,0.0116459180821
76000,207.91442846,287.589740047,0.0116459180821
77000,192.191246666,237.083232258,0.0116459180821
78000,174.778721669,257.961802491,0.0116459180821
79000,173.481694244,192.573693628,0.0116459180821
80000,158.532009932,352.192943676,0.0116459180821
81000,173.215186842,228.968997927,0.0116459180821
82000,173.086590923,272.55805556,0.0116459180821
83000,161.656456847,317.471740212,0.0116459180821
84000,167.300298284,381.104440595,0.0116459180821
85000,164.390810984,309.987653004,0.0116459180821
86000,177.217475147,328.466948804,0.0116459180821
87000,164.185481457,165.740235499,0.0116459180821
88000,178.113207486,179.333820361,0.0116459180821
89000,161.236506387,374.485862101,0.0116459180821
