#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,64.8996301894,307.505770308,0.0274407089172
2000,71.83796184,299.716517945,0.0274407089172
3000,77.4023092132,296.438624952,0.0274407089172
4000,72.7953140998,287.560847634,0.0274407089172
5000,77.9782696208,325.44696833,0.0274407089172
6000,55.5504802812,322.698437481,0.0274407089172
7000,76.5946281181,275.915720553,0.0274407089172
8000,69.0375162091,275.204696276,0.0274407089172
9000,96.4977445301,249.896445584,0.0274407089172
10000,91.2434896823,275.137055209,0.0274407089172
11000,98.8662337594,280.457153429,0.0274407089172
12000,107.184868158,256.202734837,0.0274407089172
13000,40.7620253886,481.554336872,0.0274407089172
14000,62.1516960724,289.193792634,0.0274407089172
15000,69.8757274998,307.799024035,0.0274407089172
16000,81.3733516426,288.395108641,0.0274407089172
17000,119.550173224,247.438255466,0.0274407089172
18000,77.8053142405,277.447831436,0.0274407089172
19000,90.3493425659,294.631625793,0.0274407089172
20000,67.3697980459,285.225846355,0.0274407089172
21000,105.572744489,243.505047694,0.0274407089172
22000,59.9564565576,243.549735176,0.0274407089172
23000,78.7026993911,256.93036588,0.0274407089172
24000,88.6899232076,246.471057505,0.0274407089172
25000,75.2869355136,258.508590439,0.0274407089172
26000,88.0572029574,317.138460623,0.0274407089172
27000,90.9113373808,242.711759001,0.0274407089172
28000,86.126517274,214.628596222,0.0274407089172
29000,80.7545127322,296.341538508,0.0274407089172
30000,86.0332330834,449.407632623,0.0274407089172
31000,97.205874124,313.318197082,0.0274407089172
32000,76.3148690692,287.035880224,0.0274407089172
33000,121.633487063,317.694134342,0.0274407089172
34000,96.4277006848,319.012188306,0.0274407089172
35000,75.5114057382,296.678432533,0.0274407089172
36000,75.6699922795,283.297603225,0.0274407089172
37000,91.3879437066,243.606004836,0.0274407089172
38000,42.0480586806,291.758823614,0.0274407089172
39000,70.5098638378,326.165282547,0.0274407089172
40000,76.3581542784,361.920801988,0.0274407089172
41000,77.6494580723,325.02667972,0.0274407089172
42000,90.0720405949,304.206129487,0.0274407089172
43000,59.8846308259,235.97952384,0.0274407089172
44000,83.8219399872,304.550333363,0.0274407089172
45000,78.5409448956,296.188198773,0.0274407089172
46000,102.197766241,352.945836222,0.0274407089172
47000,86.253301823,217.794202767,0.0274407089172
48000,45.2690177052,372.661072666,0.0274407089172
49000,62.7128934947,352.243161484,0.0274407089172
50000,90.2209924825,365.098386095,0.0274407089172
51000,72.0368181121,321.853912467,0.0274407089172
