#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,219.97255199,442.930546935,0.0116459180821
2000,178.639808482,329.159434386,0.0116459180821
3000,196.12348417,288.957132622,0.0116459180821
4000,203.011894602,236.938793174,0.0116459180821
5000,187.128051814,373.93304951,0.0116459180821
6000,191.379098125,292.590511813,0.0116459180821
7000,179.539122567,428.126771423,0.0116459180821
8000,185.313258243,313.496515835,0.0116459180821
9000,212.091562327,355.961652679,0.0116459180821
10000,197.176584856,312.747521878,0.0116459180821
11000,189.107296249,283.462142652,0.0116459180821
12000,218.439871457,302.223155957,0.0116459180821
13000,190.73057324,153.930509574,0.0116459180821
14000,201.835172731,347.891365978,0.0116459180821
15000,217.120389533,238.061369704,0.0116459180821
16000,211.463499543,244.067383834,0.0116459180821
17000,189.783775377,180.930088602,0.0116459180821
18000,182.478073412,169.205228069,0.0116459180821
19000,193.97417578,366.416416221,0.0116459180821
20000,191.951121328,319.149436316,0.0116459180821
21000,193.867025573,384.34475092,0.0116459180821
22000,181.914491288,248.907816698,0.0116459180821
23000,188.909766599,316.226099676,0.0116459180821
24000,210.799221128,488.24433929,0.0116459180821
25000,203.679460351,202.319944196,0.0116459180821
26000,184.296486959,228.537886536,0.0116459180821
27000,199.023952999,239.478903612,0.0116459180821
28000,194.229681652,288.850339936,0.0116459180821
29000,224.048755126,446.061538921,0.0116459180821
30000,189.134707627,408.035033093,0.0116459180821
31000,195.35313214,328.285835672,0.0116459180821
32000,211.751127687,379.875114469,0.0116459180821
33000,216.146706401,452.787787981,0.0116459180821
34000,199.353861727,306.662860487,0.0116459180821
35000,216.47368459,430.072438429,0.0116459180821
36000,209.071750243,483.985592461,0.0116459180821
37000,217.636911018,286.984814671,0.0116459180821
38000,192.626979567,326.409307352,0.0116459180821
39000,182.330172948,353.880961599,0.0116459180821
40000,197.902925259,187.063652205,0.0116459180821
41000,213.701445312,212.832011133,0.0116459180821
42000,175.909770813,155.616715077,0.0116459180821
43000,189.195439885,358.982611035,0.0116459180821
44000,210.358941231,328.604738572,0.0116459180821
45000,186.83279974,271.200860464,0.0116459180821
46000,182.907013145,235.876228444,0.0116459180821
47000,194.52340527,331.715041459,0.0116459180821
48000,180.008439115,319.073533373,0.0116459180821
49000,190.279913815,212.216284822,0.0116459180821
50000,187.558951239,222.580643383,0.0116459180821
51000,201.249902631,405.458382067,0.0116459180821
52000,189.289447486,400.824197904,0.0116459180821
53000,190.248566265,391.40431678,0.0116459180821
54000,200.73975126,316.921225914,0.0116459180821
55000,195.347047916,333.053196924,0.0116459180821
56000,205.773225375,267.114422573,0.0116459180821
57000,203.574573761,233.758289224,0.0116459180821
58000,198.205065428,245.522656027,0.0116459180821
59000,185.636516716,207.243426618,0.0116459180821
60000,192.635815051,197.445975644,0.0116459180821
61000,194.484250345,311.910390787,0.0116459180821
62000,214.567123136,241.4553646,0.0116459180821
63000,196.507319026,218.314614634,0.0116459180821
64000,202.662678757,307.873316716,0.0116459180821
65000,221.979512881,213.020409519,0.0116459180821
66000,188.484175762,390.413773097,0.0116459180821
67000,195.941655713,205.229987629,0.0116459180821
68000,210.930448244,205.761150118,0.0116459180821
69000,213.53019527,285.850861649,0.0116459180821
70000,197.46470631,284.523341148,0.0116459180821
71000,191.022732128,231.401035057,0.0116459180821
72000,190.364847639,398.837265995,0.0116459180821
73000,210.884092736,440.351176251,0.0116459180821
74000,197.303717129,241.304025294,0.0116459180821
75000,203.032530353,226.608719705,0.0116459180821
76000,189.864887759,303.850151275,0.0116459180821
77000,197.638539755,216.174708525,0.0116459180821
78000,199.869440464,259.584206157,0.0116459180821
79000,190.377656324,398.79304732,0.0116459180821
80000,218.373963755,240.598778212,0.0116459180821
81000,205.741843766,415.076300788,0.0116459180821
82000,186.536982364,409.633590536,0.0116459180821
83000,192.596570174,281.712548612,0.0116459180821
84000,195.753369097,284.167034907,0.0116459180821
85000,193.955005948,277.269494801,0.0116459180821
86000,182.573202806,335.247403086,0.0116459180821
87000,193.18451086,320.440956904,0.0116459180821
88000,199.273024354,366.95115051,0.0116459180821
89000,204.648584951,292.901970865,0.0116459180821
90000,190.436212995,239.860810881,0.0116459180821
91000,196.479155718,321.177769611,0.0116459180821
92000,197.630251937,335.303898879,0.0116459180821
93000,201.148163787,404.523847743,0.0116459180821
94000,194.099399324,244.868223149,0.0116459180821
95000,182.363048066,267.868851565,0.0116459180821
96000,178.048041738,287.323982998,0.0116459180821
97000,188.22176229,294.390023,0.0116459180821
98000,217.136476388,350.998702908,0.0116459180821
99000,199.907296717,364.557639418,0.0116459180821
100000,188.103671259,231.265767577,0.0116459180821
