;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.39857461446;[ 1.53853383];[ 0.16630093];[ 1.54147348];[ 1.39851905];[ 17.68237305];[-9.95460511];[ 0.04396499];[ 32.31146528];[ 0.04038681];[1114];[ 0.00031942];0.000146342159644;[ 0.00015921];[  8.73455599e-05];[ 0.00093357];0.00089458711833;[ 0.00093798];[ 0.00941667];[ 0.00808457];[ 0.12714624];[ 0.13286288];[ 0.25094989];[ 0.25516155];[ 0.0003114];0.00019469695127;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.3734]];Bond;['length'];10.0;[#6X4:1]-[#6X4:2];[ 0.00025735];[ 0.00017386];[ 0.00094505]
1;1.4143936857;[ 1.53854306];[ 0.15393198];[ 1.53985273];[ 1.41422269];[ 245.98399739];[-9.9636965];[ 0.02504172];[ 24.81762998];[ 0.03921703];[1114];[ 0.00032309];0.000335266183444;[ 0.00018661];[ 0.00010846];[ 0.00093801];0.000933261178563;[ 0.00095342];[ 0.00906358];[ 0.00051072];[ 0.1283103];[ 0.1297865];[ 0.22086817];[ 0.22608724];[ 0.00033592];0.000390948696049;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.38866]];Bond;['length'];9.0;[#6X4:1]-[#6X4:2];[ 0.00026965];[ 0.00020137];[ 0.00091549]
2;1.42749234952;[ 1.53849153];[ 0.21751254];[ 1.54027211];[ 1.42712419];[ 19.30846179];[-9.96525538];[ 0.03865455];[ 18.04955542];[ 0.11474986];[1114];[ 0.00033695];0.000255444205456;[ 0.00022976];[ 0.00010575];[ 0.00094827];0.000961634357964;[ 0.00091162];[ 0.00918127];[ 0.00586002];[ 0.11906138];[ 0.12440854];[ 0.19156002];[ 0.2106052];[ 0.00034145];0.000298239842423;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.40392]];Bond;['length'];8.0;[#6X4:1]-[#6X4:2];[ 0.00031818];[ 0.00018785];[ 0.00098558]
3;1.44003403074;[ 1.53854212];[ 0.16080486];[ 1.53944738];[ 1.44036598];[ 38.84448746];[-9.97595023];[ 0.11964194];[ 12.02327666];[ 0.10196192];[1114];[ 0.00053587];0.000395108774307;[ 0.00039818];[ 0.00015194];[ 0.0009225];0.000985811502084;[ 0.00091849];[ 0.00878319];[ 0.00255072];[ 0.12119654];[ 0.12958503];[ 0.19738422];[ 0.19184733];[ 0.00055368];0.000398206170302;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.41918]];Bond;['length'];7.0;[#6X4:1]-[#6X4:2];[ 0.00047564];[ 0.00022216];[ 0.00096053]
4;1.45294231223;[ 1.53849086];[ 0.20567047];[ 1.54101113];[ 1.45257845];[ 5.64208669];[-9.97379];[ 0.11057226];[ 6.72822933];[ 0.03203384];[1114];[ 0.00047558];0.000308754060282;[ 0.0005061];[ 0.00015373];[ 0.00094166];0.00099017865677;[ 0.00096736];[ 0.00852221];[ 0.01567375];[ 0.1291636];[ 0.12067745];[ 0.19373424];[ 0.17523499];[ 0.00047098];0.000356397975308;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.43444]];Bond;['length'];6.0;[#6X4:1]-[#6X4:2];[ 0.00058587];[ 0.00022556];[ 0.00101143]
5;1.46803489425;[ 1.53841339];[ 0.30013257];[ 1.54123677];[ 1.46808046];[ 7.03067827];[-9.97483338];[ 0.1148567];[ 2.13293119];[ 0.08359624];[1114];[ 0.00052455];0.000287217637631;[ 0.00071445];[ 0.00016426];[ 0.00092681];0.000984852845374;[ 0.00092102];[ 0.00803933];[ 0.0104053];[ 0.11862124];[ 0.12526006];[ 0.16013064];[ 0.16515285];[ 0.00052252];0.000362701006303;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.4497]];Bond;['length'];5.0;[#6X4:1]-[#6X4:2];[ 0.00078788];[ 0.00022895];[ 0.00105374]
6;1.4802355983;[ 1.53854939];[ 0.15328682];[ 1.54218613];[ 1.48140714];[ 18.90089797];[-9.97063546];[ 0.07708515];[-1.72331293];[ 0.03066575];[1114];[ 0.00065699];0.000148115965378;[ 0.00088688];[ 0.00018976];[ 0.00099236];0.000974966535169;[ 0.00091611];[ 0.0095199];[ 0.00321567];[ 0.12355136];[ 0.13217898];[ 0.15276649];[ 0.15764844];[ 0.00073443];0.000149809774272;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.46496]];Bond;['length'];4.0;[#6X4:1]-[#6X4:2];[ 0.00098822];[ 0.00023622];[ 0.0010196]
7;1.49568388179;[ 1.53840924];[ 0.29991429];[ 1.54375013];[ 1.49539297];[ 6.21086769];[-9.95331029];[ 0.05358358];[-4.85772971];[ 0.02712026];[1114];[ 0.00061116];0.000268103345912;[ 0.00091832];[ 0.00038267];[ 0.00098536];0.000944090199955;[ 0.00093552];[ 0.00812168];[ 0.00778589];[ 0.13173983];[ 0.1331776];[ 0.15051565];[ 0.1502613];[ 0.00059025];0.000275195055215;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.48022]];Bond;['length'];3.0;[#6X4:1]-[#6X4:2];[ 0.0010108];[ 0.00042206];[ 0.00098545]
8;1.51271799092;[ 1.53857038];[ 0.12666568];[ 1.54323318];[ 1.51245342];[ 5.98525525];[-9.94985393];[ 0.08332238];[-7.27695739];[ 0.04726245];[1114];[ 0.00051967];0.000198343997537;[ 0.00085409];[ 0.00070567];[ 0.00093078];0.000948738284298;[ 0.00094292];[ 0.00741463];[ 0.0051426];[ 0.13818241];[ 0.12712662];[ 0.14119775];[ 0.13296392];[ 0.00053864];0.000198202633317;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.49548]];Bond;['length'];2.0;[#6X4:1]-[#6X4:2];[ 0.0009306];[ 0.00072303];[ 0.00096997]
9;1.52382029534;[ 1.53851769];[ 0.18938298];[ 1.54151126];[ 1.52414305];[ 7.3233498];[-9.94853432];[ 0.09491003];[-8.9692243];[ 0.10523695];[1114];[ 0.00036869];8.89318105015e-05;[ 0.00077421];[ 0.00100962];[ 0.00091275];0.000986382573281;[ 0.00090889];[ 0.00625831];[ 0.00237162];[ 0.13884072];[ 0.12550945];[ 0.14139871];[ 0.12889478];[ 0.00038599];8.99137477535e-05;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.51074]];Bond;['length'];1.0;[#6X4:1]-[#6X4:2];[ 0.00082153];[ 0.00101461];[ 0.0010093]
10;1.54035564204;[ 1.53845445];[ 0.24978262];[ 1.53712952];[ 1.53939262];[ 0.5391222];[-9.96212612];[ 0.01278559];[-9.96212612];[ 0.01278559];[1114];[ 0.00036661];4.15727327303e-05;[ 0.00073591];[ 0.00098371];[ 0.0008297];0.000889424484654;[ 0.00094229];[ 0.00753317];[ 0.00419774];[ 0.1276024];[ 0.1313741];[ 0.1276024];[ 0.1313741];[ 0.00043546];4.16829189957e-05;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.526]];Bond;['length'];-2.910152096e-14;[#6X4:1]-[#6X4:2];[ 0.000795];[ 0.00098652];[ 0.00102409]
11;1.5523817501;[ 1.53845191];[ 0.25073961];[ 1.53586778];[ 1.55226861];[ 2.62270746];[-9.9500195];[ 0.07781714];[-10.20051988];[ 0.11702662];[1107];[ 0.0003119];7.62640286823e-05;[ 0.00056805];[ 0.00100361];[ 0.00093271];0.000913623975407;[ 0.00094881];[ 0.00846074];[ 0.0062534];[ 0.12810189];[ 0.13399266];[ 0.12928598];[ 0.13411155];[ 0.00042269];7.7421392358e-05;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.54126]];Bond;['length'];-1.0;[#6X4:1]-[#6X4:2];[ 0.0006455];[ 0.00100977];[ 0.00100096]
12;1.56717093529;[ 1.53847578];[ 0.22783882];[ 1.53143357];[ 1.56748362];[ 7.00251962];[-9.95075229];[ 0.07761639];[-9.7422921];[ 0.0607065];[1114];[ 0.00023056];0.000160044181911;[ 0.00055175];[ 0.00101908];[ 0.00087221];0.000899899280358;[ 0.00093944];[ 0.00919425];[ 0.00514815];[ 0.13019376];[ 0.12489802];[ 0.12943882];[ 0.12850218];[ 0.00038254];0.000161055341617;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.55652]];Bond;['length'];-2.0;[#6X4:1]-[#6X4:2];[ 0.00068627];[ 0.00104391];[ 0.00095516]
13;1.58236751695;[ 1.53841811];[ 0.29631255];[ 1.5290168];[ 1.58249906];[ 16.08274186];[-9.96917469];[ 0.06656817];[-8.57477481];[ 0.09073684];[1114];[ 0.0001841];0.0002146203056;[ 0.00047609];[ 0.00092155];[ 0.00095057];0.000899780451318;[ 0.00091698];[ 0.0086606];[ 0.00332544];[ 0.13249846];[ 0.13111777];[ 0.14127293];[ 0.13988636];[ 0.00033967];0.000214536013116;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.57178]];Bond;['length'];-3.0;[#6X4:1]-[#6X4:2];[ 0.00064014];[ 0.00094945];[ 0.00092438]
14;1.59535974844;[ 1.53865377];[ 0.03809949];[ 1.52415334];[ 1.59554739];[ 12.50273551];[-9.97179486];[ 0.08560913];[-6.67162766];[ 0.12821962];[1114];[ 0.00023419];0.000266731787028;[ 0.00043567];[ 0.00075798];[ 0.00091464];0.00106847299082;[ 0.00094619];[ 0.00687111];[ 0.00571027];[ 0.13051525];[ 0.13256101];[ 0.14526772];[ 0.15166395];[ 0.00035145];0.000261650662785;['Mol2_files/AlkEthOH_c100.mol2'];[[ 1.58704]];Bond;['length'];-4.0;[#6X4:1]-[#6X4:2];[ 0.00069318];[ 0.00080387];[ 0.0010523]
