;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.09280558666;[ 1.09211106];[ 0.49819283];[ 1.0783061];[ 1.09301674];[ 3.73335957];[ 12.89716538];[ 0.06193134];[ 12.59569677];[ 0.06556294];[1143];[ 0.00018711];4.71750354667e-05;[ 0.00097009];[ 0.00119151];[ 0.00108489];0.00112092039263;[ 0.00103022];[ 0.00856221];[ 0.00394032];[ 0.08618563];[ 0.0889004];[ 0.08434548];[ 0.0869139];[ 0.00019396];5.16187653884e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[630]];Bond;['k'];7.35294117647;[#6X4:1]-[#1:2];[ 0.00123258];[ 0.00138632];[ 0.00131463]
1;1.09280091126;[ 1.09211893];[ 0.51878043];[ 1.07711827];[ 1.0928205];[ 4.64871175];[ 12.88295477];[ 0.10246397];[ 12.61184412];[ 0.09985505];[1144];[ 0.00020033];5.18548303392e-05;[ 0.00095653];[ 0.00119374];[ 0.00115808];0.000984968615516;[ 0.00100452];[ 0.00905613];[ 0.00337776];[ 0.08857801];[ 0.08495559];[ 0.08671764];[ 0.08332515];[ 0.0001762];5.9875268959e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[635]];Bond;['k'];6.61764705882;[#6X4:1]-[#1:2];[ 0.00126084];[ 0.00141851];[ 0.00124164]
2;1.09451824372;[ 1.09210825];[ 0.49897673];[ 1.07717856];[ 1.0947468];[ 1.99344377];[ 12.88892722];[ 0.03178214];[ 12.64766386];[ 0.03155716];[1144];[ 0.00018097];5.24176506834e-05;[ 0.00095158];[ 0.00118969];[ 0.00099588];0.00100617508084;[ 0.00102297];[ 0.00821831];[ 0.00881301];[ 0.08565024];[ 0.08597401];[ 0.08452416];[ 0.08450777];[ 0.00018317];6.45065455348e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[640]];Bond;['k'];5.88235294118;[#6X4:1]-[#1:2];[ 0.0012409];[ 0.00141383];[ 0.00131034]
3;1.09235152955;[ 1.09206851];[ 0.46090582];[ 1.07816329];[ 1.09268248];[ 3.49598793];[ 12.89476785];[ 0.03620688];[ 12.68375172];[ 0.0384581];[1145];[ 0.00019348];5.23692679532e-05;[ 0.00098931];[ 0.00119298];[ 0.00090034];0.00109069247601;[ 0.00102125];[ 0.00854046];[ 0.0041531];[ 0.094859];[ 0.08584555];[ 0.09375032];[ 0.08463543];[ 0.0001791];5.86065940511e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[645]];Bond;['k'];5.14705882353;[#6X4:1]-[#1:2];[ 0.00125432];[ 0.00138488];[ 0.0011851]
4;1.09496454257;[ 1.09206218];[ 0.46083834];[ 1.07811262];[ 1.09473652];[ 5.0979527];[ 12.88580218];[ 0.06838152];[ 12.70483268];[ 0.06891313];[1145];[ 0.0001841];5.56497596164e-05;[ 0.00098465];[ 0.00119741];[ 0.00100585];0.00101245079942;[ 0.00100767];[ 0.00813998];[ 0.0032609];[ 0.08263649];[ 0.0856587];[ 0.08149613];[ 0.0846028];[ 0.00018246];5.98089458482e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[650]];Bond;['k'];4.41176470588;[#6X4:1]-[#1:2];[ 0.00124474];[ 0.00139414];[ 0.00113581]
5;1.09385229677;[ 1.0920201];[ 0.41178842];[ 1.07789244];[ 1.09418742];[ 3.99157606];[ 12.88539039];[ 0.0708096];[ 12.73499302];[ 0.06658693];[1145];[ 0.00019092];5.05998595019e-05;[ 0.00097859];[ 0.00119837];[ 0.00104177];0.00109719049964;[ 0.0010255];[ 0.00843097];[ 0.00408234];[ 0.09238349];[ 0.0885369];[ 0.09137848];[ 0.08764516];[ 0.00016367];5.99879308344e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[655]];Bond;['k'];3.67647058824;[#6X4:1]-[#1:2];[ 0.00124754];[ 0.00140072];[ 0.00117129]
6;1.09308801691;[ 1.09202204];[ 0.42157881];[ 1.07929409];[ 1.09251129];[ 1.48000842];[ 12.88334831];[ 0.09879222];[ 12.76284027];[ 0.09780878];[1146];[ 0.00017151];4.62580072358e-05;[ 0.0009843];[ 0.00119669];[ 0.00107019];0.000948900956417;[ 0.00100629];[ 0.00849136];[ 0.00893049];[ 0.08965123];[ 0.08412959];[ 0.08879411];[ 0.08337594];[ 0.00017446];5.06424779369e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[660]];Bond;['k'];2.94117647059;[#6X4:1]-[#1:2];[ 0.00121854];[ 0.00135936];[ 0.00115955]
7;1.09336923843;[ 1.09201201];[ 0.40881882];[ 1.07802827];[ 1.09322761];[ 2.49772506];[ 12.88327551];[ 0.10071553];[ 12.79285645];[ 0.10044885];[1146];[ 0.00019692];4.75593306242e-05;[ 0.00096981];[ 0.00119759];[ 0.00099085];0.00107960229487;[ 0.00101315];[ 0.00867618];[ 0.00608527];[ 0.08337023];[ 0.08324583];[ 0.08277087];[ 0.08267728];[ 0.00019195];5.61791978082e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[665]];Bond;['k'];2.20588235294;[#6X4:1]-[#1:2];[ 0.00124107];[ 0.00139425];[ 0.00113869]
8;1.09357207753;[ 1.09210627];[ 0.51871383];[ 1.07825737];[ 1.09278458];[ 3.85622875];[ 12.88169659];[ 0.11667721];[ 12.8213695];[ 0.11712088];[1147];[ 0.00020508];4.71852075913e-05;[ 0.00099396];[ 0.00120469];[ 0.00092916];0.0010772298581;[ 0.00098023];[ 0.00820058];[ 0.00376721];[ 0.08124175];[ 0.08538995];[ 0.08087581];[ 0.0850225];[ 0.00017125];5.37339376291e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[670]];Bond;['k'];1.47058823529;[#6X4:1]-[#1:2];[ 0.00125193];[ 0.00139714];[ 0.00120502]
9;1.09331456213;[ 1.09201352];[ 0.39429025];[ 1.07896657];[ 1.09331615];[ 4.21170137];[ 12.90028991];[ 0.09400494];[ 12.87011758];[ 0.09412752];[1147];[ 0.00019364];4.91938193579e-05;[ 0.00100317];[ 0.00120727];[ 0.00096124];0.00105076279409;[ 0.00105431];[ 0.00848097];[ 0.00340707];[ 0.08569966];[ 0.09180644];[ 0.08545848];[ 0.09162084];[ 0.00016638];5.73207060348e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[675]];Bond;['k'];0.735294117647;[#6X4:1]-[#1:2];[ 0.00124607];[ 0.00137859];[ 0.00122466]
10;1.09208790985;[ 1.09208815];[ 0.49104981];[ 1.07902596];[ 1.09159781];[ 1.53728575];[ 12.89697737];[ 0.06093658];[ 12.89697737];[ 0.06093658];[1147];[ 0.0001886];4.92683849114e-05;[ 0.00098623];[ 0.00120523];[ 0.0010435];0.00104091028135;[ 0.00099855];[ 0.00825197];[ 0.00817795];[ 0.08415295];[ 0.08726641];[ 0.08415295];[ 0.08726641];[ 0.00018875];5.62258388547e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[680]];Bond;['k'];0.0;[#6X4:1]-[#1:2];[ 0.00122342];[ 0.00137612];[ 0.00120318]
11;1.09419975147;[ 1.09197142];[ 0.36948688];[ 1.07976883];[ 1.09419651];[ 1.71171066];[ 12.89130591];[ 0.004018];[ 12.92149491];[ 0.00375064];[1147];[ 0.00020081];5.01089666954e-05;[ 0.00101713];[ 0.0012098];[ 0.0010742];0.000895871808394;[ 0.00101116];[ 0.00799569];[ 0.00842881];[ 0.08422628];[ 0.08803915];[ 0.08443044];[ 0.08821621];[ 0.00019405];5.78133401709e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[685]];Bond;['k'];-0.735294117647;[#6X4:1]-[#1:2];[ 0.00122836];[ 0.00135979];[ 0.0011565]
12;1.09081945702;[ 1.09200709];[ 0.40042964];[ 1.07936602];[ 1.09109824];[ 1.80643171];[ 12.88536609];[ 0.06965653];[ 12.94568438];[ 0.06951677];[1147];[ 0.00018288];4.92544335717e-05;[ 0.0010087];[ 0.00119993];[ 0.00111675];0.00102498609096;[ 0.00102211];[ 0.00838681];[ 0.00649469];[ 0.09043448];[ 0.09035141];[ 0.09085655];[ 0.09073372];[ 0.00018127];5.37419763492e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[690]];Bond;['k'];-1.47058823529;[#6X4:1]-[#1:2];[ 0.00123693];[ 0.00136073];[ 0.00111819]
13;1.09462805307;[ 1.0922279];[ 0.61721858];[ 1.07934627];[ 1.09352704];[ 3.66657004];[ 12.89685693];[ 0.05985861];[ 12.9873901];[ 0.05986959];[1147];[ 0.00018443];5.31172161637e-05;[ 0.00098757];[ 0.00121421];[ 0.00108557];0.00103539803482;[ 0.00102084];[ 0.0086044];[ 0.00386759];[ 0.0872844];[ 0.08682579];[ 0.08791924];[ 0.08739135];[ 0.00018234];5.67901409752e-05;['Mol2_files/AlkEthOH_c1266.mol2'];[[695]];Bond;['k'];-2.20588235294;[#6X4:1]-[#1:2];[ 0.00122487];[ 0.0013743];[ 0.00123546]
