;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.53188124661;[ 1.53030716];[ 0.82708875];[ 1.53522179];[ 1.53159684];[ 0.46559056];[ 12.89647209];[ 0.05455023];[ 12.68563028];[ 1.74225568];[1144];[ 0.00034851];4.30164202799e-05;[ 0.00113253];[ 0.00113253];[ 0.00086553];0.00101801226916;[ 0.00097129];[ 0.00778572];[ 0.00778572];[ 0.08584386];[ 0.0882202];[ 0.08551364];[ 0.08785305];[ 0.00032343];[  4.51549390e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[570]];Bond;['k'];8.06451612903;[#6X4:1]-[#6X4:2];[ 0.00118488];[ 0.00110632];[ 0.00111589]
1;1.53046503935;[ 1.53036114];[ 0.85273623];[ 1.5366693];[ 1.53032903];[ 1.04584906];[ 12.88721722];[ 0.0496381];[ 13.00290903];[ 1.7844566];[1144];[ 0.00031662];3.98444703513e-05;[ 0.00135037];[ 0.00135037];[ 0.00086506];0.00085485049499;[ 0.00100539];[ 0.00606232];[ 0.00606232];[ 0.09479793];[ 0.08949655];[ 0.09434386];[ 0.08905769];[ 0.00033674];[  4.48486385e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[575]];Bond;['k'];7.25806451613;[#6X4:1]-[#6X4:2];[ 0.00139506];[ 0.0011007];[ 0.00100684]
2;1.53180086406;[ 1.53022118];[ 0.78416338];[ 1.54625842];[ 1.53092176];[ 3.23169986];[ 12.88351132];[ 0.09450202];[ 12.82138752];[ 0.32486812];[1145];[ 0.00032965];4.34754714018e-05;[ 0.00069625];[ 0.00069625];[ 0.00097642];0.000972092249835;[ 0.00091482];[ 0.00474569];[ 0.00474569];[ 0.08158427];[ 0.08622396];[ 0.08138872];[ 0.08587676];[ 0.00026701];[  5.07094558e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[580]];Bond;['k'];6.45161290323;[#6X4:1]-[#6X4:2];[ 0.00095088];[ 0.00124182];[ 0.00114695]
3;1.53003949991;[ 1.53019781];[ 0.71976873];[ 1.53881963];[ 1.5304833];[ 1.02894962];[ 12.89831732];[ 0.07732525];[ 12.67991126];[ 2.03646451];[1145];[ 0.00033445];3.94113834159e-05;[ 0.00127299];[ 0.00127299];[ 0.0009014];0.000915465649261;[ 0.00096419];[ 0.00810179];[ 0.00810179];[ 0.09344693];[ 0.08609947];[ 0.09322136];[ 0.08577197];[ 0.00046609];[  5.11222875e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[585]];Bond;['k'];5.64516129032;[#6X4:1]-[#6X4:2];[ 0.00133101];[ 0.00125996];[ 0.00101122]
4;1.530100133;[ 1.53024109];[ 0.77891953];[ 1.53656101];[ 1.52995463];[ 0.96174633];[ 12.89069831];[ 0.01099815];[ 12.9332155];[ 0.8413146];[1145];[ 0.00034057];4.47758471082e-05;[ 0.00124235];[ 0.00124235];[ 0.00099196];0.00094222124631;[ 0.00094654];[ 0.00686915];[ 0.00686915];[ 0.08695355];[ 0.08740938];[ 0.08678795];[ 0.08716832];[ 0.00041927];[  5.03883991e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[590]];Bond;['k'];4.83870967742;[#6X4:1]-[#6X4:2];[ 0.00129302];[ 0.00122129];[ 0.00104245]
5;1.52995006764;[ 1.53023504];[ 0.75242048];[ 1.54884963];[ 1.5302961];[ 5.22088033];[ 12.89281087];[ 0.01267455];[ 12.90149469];[ 0.40077929];[1146];[ 0.00029937];4.64694321966e-05;[ 0.00070065];[ 0.00070065];[ 0.00102652];0.00090874990673;[ 0.00097183];[ 0.00355372];[ 0.00355372];[ 0.07934713];[ 0.09082913];[ 0.07914022];[ 0.09061965];[ 0.00024064];[  5.46099836e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[595]];Bond;['k'];4.03225806452;[#6X4:1]-[#6X4:2];[ 0.00104193];[ 0.00137104];[ 0.00106172]
6;1.53062720213;[ 1.53015584];[ 0.70001034];[ 1.54431194];[ 1.53075142];[ 3.35603576];[ 12.88892796];[ 0.03070278];[ 12.86566633];[ 0.05410061];[1146];[ 0.0003224];4.14041843187e-05;[ 0.00047582];[ 0.00047582];[ 0.00097322];0.00102680449776;[ 0.00093146];[ 0.00404064];[ 0.00404064];[ 0.08795453];[ 0.08897213];[ 0.08777454];[ 0.088845];[  6.14157491e-05];[  4.69395100e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#6X4:2];[ 0.00069634];[ 0.00118536];[ 0.00104161]
7;1.52942659372;[ 1.53028871];[ 0.83493699];[ 1.54669718];[ 1.52901575];[ 3.05798512];[ 12.89412211];[ 0.02937506];[ 12.84442918];[ 0.37434906];[1146];[ 0.00033648];4.09097623899e-05;[ 0.00097444];[ 0.00097444];[ 0.00091951];0.000929582146154;[ 0.00094007];[ 0.00578205];[ 0.00578205];[ 0.08662379];[ 0.08382799];[ 0.08654796];[ 0.08371974];[ 0.00038913];[  5.13660547e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[605]];Bond;['k'];2.41935483871;[#6X4:1]-[#6X4:2];[ 0.00121722];[ 0.00128842];[ 0.00101964]
8;1.52998747854;[ 1.53020446];[ 0.75203963];[ 1.54578251];[ 1.52960778];[ 3.39438631];[ 12.8851481];[ 0.07353469];[ 12.93604526];[ 0.62149622];[1147];[ 0.00033496];4.26206334183e-05;[ 0.00072826];[ 0.00072826];[ 0.00097201];0.000908628271633;[ 0.00093167];[ 0.00476514];[ 0.00476514];[ 0.09029336];[ 0.08855078];[ 0.09022626];[ 0.08846229];[ 0.00026324];[  5.39682923e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[610]];Bond;['k'];1.61290322581;[#6X4:1]-[#6X4:2];[ 0.00097881];[ 0.00133376];[ 0.00102862]
9;1.52968089142;[ 1.53021196];[ 0.74943167];[ 1.54391634];[ 1.5303652];[ 2.15683302];[ 12.89574868];[ 0.04508995];[ 12.89010295];[ 0.04126414];[1147];[ 0.00034548];4.3683016725e-05;[ 0.00118574];[ 0.00118574];[ 0.00101814];0.000955942397597;[ 0.00094491];[ 0.00628289];[ 0.00628289];[ 0.09104908];[ 0.09068591];[ 0.09100635];[ 0.0906353];[ 0.00039945];[  4.73663518e-05];['Mol2_files/AlkEthOH_c1266.mol2'];[[615]];Bond;['k'];0.806451612903;[#6X4:1]-[#6X4:2];[ 0.00140768];[ 0.0012121];[ 0.00101484]
