;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.22117480529;[ 1.50837432];[ 11.92511382];[ 1.48786099];[ 1.24284544];[ 2193.83638659];[ 21.14443727];[ 0.07725831];[ 199.12582363];[ 0.05511658];[8000];[ 0.00348239];0.0694620173919;[ 0.00038381];[-0.04650696];[ 0.00232964];0.00181322854899;[ 0.00223909];[ 0.02628625];[ 0.00011168];[ 0.04729128];[ 0.04572334];[ 0.16349891];[ 0.16373718];[ 0.00377432];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.2]];Bond;['length'];21.3630406291;[#6X4:1]-[#6X4:2];[ 0.00151142];[  8.85158680e-06];[ 0.00093773]
1;1.19412855471;[ 1.45083718];[ 21.45357182];[ 1.49308782];[ 1.26346422];[ 47.8586623];[ 21.14643346];[ 0.03387871];[ 173.81255161];[ 0.04936298];[8000];[ 0.00209543];0.0733639684442;[ 0.00023917];[ 0.15169834];[ 0.00404869];0.00331329600307;[ 0.00392655];[ 0.02378073];[ 0.00479795];[ 0.04214546];[ 0.04534781];[ 0.13786791];[ 0.15029404];[ 0.00246992];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.225]];Bond;['length'];19.7247706422;[#6X4:1]-[#6X4:2];[ 0.00258723];[ 0.00047186];[ 0.00093724]
2;1.25345418365;[ 1.49775128];[ 13.13762777];[ 1.49427705];[ 1.28471195];[ 2486130.0993684];[ 21.14843021];[ 0.01022615];[ 150.41666333];[ 0.10159679];[8000];[ 0.00428638];0.072354915564;[ 0.00038856];[-0.0511562];[ 0.00272953];0.00225864330977;[ 0.00284103];[ 0.02357662];[  8.42936970e-08];[ 0.04267261];[ 0.04502514];[ 0.13550902];[ 0.1407817];[ 0.00436871];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.25]];Bond;['length'];18.0865006553;[#6X4:1]-[#6X4:2];[ 0.0009652];[ 0.00025527];[ 0.00094354]
3;1.30656548909;[ 1.53508711];[ 0.03210444];[ 1.49045301];[ 1.30653794];[ 870560.96677626];[ 21.15220339];[ 0.09445951];[ 129.00927285];[ 0.11696431];[8000];[ 0.00019078];0.0710884934261;[  5.98931810e-05];[-0.05656283];[ 0.00035113];0.000344256603746;[ 0.00035455];[ 0.02504685];[  2.11260421e-07];[ 0.04742027];[ 0.04481928];[ 0.12750503];[ 0.12801258];[ 0.00275657];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.275]];Bond;['length'];16.4482306684;[#6X4:1]-[#6X4:2];[ 0.00267872];[ 0.00072239];[ 0.00095674]
4;1.32847206448;[ 1.53508975];[ 0.03942457];[ 1.4918843];[ 1.32845744];[ 758.96907968];[ 21.14818602];[ 0.00473351];[ 109.49956401];[ 0.03735143];[8000];[ 0.00020157];0.073575482514;[  8.16238515e-05];[-0.05596146];[ 0.00034288];0.000356226868029;[ 0.00035561];[ 0.0246125];[ 0.00021533];[ 0.04608319];[ 0.04568198];[ 0.11298889];[ 0.11861439];[ 0.00272041];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.3]];Bond;['length'];14.8099606815;[#6X4:1]-[#6X4:2];[ 0.00255275];[ 0.00076161];[ 0.00097427]
5;1.23981403579;[ 1.4100758];[ 26.62427718];[ 1.49013863];[ 1.34979125];[ 4994.97134981];[ 21.1502034];[ 0.04932895];[ 91.93328825];[ 0.00167481];[8000];[ 0.00097865];0.0734875378977;[ 0.00028501];[ 0.09742063];[ 0.00423631];0.00369394070993;[ 0.00469496];[ 0.02465763];[  2.80977348e-05];[ 0.046444];[ 0.04528005];[ 0.10756195];[ 0.10687353];[ 0.00350897];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.325]];Bond;['length'];13.1716906946;[#6X4:1]-[#6X4:2];[ 0.00730482];[ 0.00181156];[ 0.00096299]
6;1.3169176963;[ 1.47299473];[ 17.94048404];[ 1.49031012];[ 1.37237461];[ 1764.57881069];[ 21.1488574];[ 0.01973492];[ 76.31067202];[ 0.01427807];[8000];[ 0.00234735];0.0678557114831;[ 0.00039075];[ 0.10285243];[ 0.00337372];0.00300857587114;[ 0.00346039];[ 0.02434221];[  6.68349356e-05];[ 0.04478752];[ 0.04497688];[ 0.08695392];[ 0.09603026];[ 0.00230436];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.35]];Bond;['length'];11.5334207077;[#6X4:1]-[#6X4:2];[ 0.00128732];[ 0.00028051];[ 0.00100422]
7;1.39483046568;[ 1.53506254];[ 0.03652218];[ 1.49196148];[ 1.39481633];[ 114.93277485];[ 21.14715906];[ 0.01787426];[ 62.62463045];[ 0.02280064];[8000];[ 0.00026589];0.0634655294961;[ 0.00010941];[ 0.1005381];[ 0.00035854];0.000341964594234;[ 0.00036097];[ 0.02319202];[ 0.00084523];[ 0.04539978];[ 0.04535686];[ 0.08575913];[ 0.08753745];[ 0.00248976];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.375]];Bond;['length'];9.89515072084;[#6X4:1]-[#6X4:2];[ 0.00250465];[ 0.00634701];[ 0.00096401]
8;1.41253899114;[ 1.52956821];[ 4.76654787];[ 1.49071591];[ 1.41762167];[ 65.04176165];[ 21.14887582];[ 0.02022026];[ 50.87751047];[ 0.05313657];[8000];[ 0.00027928];0.0629274771857;[ 0.0001655];[-0.05707683];[ 0.00114531];0.00108022930938;[ 0.00115545];[ 0.0224381];[ 0.0011238];[ 0.04092765];[ 0.04480865];[ 0.0744598];[ 0.07607336];[ 0.0021581];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.4]];Bond;['length'];8.25688073395;[#6X4:1]-[#6X4:2];[ 0.0021819];[ 0.00053487];[ 0.00094078]
9;1.44120569992;[ 1.53511106];[ 0.10101296];[ 1.49527566];[ 1.44117719];[ 21.14137397];[ 21.14516083];[ 0.06273591];[ 41.05757214];[ 0.06242597];[8000];[ 0.00026816];0.0632593701679;[ 0.00019842];[-0.06423612];[ 0.00035111];0.000341324864937;[ 0.00034976];[ 0.01922239];[ 0.00255889];[ 0.04746834];[ 0.04477418];[ 0.06965564];[ 0.06775537];[ 0.00205711];0.0;['molecules/AlkEthOH_c581.mol2'];[[ 1.425]];Bond;['length'];6.61861074705;[#6X4:1]-[#6X4:2];[ 0.00215454];[ 0.00090785];[ 0.00099301]
