;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.14118531385;[ 1.40755554];[ 25.35181552];[ 1.43847574];[ 1.23560373];[ 22.63099245];[ 61.33233975];[ 0.03724595];[ 126.8799728];[ 0.03487777];[8000];[ 0.00072572];0.0187737301087;[ 0.00037972];[-0.16434624];[ 0.00457621];0.00372415228074;[ 0.00459458];[ 0.00786851];[ 0.00896434];[ 0.02911576];[ 0.03021562];[ 0.09891528];[ 0.10363375];[ 0.00140545];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.2]];Bond;['length'];21.3630406291;[#6X4:1]-[#6X4:2];[ 0.00142292];[ 0.00915829];[ 0.00090371]
1;1.2561698926;[ 1.52401406];[ 0.0666186];[ 1.4393231];[ 1.2561615];[ 125.2425796];[ 61.33285415];[ 0.02019461];[ 117.19132742];[ 0.00094059];[8000];[ 0.00021059];0.0192744574313;[ 0.00021016];[-0.00974765];[ 0.00032727];0.000319317094699;[ 0.00033706];[ 0.00823104];[ 0.00146245];[ 0.0320077];[ 0.03025587];[ 0.08805237];[ 0.09564518];[ 0.00109263];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.225]];Bond;['length'];19.7247706422;[#6X4:1]-[#6X4:2];[ 0.00745029];[ 0.00760695];[ 0.00088098]
2;1.19776507526;[ 1.42888652];[ 23.06501666];[ 1.43860299];[ 1.2775397];[ 189.32331093];[ 61.33258838];[ 0.02909476];[ 108.26100422];[ 0.14438456];[8000];[ 0.00082878];0.0215932723568;[ 0.00074359];[-0.00641307];[ 0.00396461];0.00333411854074;[ 0.00412529];[ 0.00594744];[ 0.00085073];[ 0.02749897];[ 0.03013508];[ 0.07763019];[ 0.08922961];[ 0.00099998];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.25]];Bond;['length'];18.0865006553;[#6X4:1]-[#6X4:2];[ 0.00088708];[ 0.00037011];[ 0.0009236]
3;1.26412416989;[ 1.48307051];[ 14.68587597];[ 1.44123732];[ 1.29902419];[ 15.88537793];[ 61.3278184];[ 0.18524231];[ 100.11959368];[ 0.14662054];[8000];[ 0.00044891];0.0201465529752;[ 0.00045317];[-0.00330866];[ 0.0029964];0.0025577957657;[ 0.00278948];[ 0.00850599];[ 0.00895245];[ 0.03087721];[ 0.03048308];[ 0.0765101];[ 0.0814624];[ 0.00049395];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.275]];Bond;['length'];16.4482306684;[#6X4:1]-[#6X4:2];[ 0.00228876];[ 0.00303623];[ 0.00093377]
4;1.32049263973;[ 1.52403143];[ 0.01477005];[ 1.44158076];[ 1.32052173];[ 21.046014];[ 61.33505075];[ 0.05143541];[ 92.76293155];[ 0.01660927];[8000];[ 0.00025807];0.0210229379637;[ 0.00034345];[-0.00328651];[ 0.00032393];0.000311470912608;[ 0.00034419];[ 0.00735094];[ 0.00575211];[ 0.02993887];[ 0.03082685];[ 0.06692461];[ 0.07564068];[ 0.00094176];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.3]];Bond;['length'];14.8099606815;[#6X4:1]-[#6X4:2];[ 0.00719527];[ 0.00784287];[ 0.00091635]
5;1.34226908711;[ 1.52408206];[ 0.13532425];[ 1.44519017];[ 1.34225487];[ 11.34478681];[ 61.3333137];[ 0.00497043];[ 86.18030136];[ 0.12569761];[8000];[ 0.00024618];0.0181134611505;[ 0.00043174];[-0.0179453];[ 0.00032419];0.000337302263973;[ 0.00033662];[ 0.00948882];[ 0.00907336];[ 0.03028754];[ 0.03047213];[ 0.0678505];[ 0.06733096];[ 0.00117545];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.325]];Bond;['length'];13.1716906946;[#6X4:1]-[#6X4:2];[ 0.00674483];[ 0.00727958];[ 0.00091907]
6;1.3645180307;[ 1.5240406];[ 0.01205727];[ 1.44683722];[ 1.36453257];[ 9.13780648];[ 61.3350582];[ 0.05212075];[ 80.35668041];[ 0.03531626];[8000];[ 0.00024978];0.0176699500948;[ 0.00053526];[-0.01726323];[ 0.00034874];0.000348548198979;[ 0.00033875];[ 0.00859648];[ 0.00900705];[ 0.02967042];[ 0.03056449];[ 0.06197614];[ 0.0620746];[ 0.00104652];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.35]];Bond;['length'];11.5334207077;[#6X4:1]-[#6X4:2];[ 0.00656891];[ 0.00720503];[ 0.00091023]
7;1.30328413263;[ 1.4320175];[ 23.94580502];[ 1.44273516];[ 1.38706709];[ 9.11929942];[ 61.33371821];[ 0.00841895];[ 75.30965377];[ 0.04591125];[8000];[ 0.00751025];0.020064777485;[ 0.01101636];[ 0.00909039];[ 0.00378474];0.00346631347539;[ 0.0038428];[ 0.00742123];[ 0.00610442];[ 0.03100569];[ 0.03005764];[ 0.05297267];[ 0.05411592];[ 0.00751875];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.375]];Bond;['length'];9.89515072084;[#6X4:1]-[#6X4:2];[ 0.01119342];[ 0.01267278];[ 0.00090921]
8;1.27607489199;[ 1.38004212];[ 29.19384499];[ 1.44031693];[ 1.40927943];[ 3.03121725];[ 61.33075829];[ 0.09037149];[ 71.04014029];[ 0.09564879];[8000];[ 0.0103479];0.0147520335731;[ 0.02068491];[-0.01346228];[ 0.00486084];0.00446776281975;[ 0.00493235];[ 0.00904636];[ 0.01023929];[ 0.03110122];[ 0.02995262];[ 0.04999325];[ 0.04859606];[ 0.00994418];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.4]];Bond;['length'];8.25688073395;[#6X4:1]-[#6X4:2];[ 0.02442253];[ 0.02914927];[ 0.00094069]
9;1.3326849723;[ 1.41857485];[ 24.55295148];[ 1.43475936];[ 1.43177689];[ 0.56426515];[ 61.33181514];[ 0.05355194];[ 67.54858804];[ 0.08831129];[8000];[ 0.01873596];0.0190930147516;[ 0.03816158];[-0.00208991];[ 0.00428668];0.0040176533863;[ 0.00429527];[ 0.0124846];[ 0.00528557];[ 0.02797136];[ 0.03081156];[ 0.04367608];[ 0.04360192];[ 0.01859187];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.425]];Bond;['length'];6.61861074705;[#6X4:1]-[#6X4:2];[ 0.03858786];[ 0.0120465];[ 0.00093069]
10;1.43575577533;[ 1.50469289];[ 9.21273105];[ 1.4665601];[ 1.45424558];[ 1.9233273];[ 61.33608994];[ 0.08686104];[ 64.83756372];[ 0.06428032];[8000];[ 0.00337244];0.0142880568296;[ 0.00739877];[-0.02751826];[ 0.00184967];0.00176137394681;[ 0.00209966];[ 0.0071244];[ 0.00640271];[ 0.03146805];[ 0.03021816];[ 0.03583782];[ 0.03850316];[ 0.00342478];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.45]];Bond;['length'];4.98034076016;[#6X4:1]-[#6X4:2];[ 0.00890336];[ 0.01103808];[ 0.00095183]
11;1.47705636948;[ 1.52405559];[ 0.0564185];[ 1.48677928];[ 1.47706239];[ 1.98720548];[ 61.33194894];[ 0.04936693];[ 62.89240236];[ 0.00983369];[8000];[ 0.00017295];0.00703228847115;[ 0.00127312];[ 0.01772659];[ 0.00035149];0.000350150182164;[ 0.00033821];[ 0.00526611];[ 0.00488972];[ 0.02932808];[ 0.03071324];[ 0.03431976];[ 0.03421994];[ 0.00050161];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.475]];Bond;['length'];3.34207077326;[#6X4:1]-[#6X4:2];[ 0.00269];[ 0.00404206];[ 0.00095661]
12;1.50061440094;[ 1.52403727];[ 0.00222206];[ 1.50728186];[ 1.50061332];[ 2.14154989];[ 61.33147387];[ 0.06515363];[ 61.72331306];[ 0.06561135];[8000];[ 0.00020782];0.00222987633661;[ 0.00142909];[-0.00827434];[ 0.00033651];0.000335374283096;[ 0.00034069];[ 0.00359554];[ 0.00311388];[ 0.03046976];[ 0.03056299];[ 0.03154952];[ 0.03164014];[ 0.00021406];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.5]];Bond;['length'];1.70380078637;[#6X4:1]-[#6X4:2];[ 0.00172254];[ 0.00173376];[ 0.00095417]
13;1.52327306265;[ 1.52401873];[ 0.05243681];[ 1.52817293];[ 1.52326693];[ 1.1026527];[ 61.33406909];[ 0.01978056];[ 61.33363126];[ 0.01938946];[8000];[ 0.00019134];0.00103427318006;[ 0.00133902];[-0.02090503];[ 0.00033385];0.000359519403535;[ 0.00033917];[ 0.00345615];[ 0.00444927];[ 0.03067713];[ 0.03053186];[ 0.03070932];[ 0.03053799];[ 0.00020686];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.525]];Bond;['length'];0.0655307994758;[#6X4:1]-[#6X4:2];[ 0.00136816];[ 0.00158864];[ 0.00095585]
14;1.54226002651;[ 1.51934712];[ 5.62871147];[ 1.5437375];[ 1.54708008];[ 1.36122363];[ 61.33184407];[ 0.05347065];[ 61.714082];[ 0.05177564];[8000];[ 0.00025994];0.0025270156717;[ 0.0014613];[ 0.01297828];[ 0.00097968];0.000979291004169;[ 0.00083312];[ 0.00300041];[ 0.00245557];[ 0.03289051];[ 0.03031724];[ 0.03360986];[ 0.03104332];[ 0.00033241];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.55]];Bond;['length'];-1.57273918742;[#6X4:1]-[#6X4:2];[ 0.0020661];[ 0.00170976];[ 0.0009274]
15;1.46394015849;[ 1.42142439];[ 23.97431406];[ 1.51516542];[ 1.56972516];[ 5.32587936];[ 61.32961879];[ 0.12564221];[ 62.8679655];[ 0.15983209];[8000];[ 0.02033689];0.0448850216622;[ 0.06067057];[-0.03319484];[ 0.00432846];0.00447309275639;[ 0.00428009];[ 0.01332565];[ 0.01024427];[ 0.02924903];[ 0.03061367];[ 0.03153303];[ 0.03362236];[ 0.01829899];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.575]];Bond;['length'];-3.21100917431;[#6X4:1]-[#6X4:2];[ 0.06962797];[ 0.06305559];[ 0.00093501]
16;1.59349790882;[ 1.52408354];[ 0.14023869];[ 1.56179953];[ 1.59349468];[ 8.69226459];[ 61.33533946];[ 0.06069567];[ 64.80480804];[ 0.03095392];[8000];[ 0.00010038];0.01343394281;[ 0.00060646];[ 0.08077753];[ 0.00033366];0.000342522825335;[ 0.00033534];[ 0.0040485];[ 0.00364636];[ 0.0308057];[ 0.03088035];[ 0.03750613];[ 0.03817053];[ 0.00036237];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.6]];Bond;['length'];-4.84927916121;[#6X4:1]-[#6X4:2];[ 0.00204554];[ 0.00173887];[ 0.0009675]
17;1.6165800884;[ 1.52406624];[ 0.08712527];[ 1.5678958];[ 1.61662157];[ 13.1643041];[ 61.33195261];[ 0.04973404];[ 67.51142277];[ 0.0521362];[8000];[  7.20522346e-05];0.0218008235782;[ 0.00052905];[ 0.06679587];[ 0.00033371];0.000339897584949;[ 0.00034126];[ 0.00479214];[ 0.00370136];[ 0.0302784];[ 0.03041277];[ 0.04587075];[ 0.04252209];[ 0.00040923];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.625]];Bond;['length'];-6.4875491481;[#6X4:1]-[#6X4:2];[ 0.00247314];[ 0.00260039];[ 0.00095521]
18;1.6405018469;[ 1.52404991];[ 0.03953569];[ 1.57102005];[ 1.64047833];[ 13.83633926];[ 61.3390979];[ 0.18474834];[ 71.00177262];[ 0.11333106];[8000];[  9.28071559e-05];0.026245129104;[ 0.00048737];[ 0.10345615];[ 0.0003287];0.000356067820632;[ 0.00033886];[ 0.00503523];[ 0.00501999];[ 0.03155742];[ 0.03048873];[ 0.04682356];[ 0.04837831];[ 0.00042296];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.65]];Bond;['length'];-8.12581913499;[#6X4:1]-[#6X4:2];[ 0.00271926];[ 0.00203926];[ 0.00096538]
19;1.66541738107;[ 1.52406579];[ 0.08511315];[ 1.57353031];[ 1.66544076];[ 12.81436775];[ 61.33321235];[ 0.00826278];[ 75.25142363];[ 0.04633979];[8000];[ 0.00012572];0.0357875644563;[ 0.00045953];[ 0.09090185];[ 0.00032137];0.000339410537812;[ 0.000344];[ 0.00618252];[ 0.00717245];[ 0.03170279];[ 0.03059506];[ 0.0508325];[ 0.05430247];[ 0.00050404];0.0;['molecules/AlkEthOH_r0.mol2'];[[ 1.675]];Bond;['length'];-9.76408912189;[#6X4:1]-[#6X4:2];[ 0.00294411];[ 0.00253628];[ 0.00095231]
