;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.09209632975;[ 1.09177951];[ 0.02757351];[ 1.09353343];[ 1.09247634];[ 0.15674938];[-41.64352023];[ 0.04258458];[-42.00072591];[ 0.0390725];[980];[ 0.00030602];5.37471804801e-05;[ 0.00081345];[ 0.00107251];[ 0.00107167];0.00113559389638;[ 0.00107067];[ 0.00626417];[ 0.00674387];[ 0.12664312];[ 0.1280139];[ 0.12488161];[ 0.12595135];[ 0.00031615];5.40484174349e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[630]];Bond;['k'];7.35294117647;[#6X4:1]-[#1:2];[ 0.00085424];[ 0.00107645];[ 0.00120339]
1;1.09123896347;[ 1.09154963];[ 0.19411984];[ 1.09237688];[ 1.09196963];[ 0.05775052];[-41.63484446];[ 0.11247283];[-41.95631832];[ 0.11016051];[981];[ 0.00029063];4.94768255711e-05;[ 0.00085872];[ 0.00107101];[ 0.00101939];0.00119250787164;[ 0.00103215];[ 0.00632756];[ 0.00705191];[ 0.13849052];[ 0.12560528];[ 0.13627862];[ 0.12401247];[ 0.00030461];4.95155001728e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[635]];Bond;['k'];6.61764705882;[#6X4:1]-[#1:2];[ 0.00090087];[ 0.0010726];[ 0.00122968]
2;1.08941186042;[ 1.09163654];[ 0.10504072];[ 1.09193845];[ 1.08957926];[ 0.6082543];[-41.62716724];[ 0.17347499];[-41.91301959];[ 0.17162093];[981];[ 0.00033021];4.5007802692e-05;[ 0.00087262];[ 0.00107782];[ 0.00109055];0.0011264344961;[ 0.00108012];[ 0.006495];[ 0.00387862];[ 0.13737801];[ 0.12569191];[ 0.13544064];[ 0.12406676];[ 0.00035161];4.49242725519e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[640]];Bond;['k'];5.88235294118;[#6X4:1]-[#1:2];[ 0.00091372];[ 0.00107907];[ 0.00117553]
3;1.092767784;[ 1.09184642];[ 0.09478236];[ 1.09203684];[ 1.09235112];[ 0.05083317];[-41.62701518];[ 0.17509129];[-41.87682144];[ 0.17617582];[982];[ 0.00032634];4.88439177391e-05;[ 0.00090528];[ 0.00107919];[ 0.00099563];0.00111727166673;[ 0.00101734];[ 0.00641413];[ 0.00618255];[ 0.10892231];[ 0.12540008];[ 0.10777033];[ 0.12387087];[ 0.0003403];4.85509983958e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[645]];Bond;['k'];5.14705882353;[#6X4:1]-[#1:2];[ 0.00094772];[ 0.00108046];[ 0.00120213]
4;1.08851990333;[ 1.09159918];[ 0.14954221];[ 1.09219851];[ 1.0887679];[ 0.65228881];[-41.6419115];[ 0.05653882];[-41.85621481];[ 0.05467774];[982];[ 0.0003149];4.73265486076e-05;[ 0.00087588];[ 0.00106815];[ 0.00108494];0.00112593921437;[ 0.00100846];[ 0.00673102];[ 0.00525935];[ 0.12586558];[ 0.12487251];[ 0.12471793];[ 0.12367261];[ 0.00033143];4.75162365032e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[650]];Bond;['k'];4.41176470588;[#6X4:1]-[#1:2];[ 0.00092125];[ 0.00106936];[ 0.00114003]
5;1.09007126655;[ 1.09168813];[ 0.05839389];[ 1.09301997];[ 1.09173934];[ 0.16284662];[-41.64689263];[ 0.01699904];[-41.82551506];[ 0.01479904];[983];[ 0.00028822];5.27154802423e-05;[ 0.00085797];[ 0.00107337];[ 0.00097624];0.00115061617;[ 0.00105945];[ 0.00660276];[ 0.00786402];[ 0.13040211];[ 0.12230183];[ 0.12905385];[ 0.12124698];[ 0.00030501];5.28673208842e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[655]];Bond;['k'];3.67647058824;[#6X4:1]-[#1:2];[ 0.00090233];[ 0.00107598];[ 0.00113108]
6;1.09339464101;[ 1.09178156];[ 0.03016268];[ 1.092649];[ 1.09351313];[ 0.12137441];[-41.64777092];[ 0.00946655];[-41.79045892];[ 0.00938596];[983];[ 0.00031807];4.85620249467e-05;[ 0.00088685];[ 0.00106897];[ 0.001112];0.00116370863685;[ 0.00104665];[ 0.00737932];[ 0.00711948];[ 0.12577806];[ 0.12683845];[ 0.12507057];[ 0.12603126];[ 0.00033499];4.86709333792e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[660]];Bond;['k'];2.94117647059;[#6X4:1]-[#1:2];[ 0.00093997];[ 0.00107081];[ 0.00118368]
7;1.09342485909;[ 1.09161402];[ 0.13058493];[ 1.09295287];[ 1.09267708];[ 0.05690365];[-41.64240842];[ 0.05171557];[-41.74951428];[ 0.05113834];[983];[ 0.00028891];5.33137114015e-05;[ 0.00084755];[ 0.00107308];[ 0.0010617];0.00112293321712;[ 0.00104129];[ 0.00617054];[ 0.00484655];[ 0.12586014];[ 0.12691008];[ 0.1252539];[ 0.12632426];[ 0.00030391];5.33192639872e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[665]];Bond;['k'];2.20588235294;[#6X4:1]-[#1:2];[ 0.0008861];[ 0.00107566];[ 0.00117387]
8;1.09230055798;[ 1.09164512];[ 0.09687911];[ 1.09285483];[ 1.09111113];[ 0.25713825];[-41.6471884];[ 0.01473885];[-41.71856216];[ 0.01446163];[984];[ 0.00027628];5.1439401287e-05;[ 0.00086186];[ 0.00108042];[ 0.0011145];0.00106458620525;[ 0.00108255];[ 0.00627356];[ 0.00678119];[ 0.11315016];[ 0.12098947];[ 0.11270506];[ 0.12063523];[ 0.00028101];5.19368379993e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[670]];Bond;['k'];1.47058823529;[#6X4:1]-[#1:2];[ 0.00090133];[ 0.00108314];[ 0.00117551]
9;1.09067379152;[ 1.09152601];[ 0.21426855];[ 1.09374531];[ 1.09066487];[ 0.62715877];[-41.65948758];[ 0.08043876];[-41.69514212];[ 0.08048118];[984];[ 0.00031636];5.70152352656e-05;[ 0.0008666];[ 0.00108432];[ 0.00101231];0.00105096626599;[ 0.00104535];[ 0.00621009];[ 0.00491173];[ 0.12198947];[ 0.13073222];[ 0.12174939];[ 0.13050161];[ 0.00032313];5.671551011e-05;['Mol2_files/AlkEthOH_r48.mol2'];[[675]];Bond;['k'];0.735294117647;[#6X4:1]-[#1:2];[ 0.00090836];[ 0.00108963];[ 0.00119608]
