;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.53428971369;[ 1.53022306];[ 0.09070675];[ 1.52129967];[ 1.53426961];[ 2.00303632];[ 50.43272049];[ 0.08533132];[ 49.81656765];[ 0.06784448];[8000];[ 0.00041687];0.00408878659323;[ 0.00172725];[ 0.01783611];[ 0.00034771];0.000475199822057;[ 0.00034135];[ 0.006103];[ 0.00647514];[ 0.02964342];[ 0.03069708];[ 0.02916285];[ 0.02936325];[ 0.00042087];0.0;['molecules/AlkEthOH_r51.mol2'];[[300]];Bond;['k'];51.6129032258;[#6X4:1]-[#6X4:2];[ 0.00184357];[ 0.00163151];[ 0.00181399]
1;1.53393601002;[ 1.53028038];[ 0.07651694];[ 1.52000736];[ 1.533956];[ 1.99947838];[ 50.43615938];[ 0.02666854];[ 49.91546552];[ 0.01808484];[8000];[ 0.00040574];0.00290928790184;[ 0.00168773];[ 0.04768661];[ 0.00034098];0.000457070362323;[ 0.00034447];[ 0.00574796];[ 0.00697613];[ 0.03179967];[ 0.03072781];[ 0.03055919];[ 0.02951867];[ 0.00043291];0.0;['molecules/AlkEthOH_r51.mol2'];[[350]];Bond;['k'];43.5483870968;[#6X4:1]-[#6X4:2];[ 0.00182592];[ 0.00229831];[ 0.00154716]
2;1.53246718146;[ 1.53022184];[ 0.09508507];[ 1.51932403];[ 1.5324915];[ 2.24359706];[ 50.44104546];[ 0.18618964];[ 50.01704035];[ 0.19351027];[8000];[ 0.00035364];0.00211574365511;[ 0.00160069];[ 0.03109554];[ 0.00028985];0.000414086316747;[ 0.00033853];[ 0.00516074];[ 0.00586891];[ 0.02820978];[ 0.03064374];[ 0.02768478];[ 0.02964585];[ 0.00037157];0.0;['molecules/AlkEthOH_r51.mol2'];[[400]];Bond;['k'];35.4838709677;[#6X4:1]-[#6X4:2];[ 0.00174612];[ 0.00170014];[ 0.00136163]
3;1.49872026569;[ 1.49684191];[ 13.69270119];[ 1.49925538];[ 1.53224294];[ 3.44130683];[ 50.43370337];[ 0.05428895];[ 50.10606978];[ 0.05464453];[8000];[ 0.01315821];0.00525872144777;[ 0.02996039];[ 0.06762575];[ 0.00245958];0.00241989912329;[ 0.00244014];[ 0.00931985];[ 0.00958577];[ 0.02680293];[ 0.03014506];[ 0.02635263];[ 0.02938422];[ 0.01319469];0.0;['molecules/AlkEthOH_r51.mol2'];[[450]];Bond;['k'];27.4193548387;[#6X4:1]-[#6X4:2];[ 0.03004509];[ 0.0292836];[ 0.00122812]
4;1.33922385795;[ 1.33829617];[ 33.83314839];[ 1.36776887];[ 1.53148719];[ 5.91102768];[ 50.43400141];[ 0.043838];[ 50.20275];[ 0.04335106];[8000];[ 0.04639101];0.0085230261591;[ 0.20387031];[ 0.06201877];[ 0.00577416];0.0057717306049;[ 0.00567366];[ 0.03709344];[ 0.0276971];[ 0.03135241];[ 0.03053276];[ 0.03063498];[ 0.0299269];[ 0.04505485];0.0;['molecules/AlkEthOH_r51.mol2'];[[500]];Bond;['k'];19.3548387097;[#6X4:1]-[#6X4:2];[ 0.20606509];[ 0.15807226];[ 0.00111565]
5;1.41889376714;[ 1.4181396];[ 25.4772194];[ 1.41546589];[ 1.53126069];[ 4.67733817];[ 50.43349505];[ 0.06015263];[ 50.29853592];[ 0.06206662];[8000];[ 0.04156234];0.00671405663447;[ 0.14444997];[ 0.09063685];[ 0.00448784];0.00454675030369;[ 0.00440058];[ 0.0307262];[ 0.02475656];[ 0.02864709];[ 0.03066958];[ 0.02834256];[ 0.03034379];[ 0.04221125];0.0;['molecules/AlkEthOH_r51.mol2'];[[550]];Bond;['k'];11.2903225806;[#6X4:1]-[#6X4:2];[ 0.14536556];[ 0.1058273];[ 0.0010179]
6;1.53139212742;[ 1.53024463];[ 0.02745984];[ 1.51737202];[ 1.53140685];[ 3.1700072];[ 50.43086672];[ 0.14603386];[ 50.39233144];[ 0.14605596];[8000];[ 0.0002678];0.00112835839213;[ 0.00129531];[ 0.03604488];[ 0.00033642];0.000337276159277;[ 0.00034235];[ 0.00466291];[ 0.00442738];[ 0.02820552];[ 0.0306312];[ 0.02809606];[ 0.03053424];[ 0.0003297];0.0;['molecules/AlkEthOH_r51.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#6X4:2];[ 0.00148233];[ 0.00131436];[ 0.00096415]
7;1.52996851396;[ 1.53026174];[ 0.02252741];[ 1.51754469];[ 1.52999538];[ 3.51495098];[ 50.4330219];[ 0.0743332];[ 50.49083498];[ 0.07427813];[8000];[ 0.00023357];0.000993832131278;[ 0.00125251];[ 0.04274931];[ 0.00033467];0.000350451370551;[ 0.00034257];[ 0.00467442];[ 0.00354221];[ 0.03126357];[ 0.03118401];[ 0.03141095];[ 0.03134263];[ 0.00028452];0.0;['molecules/AlkEthOH_r51.mol2'];[[650]];Bond;['k'];-4.83870967742;[#6X4:1]-[#6X4:2];[ 0.00143555];[ 0.00137214];[ 0.00090801]
8;1.53016799834;[ 1.53027814];[ 0.07041128];[ 1.51714966];[ 1.53018184];[ 2.72532487];[ 50.43600557];[ 0.02179369];[ 50.5903444];[ 0.02613097];[8000];[ 0.00021142];0.000918256479242;[ 0.00116321];[ 0.04532884];[ 0.00039913];0.000297622002251;[ 0.00034243];[ 0.0039965];[ 0.00478188];[ 0.03092292];[ 0.03054362];[ 0.03137971];[ 0.03097683];[ 0.00024464];0.0;['molecules/AlkEthOH_r51.mol2'];[[700]];Bond;['k'];-12.9032258065;[#6X4:1]-[#6X4:2];[ 0.00135173];[ 0.0015001];[ 0.00084136]
9;1.53002951899;[ 1.53024038];[ 0.03927604];[ 1.51810242];[ 1.53003972];[ 4.7802004];[ 50.43476477];[ 0.01873654];[ 50.68533789];[ 0.01810841];[8000];[ 0.00018872];0.000799895792078;[ 0.00108156];[ 0.01372963];[ 0.00035254];0.000323099949422;[ 0.00034743];[ 0.00406548];[ 0.00249724];[ 0.02911519];[ 0.0306959];[ 0.02995303];[ 0.03141883];[ 0.00023613];0.0;['molecules/AlkEthOH_r51.mol2'];[[750]];Bond;['k'];-20.9677419355;[#6X4:1]-[#6X4:2];[ 0.00124511];[ 0.0008911];[ 0.00080807]
