;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.53084116403;[ 1.53098756];[ 0.15546603];[ 1.58773014];[ 1.53136867];[ 130.90893401];[ 50.34772495];[ 0.00303413];[ 50.23175298];[ 0.27696914];[1175];[ 0.00048506];3.71166307249e-05;[  4.59396409e-05];[  4.59396409e-05];[ 0.00082239];0.000891862368726;[ 0.00088983];[ 0.00043054];[ 0.00043054];[ 0.07968021];[ 0.07853887];[ 0.07897365];[ 0.07783796];[  1.32391010e-05];[ 0.00011099];['Mol2_files/AlkEthOH_r51.mol2'];[[570]];Bond;['k'];8.06451612903;[#6X4:1]-[#6X4:2];[ 0.00317344];[ 0.00401515];[ 0.00098522]
1;1.53135808408;[ 1.53095338];[ 0.19824846];[ 1.58651447];[ 1.53159197];[ 30.23915469];[ 50.35209543];[ 0.05238406];[ 50.34497993];[ 1.04980031];[1175];[ 0.00046802];3.99918919952e-05;[ 0.000158];[ 0.000158];[ 0.00086677];0.000950928224966;[ 0.00087023];[ 0.00181627];[ 0.00181627];[ 0.07467161];[ 0.07888255];[ 0.07426062];[ 0.07830354];[  4.74672438e-05];[ 0.00011312];['Mol2_files/AlkEthOH_r51.mol2'];[[575]];Bond;['k'];7.25806451613;[#6X4:1]-[#6X4:2];[ 0.00337662];[ 0.00396961];[ 0.00102452]
2;1.53107101852;[ 1.53090138];[ 0.25314079];[ 1.5878098];[ 1.53044457];[ 180.81178797];[ 50.34266586];[ 0.06573097];[ 50.13726792];[ 1.68261408];[1175];[ 0.00048325];3.76066028186e-05;[  4.13228076e-05];[  4.13228076e-05];[ 0.00090297];0.000973781078221;[ 0.00088692];[ 0.00031726];[ 0.00031726];[ 0.07093743];[ 0.08059199];[ 0.07053096];[ 0.0802169];[  8.66931963e-06];[ 0.00011877];['Mol2_files/AlkEthOH_r51.mol2'];[[580]];Bond;['k'];6.45161290323;[#6X4:1]-[#6X4:2];[ 0.00322821];[ 0.00446356];[ 0.00107183]
3;1.53006604469;[ 1.53094516];[ 0.20807671];[ 1.51825039];[ 1.53015081];[ 1.62528256];[ 50.33984644];[ 0.1041768];[ 50.25526302];[ 0.34144555];[1176];[ 0.00046911];3.30782255683e-05;[ 0.00123523];[ 0.00123523];[ 0.00090371];0.000933249242442;[ 0.00086864];[ 0.00732206];[ 0.00732206];[ 0.07479352];[ 0.07791376];[ 0.07437006];[ 0.07744758];[ 0.00025643];[  4.21017050e-05];['Mol2_files/AlkEthOH_r51.mol2'];[[585]];Bond;['k'];5.64516129032;[#6X4:1]-[#6X4:2];[ 0.00138786];[ 0.00111704];[ 0.00093274]
4;1.52973036605;[ 1.5309392];[ 0.21401886];[ 1.58739884];[ 1.53004601];[ 64.01550108];[ 50.34254632];[ 0.0704498];[ 50.24591951];[ 0.59181566];[1176];[ 0.00047957];3.69483602648e-05;[  5.94231949e-05];[  5.94231949e-05];[ 0.00089232];0.000847605149455;[ 0.00087233];[ 0.00089592];[ 0.00089592];[ 0.07532097];[ 0.07689054];[ 0.07488367];[ 0.07646436];[  4.00387200e-05];[ 0.00010649];['Mol2_files/AlkEthOH_r51.mol2'];[[590]];Bond;['k'];4.83870967742;[#6X4:1]-[#6X4:2];[ 0.00305001];[ 0.00402463];[ 0.0009626]
5;1.53023311771;[ 1.53095793];[ 0.19270898];[ 1.58793206];[ 1.53024953];[ 270.50530871];[ 50.33971304];[ 0.09887955];[ 50.42491478];[ 1.49496191];[1176];[ 0.00047963];3.64661317791e-05;[  3.09294539e-05];[  3.09294539e-05];[ 0.0009459];0.000886800535616;[ 0.00087164];[ 0.00021324];[ 0.00021324];[ 0.07715372];[ 0.08343693];[ 0.07679749];[ 0.08313075];[  5.72586693e-06];[ 0.00011735];['Mol2_files/AlkEthOH_r51.mol2'];[[595]];Bond;['k'];4.03225806452;[#6X4:1]-[#6X4:2];[ 0.00320594];[ 0.00426321];[ 0.0010052]
6;1.53070260143;[ 1.53101821];[ 0.12748483];[ 1.51432463];[ 1.53061096];[ 2.21073487];[ 50.3446052];[ 0.04437824];[ 50.30916735];[ 0.01239911];[1176];[ 0.00048631];3.75604814258e-05;[ 0.00124867];[ 0.00124867];[ 0.00090746];0.000885977589131;[ 0.0008447];[ 0.00736693];[ 0.00736693];[ 0.07416149];[ 0.07566872];[ 0.07375982];[ 0.07543093];[ 0.00026951];[  4.58771126e-05];['Mol2_files/AlkEthOH_r51.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#6X4:2];[ 0.00153642];[ 0.0012477];[ 0.00096069]
7;1.52959768518;[ 1.53098411];[ 0.15644812];[ 1.53253176];[ 1.53015161];[ 1.09635314];[ 50.34450573];[ 0.04702139];[ 50.23560123];[ 1.14523841];[1176];[ 0.00049286];3.83743828733e-05;[ 0.00078512];[ 0.00078512];[ 0.00085518];0.000960474963045;[ 0.0009063];[ 0.00217097];[ 0.00217097];[ 0.07132713];[ 0.07353067];[ 0.07117606];[ 0.07331797];[  8.37465848e-05];[  4.11370632e-05];['Mol2_files/AlkEthOH_r51.mol2'];[[605]];Bond;['k'];2.41935483871;[#6X4:1]-[#6X4:2];[ 0.00079705];[ 0.00097659];[ 0.00099143]
8;1.52900139556;[ 1.53086943];[ 0.28868589];[ 1.58736315];[ 1.52906603];[ 62.62555822];[ 50.34605494];[ 0.02481757];[ 50.35465801];[ 0.33387791];[1176];[ 0.00046577];3.65416548645e-05;[  6.33141031e-05];[  6.33141031e-05];[ 0.00081091];0.000935080446708;[ 0.00088839];[ 0.00093088];[ 0.00093088];[ 0.07639754];[ 0.07689322];[ 0.07625862];[ 0.07674984];[  4.44194580e-05];[ 0.00011051];['Mol2_files/AlkEthOH_r51.mol2'];[[610]];Bond;['k'];1.61290322581;[#6X4:1]-[#6X4:2];[ 0.00331];[ 0.00409757];[ 0.00104297]
9;1.53112304051;[ 1.53094292];[ 0.21166322];[ 1.53396104];[ 1.53109301];[ 1.42839626];[ 50.34780732];[ 0.0020679];[ 50.39419516];[ 0.73935429];[1176];[ 0.00047095];3.89730819283e-05;[ 0.00076811];[ 0.00076811];[ 0.00092814];0.000957273024378;[ 0.00086448];[ 0.00200787];[ 0.00200787];[ 0.06919433];[ 0.07540103];[ 0.06915704];[ 0.07533204];[  8.67118227e-05];[  3.31886918e-05];['Mol2_files/AlkEthOH_r51.mol2'];[[615]];Bond;['k'];0.806451612903;[#6X4:1]-[#6X4:2];[ 0.00077491];[ 0.00085981];[ 0.00099035]
