;A_boot_new_samp;A_expect;A_stddevaway;Anew_expect;Anew_sampled;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;altdvarAnew_boot;altdvarAnew_boot2;altvarAnew_boot;altvarAnew_boot2;dA_boot;dA_boot_new_samp;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;dvarAnew_boot;dvarAnew_boot2;mol_name;new_param;obs_type;param_type;percent_shift;smirks;varAnew_boot;varAnew_boot2;varAnew_samp
0;1.3826465539;[ 1.53098833];[ 0.15125024];[ 1.54075088];[ 1.38248294];[ 61.39713244];[ 50.34103228];[ 0.09002187];[ 80.97814629];[ 0.06680028];[1176];[ 0.00040277];0.000225402193745;[ 0.00053827];[ 0.00023458];[ 0.00090629];0.000828768983202;[ 0.00090955];[ 0.00801615];[ 0.00257777];[ 0.07742781];[ 0.07699204];[ 0.20540467];[ 0.20314046];[ 0.00045224];0.000712514703732;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.3734]];Bond;['length'];10.0;[#6X4:1]-[#6X4:2];[ 0.0006979];[ 0.00093798];[ 0.00087787]
1;1.39772346165;[ 1.53099965];[ 0.14506162];[ 1.54345828];[ 1.3980794];[ 32.93579517];[ 50.34400946];[ 0.05174474];[ 75.34139694];[ 0.07198073];[1176];[ 0.00035076];0.000230622948126;[ 0.00052843];[ 0.0002681];[ 0.00096091];0.00100288986263;[ 0.00087029];[ 0.00644978];[ 0.00441401];[ 0.07718205];[ 0.07640939];[ 0.19153602];[ 0.17863832];[ 0.00040577];0.000785262557104;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.38866]];Bond;['length'];9.0;[#6X4:1]-[#6X4:2];[ 0.00072404];[ 0.00107226];[ 0.00094019]
2;1.41204648688;[ 1.531002];[ 0.1381198];[ 1.54486057];[ 1.4118352];[ 30.51829953];[ 50.35769278];[ 0.12174362];[ 70.25019233];[ 0.04251866];[1176];[ 0.00039052];0.000200595163946;[ 0.00062923];[ 0.00028814];[ 0.00087571];0.000913770069001;[ 0.00089704];[ 0.00687483];[ 0.00435887];[ 0.07409387];[ 0.07991821];[ 0.15355655];[ 0.17215877];[ 0.00045815];0.000803665561747;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.40392]];Bond;['length'];8.0;[#6X4:1]-[#6X4:2];[ 0.000868];[ 0.00117049];[ 0.00096515]
3;1.42731724377;[ 1.53086979];[ 0.28572481];[ 1.54664741];[ 1.42724971];[ 19.95521316];[ 50.3452883];[ 0.03611827];[ 65.72592297];[ 0.06004439];[1176];[ 0.00036291];0.000246306836248;[ 0.00069934];[ 0.00034413];[ 0.00086706];0.000896607174361;[ 0.00089636];[ 0.00609403];[ 0.00598328];[ 0.07686925];[ 0.07406083];[ 0.16007337];[ 0.1464748];[ 0.00047082];0.000823812320443;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.41918]];Bond;['length'];7.0;[#6X4:1]-[#6X4:2];[ 0.00098568];[ 0.00113187];[ 0.00089175]
4;1.44266290161;[ 1.53097164];[ 0.18050683];[ 1.54850944];[ 1.44224304];[ 16.78003046];[ 50.34443079];[ 0.04638607];[ 61.80489535];[ 0.00628024];[1176];[ 0.00037705];0.000223830950945;[ 0.00083377];[ 0.00042163];[ 0.00080787];0.000908389361121;[ 0.0008546];[ 0.00707194];[ 0.00633291];[ 0.07555367];[ 0.07615341];[ 0.13537128];[ 0.13059241];[ 0.00052178];0.000813045245977;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.43444]];Bond;['length'];6.0;[#6X4:1]-[#6X4:2];[ 0.00119085];[ 0.00134777];[ 0.00093561]
5;1.45570773367;[ 1.5310256];[ 0.10861295];[ 1.54996887];[ 1.45567609];[ 6.49140814];[ 50.34719065];[ 0.01037057];[ 58.44773515];[ 0.02643433];[1176];[ 0.00039883];0.000237638891032;[ 0.00096962];[ 0.00053826];[ 0.00091239];0.000876300011819;[ 0.00092347];[ 0.00739638];[ 0.01452578];[ 0.07391928];[ 0.074499];[ 0.13094048];[ 0.12139295];[ 0.00049177];0.000749764605871;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.4497]];Bond;['length'];5.0;[#6X4:1]-[#6X4:2];[ 0.00138124];[ 0.00136073];[ 0.00096498]
6;1.47193331795;[ 1.53095076];[ 0.1993599];[ 1.55445443];[ 1.47206372];[ 11.39522647];[ 50.35885315];[ 0.14217845];[ 55.68845083];[ 0.12343812];[1176];[ 0.00032512];0.000243593267665;[ 0.0010321];[ 0.00069322];[ 0.00091523];0.000863794857461;[ 0.00087849];[ 0.0073033];[ 0.00723028];[ 0.07527501];[ 0.07659321];[ 0.10160795];[ 0.10633832];[ 0.00043365];0.000727466343418;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.46496]];Bond;['length'];4.0;[#6X4:1]-[#6X4:2];[ 0.00163679];[ 0.00162936];[ 0.00094049]
7;1.48539017889;[ 1.53086395];[ 0.30373377];[ 1.56385741];[ 1.48589834];[ 10.27574631];[ 50.35202841];[ 0.05007752];[ 53.48840563];[ 0.11222827];[1176];[ 0.00030973];0.000208589904639;[ 0.00091562];[ 0.00087388];[ 0.00087114];0.000815460090244;[ 0.00086243];[ 0.01328747];[ 0.00758671];[ 0.07366363];[ 0.08117736];[ 0.09325001];[ 0.09969696];[ 0.00064783];0.000555350989764;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.48022]];Bond;['length'];3.0;[#6X4:1]-[#6X4:2];[ 0.0021814];[ 0.00204401];[ 0.00091863]
8;1.49965340861;[ 1.53094532];[ 0.20638844];[ 1.56743113];[ 1.49978599];[ 10.9423836];[ 50.34186817];[ 0.08314399];[ 51.85020908];[ 0.07699309];[1176];[ 0.00047262];0.000155917273654;[ 0.00066007];[ 0.00098224];[ 0.00090899];0.000844808221218;[ 0.00087496];[ 0.02090809];[ 0.00618194];[ 0.08103049];[ 0.07330744];[ 0.08482562];[ 0.08327452];[ 0.00087292];0.000358457171275;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.49548]];Bond;['length'];2.0;[#6X4:1]-[#6X4:2];[ 0.00242878];[ 0.00227727];[ 0.00092503]
9;1.51582758066;[ 1.53100069];[ 0.13633079];[ 1.5661458];[ 1.51617341];[ 26.98624212];[ 50.34463423];[ 0.04385346];[ 50.80956761];[ 0.05049178];[1176];[ 0.00048619];7.42189109793e-05;[ 0.00048896];[ 0.00095676];[ 0.00091239];0.000890937389789;[ 0.00091844];[ 0.02610618];[ 0.00185177];[ 0.07280919];[ 0.07591231];[ 0.07640231];[ 0.07859717];[ 0.00103154];0.000152298037135;['Mol2_files/AlkEthOH_r51.mol2'];[[ 1.51074]];Bond;['length'];1.0;[#6X4:1]-[#6X4:2];[ 0.00239477];[ 0.00214363];[ 0.00092965]
