;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 1.09287482];[ 0.02661806];[ 1.05852043];[ 3.36285263];[-42.01682379];[ 0.02658335];[-44.99001214];[ 0.03449908];[2000];[ 0.00075516];[ 0.00079769];[ 0.04691882];[ 0.02710612];[ 0.08924942];[ 0.08927223];[ 0.07564905];[ 0.08103212];['molecules/AlkEthOH_r48.mol2'];[[200]];Bond;['k'];67.7419354839;[#6X4:1]-[#1:2]
1;[ 1.09066154];[ 0.11127452];[ 1.0420515];[ 5.9089297];[-42.29754277];[ 0.10395406];[-44.85783682];[ 0.10808855];[2000];[ 0.00093847];[ 0.0007945];[ 0.04773273];[ 0.01483669];[ 0.08128809];[ 0.08543305];[ 0.07159493];[ 0.0768712];['molecules/AlkEthOH_r48.mol2'];[[250]];Bond;['k'];59.6774193548;[#6X4:1]-[#1:2]
2;[ 1.09449509];[ 0.24165437];[ 1.04362525];[ 6.0686716];[-42.03140041];[ 0.17104922];[-44.27631188];[ 0.17089396];[2000];[ 0.00084238];[ 0.00079332];[ 0.05149261];[ 0.01457109];[ 0.08387423];[ 0.08749716];[ 0.07902842];[ 0.08020852];['molecules/AlkEthOH_r48.mol2'];[[300]];Bond;['k'];51.6129032258;[#6X4:1]-[#1:2]
3;[ 1.09247914];[ 0.03851906];[ 0.9685842];[ 41.10141118];[-42.09452788];[ 0.11328856];[-44.02510902];[ 0.13233656];[2000];[ 0.00075268];[ 0.00082];[ 0.05409895];[ 0.00197458];[ 0.09143896];[ 0.08803324];[ 0.08523336];[ 0.08127149];['molecules/AlkEthOH_r48.mol2'];[[350]];Bond;['k'];43.5483870968;[#6X4:1]-[#1:2]
4;[ 1.09264666];[ 0.04319124];[ 0.98741065];[ 4.14084807];[-42.21501694];[ 0.11011074];[-43.7487836];[ 0.14519771];[2000];[ 0.00077154];[ 0.0007913];[ 0.0536819];[ 0.01759966];[ 0.08021745];[ 0.08891286];[ 0.07367153];[ 0.08367996];['molecules/AlkEthOH_r48.mol2'];[[400]];Bond;['k'];35.4838709677;[#6X4:1]-[#1:2]
5;[ 1.09432683];[ 0.00657151];[ 1.12260898];[ 13.43630536];[-42.19921797];[ 0.10893859];[-43.3767533];[ 0.11130233];[2000];[ 0.00086087];[ 0.00079043];[ 0.04699943];[ 0.00606751];[ 0.08055165];[ 0.08677254];[ 0.07447498];[ 0.08263931];['molecules/AlkEthOH_r48.mol2'];[[450]];Bond;['k'];27.4193548387;[#6X4:1]-[#1:2]
6;[ 1.09241393];[ 0.09404088];[ 1.05552083];[ 3.91702437];[-42.15720474];[ 0.00775271];[-42.99367115];[ 0.02032005];[2000];[ 0.00072213];[ 0.00079869];[ 0.04874525];[ 0.02028963];[ 0.08874768];[ 0.08766422];[ 0.08610804];[ 0.08432185];['molecules/AlkEthOH_r48.mol2'];[[500]];Bond;['k'];19.3548387097;[#6X4:1]-[#1:2]
7;[ 1.09276234];[ 0.037952];[ 1.00533808];[ 2.41052475];[-42.25597462];[ 0.10389275];[-42.74009001];[ 0.10703691];[2000];[ 0.00071755];[ 0.00078242];[ 0.0464482];[ 0.03248544];[ 0.08022732];[ 0.08656801];[ 0.07761354];[ 0.08458198];['molecules/AlkEthOH_r48.mol2'];[[550]];Bond;['k'];11.2903225806;[#6X4:1]-[#1:2]
8;[ 1.09305832];[ 0.13744704];[ 1.0832409];[ 9.62366582];[-42.16797794];[ 0.0412275];[-42.30667337];[ 0.03973569];[2000];[ 0.00080641];[ 0.00077928];[ 0.04804235];[ 0.00658902];[ 0.0913062];[ 0.08400842];[ 0.09075959];[ 0.08349333];['molecules/AlkEthOH_r48.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#1:2]
9;[ 1.09293691];[ 0.09860363];[ 1.01467495];[ 2.37356351];[-42.16128285];[ 0.01058875];[-41.94914449];[ 0.00935928];[2000];[ 0.00076805];[ 0.00079331];[ 0.04776749];[ 0.03047804];[ 0.09018505];[ 0.08895916];[ 0.09113527];[ 0.08996943];['molecules/AlkEthOH_r48.mol2'];[[650]];Bond;['k'];-4.83870967742;[#6X4:1]-[#1:2]
10;[ 1.09365188];[ 0.07628979];[ 1.02441261];[ 1.58891783];[-42.17774513];[ 0.10580228];[-41.62101889];[ 0.11390486];[2000];[ 0.00087536];[ 0.00076602];[ 0.04553473];[ 0.0393771];[ 0.1023348];[ 0.08742306];[ 0.10543768];[ 0.09000152];['molecules/AlkEthOH_r48.mol2'];[[700]];Bond;['k'];-12.9032258065;[#6X4:1]-[#1:2]
11;[ 1.09217067];[ 0.05081728];[ 1.11621464];[ 6.95873408];[-42.15046471];[ 0.01351557];[-41.25277195];[ 0.00396817];[2000];[ 0.00076851];[ 0.00076596];[ 0.04022881];[ 0.00855197];[ 0.09046916];[ 0.08546941];[ 0.09256788];[ 0.08919108];['molecules/AlkEthOH_r48.mol2'];[[750]];Bond;['k'];-20.9677419355;[#6X4:1]-[#1:2]
