;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 1.54509324];[ 0.13951677];[ 1.62199992];[ 1.26077351];[-41.47768931];[ 0.00073669];[-43.01519207];[ 0.00085115];[2000];[ 0.00070487];[ 0.00070412];[ 0.03931429];[ 0.01624547];[ 0.0916328];[ 0.09220656];[ 0.08853881];[ 0.08895868];['molecules/AlkEthOH_r48.mol2'];[[200]];Bond;['k'];70.5882352941;[#6X4:1]-[#6X4:2]
1;[ 1.54583254];[ 0.14418843];[ 1.53729696];[ 2.54077077];[-41.59261189];[ 0.07915561];[-42.96314787];[ 0.03204187];[2000];[ 0.00072693];[ 0.00070765];[ 0.03879017];[ 0.00537326];[ 0.08868638];[ 0.0893014];[ 0.08610425];[ 0.08681902];['molecules/AlkEthOH_r48.mol2'];[[250]];Bond;['k'];63.2352941176;[#6X4:1]-[#6X4:2]
2;[ 1.54624924];[ 0.01968336];[ 1.63192161];[ 1.71104799];[-41.64676815];[ 0.04153295];[-42.86105612];[ 0.05531501];[2000];[ 0.00078324];[ 0.00071336];[ 0.03470995];[ 0.01252584];[ 0.07072734];[ 0.08910332];[ 0.06794517];[ 0.08630114];['molecules/AlkEthOH_r48.mol2'];[[300]];Bond;['k'];55.8823529412;[#6X4:1]-[#6X4:2]
3;[ 1.54603134];[ 0.02172214];[ 1.53479924];[ 3.20186332];[-41.54980358];[ 0.11234567];[-42.57808314];[ 0.12285159];[2000];[ 0.00069991];[ 0.00069139];[ 0.0268385];[ 0.00357619];[ 0.09516642];[ 0.09308652];[ 0.09178379];[ 0.09094861];['molecules/AlkEthOH_r48.mol2'];[[350]];Bond;['k'];48.5294117647;[#6X4:1]-[#6X4:2]
4;[ 1.54595573];[ 0.002867];[ 1.61947412];[ 0.74667059];[-41.62580701];[ 0.01004158];[-42.51690374];[ 0.02139489];[2000];[ 0.0006764];[ 0.00071322];[ 0.02622576];[ 0.01864792];[ 0.09260831];[ 0.0888596];[ 0.08917019];[ 0.08681821];['molecules/AlkEthOH_r48.mol2'];[[400]];Bond;['k'];41.1764705882;[#6X4:1]-[#6X4:2]
5;[ 1.54558869];[ 0.10079379];[ 1.57512838];[ 0.57857734];[-41.57491045];[ 0.08207062];[-42.31956484];[ 0.09605896];[2000];[ 0.00071984];[ 0.00071038];[ 0.02532306];[ 0.02127638];[ 0.08557313];[ 0.08978808];[ 0.08337925];[ 0.08770946];['molecules/AlkEthOH_r48.mol2'];[[450]];Bond;['k'];33.8235294118;[#6X4:1]-[#6X4:2]
6;[ 1.54539359];[ 0.07374363];[ 1.57182805];[ 0.41054896];[-41.60193891];[ 0.05827582];[-42.18930735];[ 0.05785156];[2000];[ 0.0006405];[ 0.00070352];[ 0.02267855];[ 0.02328188];[ 0.09407404];[ 0.08991993];[ 0.09264496];[ 0.08803918];['molecules/AlkEthOH_r48.mol2'];[[500]];Bond;['k'];26.4705882353;[#6X4:1]-[#6X4:2]
7;[ 1.54575782];[ 0.06037377];[ 1.54754532];[ 0.32340405];[-41.62335109];[ 0.06269759];[-42.04355347];[ 0.05982263];[2000];[ 0.00072321];[ 0.00071471];[ 0.01696903];[ 0.00917049];[ 0.08628312];[ 0.08701392];[ 0.08403577];[ 0.08576607];['molecules/AlkEthOH_r48.mol2'];[[550]];Bond;['k'];19.1176470588;[#6X4:1]-[#6X4:2]
8;[ 1.54608003];[ 0.04014024];[ 1.54193765];[ 0.4059517];[-41.58036869];[ 0.05644014];[-41.83254109];[ 0.05802741];[2000];[ 0.00070046];[ 0.00069192];[ 0.01578478];[ 0.00830764];[ 0.07974511];[ 0.08905777];[ 0.07894806];[ 0.0882172];['molecules/AlkEthOH_r48.mol2'];[[600]];Bond;['k'];11.7647058824;[#6X4:1]-[#6X4:2]
9;[ 1.54666702];[ 0.00674053];[ 1.53710395];[ 0.08378457];[-41.61676899];[ 0.01924939];[-41.71531826];[ 0.01843673];[2000];[ 0.00074168];[ 0.00071044];[ 0.01380651];[ 0.00618393];[ 0.09108844];[ 0.08816646];[ 0.09082139];[ 0.08785261];['molecules/AlkEthOH_r48.mol2'];[[650]];Bond;['k'];4.41176470588;[#6X4:1]-[#6X4:2]
